feature_name,data_type,data_class,unique_values,minimum_value,maximum_value,mean_value
id,character,character,12707,NA,NA,NA
type,character,character,1,NA,NA,NA
persoon_id,character,character,12707,NA,NA,NA
target_per,character,character,2,NA,NA,NA
melding_om,integer,Date,1587,15041,18529,17450.62367
adres_dagen_op_adres,integer,integer,6892,0,24331,7358.398048
adres_aantal_verschillende_wijken,integer,integer,9,1,9,1.836704179
adres_recentst_onderdeel_rdam,integer,integer,2,0,1,0.9198079799
adres_unieke_wijk_ratio,double,numeric,67,0.1428571429,1,0.8102801483
adres_aantal_brp_adres,integer,integer,20,1,25,2.321004171
adres_aantal_verzendadres,integer,integer,7,0,6,0.2462422287
adres_aantal_woonadres_handmatig,integer,integer,10,0,9,0.2549775714
adres_recentste_plaats_other,double,numeric,2,0,1,0.04273235225
adres_recentste_plaats_rotterdam,double,numeric,2,0,1,0.8849453057
adres_recentste_buurt_groot_ijsselmonde,double,numeric,2,0,1,0.04060753915
adres_recentste_buurt_nieuwe_westen,double,numeric,2,0,1,0.03698748721
adres_recentste_buurt_other,double,numeric,2,0,1,0.4831982372
adres_recentste_buurt_oude_noorden,double,numeric,2,0,1,0.03061304793
adres_recentste_buurt_vreewijk,double,numeric,2,0,1,0.03706618399
adres_recentste_wijk_charlois,double,numeric,2,0,1,0.1340993153
adres_recentste_wijk_delfshaven,double,numeric,2,0,1,0.1456677422
adres_recentste_wijk_feijenoord,double,numeric,2,0,1,0.1761233966
adres_recentste_wijk_ijsselmonde,double,numeric,2,0,1,0.08074289762
adres_recentste_wijk_kralingen_c,double,numeric,2,0,1,0.07877547808
adres_recentste_wijk_noord,double,numeric,2,0,1,0.06130479263
adres_recentste_wijk_other,double,numeric,2,0,1,0.1682537184
adres_recentste_wijk_prins_alexa,double,numeric,2,0,1,0.07940505233
adres_recentste_wijk_stadscentru,double,numeric,2,0,1,0.04957897222
contacten_soort_anders,integer,integer,32,0,37,2.235382073
contacten_soort_document__inkomend_,integer,integer,46,0,75,7.618320611
contacten_soort_document__uitgaand_,integer,integer,111,0,128,21.15542614
contacten_soort_e_mail__inkomend_,integer,integer,64,0,89,4.31368537
contacten_soort_e_mail__uitgaand_,integer,integer,61,0,96,3.345636263
contacten_soort_gesprek_op_locatie,integer,integer,7,0,6,0.1079719839
contacten_soort_groepsbijeenkomsten,integer,integer,13,0,18,0.1094672228
contacten_soort_rapportage_deelname,integer,integer,24,0,34,0.6868655072
contacten_soort_rapportage_rib,integer,integer,17,0,21,0.729046982
contacten_soort_telefoontje__inkomend_,integer,integer,43,0,96,3.492720548
contacten_soort_telefoontje__uitgaand_,integer,integer,39,0,48,2.92885811
contacten_soort_afgelopenjaar_anders,integer,integer,22,0,37,0.5911702211
contacten_soort_afgelopenjaar_document__inkomend_,integer,integer,19,0,25,1.273392618
contacten_soort_afgelopenjaar_document__uitgaand_,integer,integer,40,0,46,3.229794601
contacten_soort_afgelopenjaar_e_mail__inkomend_,integer,integer,33,0,48,0.7899582907
contacten_soort_afgelopenjaar_e_mail__uitgaand_,integer,integer,30,0,46,0.8341858818
contacten_soort_afgelopenjaar_gesprek,integer,integer,19,0,19,1.057763437
contacten_soort_afgelopenjaar_gesprek_op_locatie,integer,integer,6,0,5,0.06248524435
contacten_soort_afgelopenjaar_rapportage_rib,integer,integer,13,0,15,0.2800818447
contacten_soort_afgelopenjaar_telefoontje__inkomend_,integer,integer,20,0,23,0.8102620603
contacten_soort_afgelopenjaar_telefoontje__uitgaand_,integer,integer,21,0,28,0.8507122059
contacten_onderwerp__arbeids_motivatie,integer,integer,39,0,61,2.312583615
contacten_onderwerp__pre__intake,integer,integer,10,0,9,0.2691429921
contacten_onderwerp__werk_intake,integer,integer,11,0,11,0.3808137247
contacten_onderwerp_arbeidsdiagnose_dariuz,integer,integer,7,0,6,0.1419689935
contacten_onderwerp_beoordelen_taaleis,integer,integer,12,0,13,0.3236011647
contacten_onderwerp_contact_derden,integer,integer,34,0,55,1.337766585
contacten_onderwerp_contact_met_aanbieder,integer,integer,36,0,45,1.301880853
contacten_onderwerp_diagnosegesprek,integer,integer,9,0,8,0.2197214134
contacten_onderwerp_documenten__innemen_,integer,integer,24,0,25,3.245297867
contacten_onderwerp_documenttype__cv_,integer,integer,19,0,26,0.4485716534
contacten_onderwerp_documenttype__overeenkomst_,integer,integer,16,0,15,0.8245848745
contacten_onderwerp_financiële_situatie,integer,integer,38,0,90,0.4436137562
contacten_onderwerp_groepsbijeenkomst,integer,integer,17,0,19,0.4594318092
contacten_onderwerp_inkomen,integer,integer,18,0,22,0.3758558275
contacten_onderwerp_inname_aanvraag,integer,integer,6,0,5,0.09254741481
contacten_onderwerp_inspanningstoets,integer,integer,8,0,7,0.2989690722
contacten_onderwerp_maatregel_overweging,integer,integer,13,0,15,0.2338081372
contacten_onderwerp_matching,integer,integer,62,0,130,0.7383332022
contacten_onderwerp_mutatie,integer,integer,12,0,16,0.07066970961
contacten_onderwerp_no_show,integer,integer,16,0,30,0.5506413788
contacten_onderwerp_overige,integer,integer,62,0,140,4.778389864
contacten_onderwerp_overleg_met_inkomen,integer,integer,16,0,21,0.4716298103
contacten_onderwerp_quickscan,integer,integer,7,0,6,0.09160305344
contacten_onderwerp_scholing,integer,integer,20,0,40,0.2068151413
contacten_onderwerp_screening,integer,integer,9,0,8,0.1731329189
contacten_onderwerp_terugbelverzoek,integer,integer,36,0,58,2.445187692
contacten_onderwerp_traject,integer,integer,60,0,85,4.521838357
contacten_onderwerp_uitnodiging,integer,integer,19,0,18,0.8329267333
contacten_onderwerp_vakantie,integer,integer,8,0,9,0.05249075313
contacten_onderwerp_werkintake__niet_verschenen,integer,integer,8,0,13,0.09152435665
contacten_onderwerp_ziek__of_afmelding,integer,integer,25,0,33,0.845990399
contacten_onderwerp_zorg,integer,integer,32,0,45,1.559140631
contacten_onderwerp_boolean__arbeids_motivatie,integer,integer,2,0,1,0.7057527347
contacten_onderwerp_boolean__pre__intake,integer,integer,2,0,1,0.2062642638
contacten_onderwerp_boolean__werk_intake,integer,integer,2,0,1,0.2469504997
contacten_onderwerp_boolean_beoordelen_taaleis,integer,integer,2,0,1,0.1712441961
contacten_onderwerp_boolean_contact_derden,integer,integer,2,0,1,0.4329896907
contacten_onderwerp_boolean_contact_met_aanbieder,integer,integer,2,0,1,0.3579916581
contacten_onderwerp_boolean_diagnosegesprek,integer,integer,2,0,1,0.158337924
contacten_onderwerp_boolean_documenten__innemen_,integer,integer,2,0,1,0.8144329897
contacten_onderwerp_boolean_documenttype__cv_,integer,integer,2,0,1,0.2427795703
contacten_onderwerp_boolean_documenttype__diploma_s_en_certificaten_,integer,integer,2,0,1,0.1433068388
contacten_onderwerp_boolean_documenttype__overeenkomst_,integer,integer,2,0,1,0.4209490832
contacten_onderwerp_boolean_financiële_situatie,integer,integer,2,0,1,0.1381128512
contacten_onderwerp_boolean_groepsbijeenkomst,integer,integer,2,0,1,0.2760683088
contacten_onderwerp_boolean_inkomen,integer,integer,2,0,1,0.1880066105
contacten_onderwerp_boolean_maatregel_overweging,integer,integer,2,0,1,0.1490517038
contacten_onderwerp_boolean_match___werk,integer,integer,2,0,1,0.06240654757
contacten_onderwerp_boolean_matching,integer,integer,2,0,1,0.1360667349
contacten_onderwerp_boolean_motivatie,integer,integer,2,0,1,0.03777445502
contacten_onderwerp_boolean_mutatie,integer,integer,2,0,1,0.04603761706
contacten_onderwerp_boolean_no_show,integer,integer,2,0,1,0.2837018966
contacten_onderwerp_boolean_overige,integer,integer,2,0,1,0.7487998741
contacten_onderwerp_boolean_overleg_met_inkomen,integer,integer,2,0,1,0.2311324467
contacten_onderwerp_boolean_scholing,integer,integer,2,0,1,0.101125364
contacten_onderwerp_boolean_sollicitatie,integer,integer,2,0,1,0.05595341151
contacten_onderwerp_boolean_taaleis___voldoet,integer,integer,2,0,1,0.1758086094
contacten_onderwerp_boolean_terugbelverzoek,integer,integer,2,0,1,0.6076178484
contacten_onderwerp_boolean_traject,integer,integer,2,0,1,0.7749272055
contacten_onderwerp_boolean_uitnodiging,integer,integer,2,0,1,0.4026127331
contacten_onderwerp_boolean_ziek__of_afmelding,integer,integer,2,0,1,0.3835681121
contacten_onderwerp_boolean_zorg,integer,integer,2,0,1,0.5110568978
beschikbaarheid_huidig_bekend,integer,integer,2,0,1,0.1200912883
beschikbaarheid_huidig_afwijkend_wegens_medische_omstandigheden,double,numeric,2,0,1,0.05768474069
beschikbaarheid_recent_afwijkend_wegens_medische_omstandigheden,double,numeric,2,0,1,0.2519870937
beschikbaarheid_recent_afwijkend_wegens_sociaal_maatschappelijke_situatie,double,numeric,2,0,1,0.1014401511
beschikbaarheid_aantal_historie_afwijkend_wegens_medische_omstandigheden,integer,integer,8,0,7,0.4632092547
beschikbaarheid_aantal_historie_afwijkend_wegens_sociaal_maatschappelijke_situatie,integer,integer,6,0,5,0.1789564807
relatie_partner_aantal_partner___partner__gehuwd_,double,numeric,6,0,6,0.1262296372
relatie_partner_aantal_partner___partner__ongehuwd_,double,numeric,6,0,5,0.06390178642
relatie_partner_huidige_partner___partner__gehuwd_,double,numeric,2,0,1,0.07074840639
relatie_partner_totaal_dagen_partner,integer,integer,1722,0,19471,617.5045251
pla_einde_doelstelling_bereikt,integer,integer,6,0,5,0.4362162588
pla_einde_doelstelling_bereikt__nieuw_trajectplan,integer,integer,10,0,9,0.7835838514
pla_einde_doelstelling_bereikt__overdracht,integer,integer,4,0,3,0.1577870465
pla_einde_doelstelling_niet_bereikt,integer,integer,7,0,7,0.3812072086
pla_einde_doelstelling_niet_bereikt__nieuw_trajectplan,integer,integer,11,0,10,0.9605729126
pla_einde_doelstelling_niet_bereikt__overdracht,integer,integer,6,0,5,0.2231840718
pla_einde_geplande_einddatum_overschreden_zonder_nader_bericht,integer,integer,4,0,3,0.213740458
pla_einde_other,integer,integer,6,0,5,0.1429133548
pla_einde_uitstroom_anders_dan_volgen_onderwijs__regulier_werk_of_als_zelfstandige,integer,integer,5,0,4,0.128826631
pla_actueel_pla_categorie_doelstelling_16,integer,integer,3,0,2,0.2488392225
pla_actueel_pla_categorie_doelstelling_9,integer,integer,2,0,1,0.1575509562
pla_hist_pla_categorie_doelstelling_1,integer,integer,7,0,6,0.4813095144
pla_hist_pla_categorie_doelstelling_10,integer,integer,6,0,5,0.1774612418
pla_hist_pla_categorie_doelstelling_11,integer,integer,5,0,4,0.1216652239
pla_hist_pla_categorie_doelstelling_16,integer,integer,5,0,4,0.3812859054
pla_hist_pla_categorie_doelstelling_2,integer,integer,5,0,4,0.12127174
pla_hist_pla_categorie_doelstelling_27,integer,integer,6,0,5,0.08530731093
pla_hist_pla_categorie_doelstelling_3,integer,integer,9,0,8,0.7621783269
pla_hist_pla_categorie_doelstelling_4,integer,integer,6,0,5,0.2126387031
pla_hist_pla_categorie_doelstelling_5,integer,integer,10,0,9,0.6283151019
pla_hist_pla_categorie_doelstelling_6,integer,integer,6,0,5,0.4020618557
pla_hist_pla_categorie_doelstelling_9,integer,integer,5,0,4,0.2891319745
pla_hist_pla_categorie_doelstelling_other,integer,integer,10,0,9,0.1088376485
pla_historie_maatschappelijke_inspanning,integer,integer,2,0,1,0.4012748879
pla_historie_ontwikkeling,integer,integer,2,0,1,0.5527661919
pla_historie_other,integer,integer,2,0,1,0.1657354214
pla_historie_werk,integer,integer,2,0,1,0.8243487841
pla_historie_werk_en_inburgering,integer,integer,2,0,1,0.0736601873
pla_ondertekeningen_actueel,integer,integer,4,0,3,0.5082238136
pla_ondertekeningen_historie,integer,integer,14,0,13,2.315967577
relatie_overig_kostendeler,integer,integer,2,0,1,0.1681750216
relatie_overig_bewindvoerder,integer,integer,2,0,1,0.03824663571
relatie_overig_actueel_vorm__gemachtigde,integer,integer,6,0,6,0.1322105926
relatie_overig_actueel_vorm__kostendeler,integer,integer,20,0,20,0.312347525
relatie_overig_actueel_vorm__onderhoudsplichtige,integer,integer,5,0,4,0.1543243881
relatie_overig_actueel_vorm__ouders_verzorgers,integer,integer,7,0,6,0.05603210829
relatie_overig_actueel_vorm_other,integer,integer,7,0,7,0.08861257575
relatie_overig_historie_vorm__andere_inwonende,integer,integer,10,0,9,0.251514913
relatie_overig_historie_vorm__gemachtigde,integer,integer,7,0,6,0.226331943
relatie_overig_historie_vorm__kostendeler,integer,integer,26,0,26,0.6055717321
relatie_overig_historie_vorm__onderhoudsplichtige,integer,integer,6,0,5,0.280317935
ontheffing_reden_tijdelijke_ontheffing_arbeidsverpl__en_tegenprestatie,integer,integer,2,0,1,0.07208625167
ontheffing_actueel_ind,integer,integer,2,0,1,0.1488943102
ontheffing_reden_hist_medische_gronden,integer,integer,5,0,4,0.2291650272
ontheffing_reden_hist_other,integer,integer,4,0,3,0.03903360353
ontheffing_reden_hist_sociale_gronden,integer,integer,5,0,4,0.08829778862
