"","decile","IV","n","perc","data_type"
"1",1,"IV: 
",1265,10.003954132068,"real_conditional"
"2",2,"IV: 
",1265,10.003954132068,"real_conditional"
"3",3,"IV: 
",1265,10.003954132068,"real_conditional"
"4",4,"IV: 
",1265,10.003954132068,"real_conditional"
"5",5,"IV: 
",1265,10.003954132068,"real_conditional"
"6",6,"IV: 
",1264,9.99604586793199,"real_conditional"
"7",7,"IV: 
",1264,9.99604586793199,"real_conditional"
"8",8,"IV: 
",1264,9.99604586793199,"real_conditional"
"9",9,"IV: 
",1264,9.99604586793199,"real_conditional"
"10",10,"IV: 
",1264,9.99604586793199,"real_conditional"
"11",1,"IV: 
",1265,10.003954132068,"synth_conditional"
"12",2,"IV: 
",1265,10.003954132068,"synth_conditional"
"13",3,"IV: 
",1265,10.003954132068,"synth_conditional"
"14",4,"IV: 
",1265,10.003954132068,"synth_conditional"
"15",5,"IV: 
",1265,10.003954132068,"synth_conditional"
"16",6,"IV: 
",1264,9.99604586793199,"synth_conditional"
"17",7,"IV: 
",1264,9.99604586793199,"synth_conditional"
"18",8,"IV: 
",1264,9.99604586793199,"synth_conditional"
"19",9,"IV: 
",1264,9.99604586793199,"synth_conditional"
"20",10,"IV: 
",1264,9.99604586793199,"synth_conditional"
