"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
persoon_geslacht_vrouw: 0
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 0
relatie_kind_heeft_kinderen: 0
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
relatie_kind_basisschool_kind: 0
belemmering_dagen_financiele_problemen: 0
","Ja",4403,0.444,0.146,0.0590506472859414,0.181694299341358,-4.09493527140586,8.16942993413582,"real"
"2","IV: 
persoon_geslacht_vrouw: 0
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 0
relatie_kind_heeft_kinderen: 0
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
relatie_kind_basisschool_kind: 0
belemmering_dagen_financiele_problemen: 700
","Ja",1,0.51,NA,0,0,-10,-10,"real"
"3","IV: 
persoon_geslacht_vrouw: 0
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 0
relatie_kind_heeft_kinderen: 0
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
relatie_kind_basisschool_kind: 0
belemmering_dagen_financiele_problemen: 0
","Ja",3,0.555,0.157,0.333333333333333,0.333333333333333,23.3333333333333,23.3333333333333,"real"
"4","IV: 
persoon_geslacht_vrouw: 1
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 0
relatie_kind_heeft_kinderen: 0
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
relatie_kind_basisschool_kind: 0
belemmering_dagen_financiele_problemen: 0
","Ja",1446,0.419,0.162,0.0726141078838174,0.170816044260028,-2.73858921161826,7.08160442600277,"real"
"5","IV: 
persoon_geslacht_vrouw: 1
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 0
relatie_kind_heeft_kinderen: 0
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
relatie_kind_basisschool_kind: 0
belemmering_dagen_financiele_problemen: 700
","Ja",1,0.515,NA,0,0,-10,-10,"real"
"6","IV: 
persoon_geslacht_vrouw: 1
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 0
relatie_kind_heeft_kinderen: 0
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
relatie_kind_basisschool_kind: 0
belemmering_dagen_financiele_problemen: 0
","Ja",33,0.474,0.148,0.0606060606060606,0.212121212121212,-3.93939393939394,11.2121212121212,"real"
"7","IV: 
persoon_geslacht_vrouw: 1
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 2
relatie_kind_heeft_kinderen: 1
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
relatie_kind_basisschool_kind: 0
belemmering_dagen_financiele_problemen: 0
","Ja",14,0.501,0.127,0.0714285714285714,0.214285714285714,-2.85714285714286,11.4285714285714,"real"
"8","IV: 
persoon_geslacht_vrouw: 1
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 2
relatie_kind_heeft_kinderen: 1
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
relatie_kind_basisschool_kind: 2
belemmering_dagen_financiele_problemen: 0
","Ja",2,0.739,0.107,0.5,1,40,90,"real"
"9","IV: 
persoon_geslacht_vrouw: 0
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 0
relatie_kind_heeft_kinderen: 0
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
relatie_kind_basisschool_kind: 0
belemmering_dagen_financiele_problemen: 0
","Ja",12645,0.461,0.149,0.0695927243969949,0.209727164887307,-3.04072756030051,10.9727164887307,"real_conditional"
"10","IV: 
persoon_geslacht_vrouw: 0
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 0
relatie_kind_heeft_kinderen: 0
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
relatie_kind_basisschool_kind: 0
belemmering_dagen_financiele_problemen: 700
","Ja",12645,0.476,0.145,0.0752866745749308,0.228311585606959,-2.47133254250692,12.8311585606959,"real_conditional"
"11","IV: 
persoon_geslacht_vrouw: 0
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 2
relatie_kind_heeft_kinderen: 1
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
relatie_kind_basisschool_kind: 2
belemmering_dagen_financiele_problemen: 0
","Ja",12645,0.507,0.141,0.0990905496243575,0.298695136417556,-0.0909450375642551,19.8695136417556,"real_conditional"
"12","IV: 
persoon_geslacht_vrouw: 0
relatie_partner_totaal_dagen_partner: 0
relatie_kind_huidige_aantal: 2
relatie_kind_heeft_kinderen: 1
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 20
relatie_kind_basisschool_kind: 2
belemmering_dagen_financiele_problemen: 700
","Ja",12645,0.52,0.137,0.109529458283907,0.323764333728747,0.952945828390668,22.3764333728747,"real_conditional"
"13","IV: 
persoon_geslacht_vrouw: 0
relatie_partner_totaal_dagen_partner: 720
relatie_kind_huidige_aantal: 0
relatie_kind_heeft_kinderen: 0
relatie_kind_leeftijd_verschil_ouder_eerste_kind: 0
relatie_kind_basisschool_kind: 0
belemmering_dagen_financiele_problemen: 0
","Ja",12645,0.503,0.144,0.100830367734282,0.290075128509292,0.0830367734282314,19.0075128509292,"real_conditional"
