"","decile","IV","n","perc","data_type"
"1",1,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",79,8.40425531914894,"real"
"2",1,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",33,13.6363636363636,"real"
"3",1,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: NA
",38,13.0584192439863,"real"
"4",2,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",95,10.1063829787234,"real"
"5",2,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",27,11.1570247933884,"real"
"6",2,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: NA
",27,9.27835051546392,"real"
"7",3,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",93,9.8936170212766,"real"
"8",3,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",20,8.26446280991735,"real"
"9",3,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: NA
",35,12.0274914089347,"real"
"10",3,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_stadscentru
",1,50,"real"
"11",4,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",89,9.46808510638298,"real"
"12",4,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",32,13.2231404958678,"real"
"13",4,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: NA
",27,9.27835051546392,"real"
"14",4,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",1,6.66666666666667,"real"
"15",5,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",92,9.78723404255319,"real"
"16",5,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",20,8.26446280991735,"real"
"17",5,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: NA
",36,12.3711340206186,"real"
"18",5,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",1,6.66666666666667,"real"
"19",6,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",102,10.8510638297872,"real"
"20",6,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",15,6.19834710743802,"real"
"21",6,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: NA
",28,9.62199312714777,"real"
"22",6,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",3,20,"real"
"23",6,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: NA
",1,100,"real"
"24",7,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",106,11.2765957446809,"real"
"25",7,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",26,10.7438016528926,"real"
"26",7,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: NA
",16,5.49828178694158,"real"
"27",7,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_stadscentru
",1,50,"real"
"28",8,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",87,9.25531914893617,"real"
"29",8,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",29,11.9834710743802,"real"
"30",8,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: NA
",27,9.27835051546392,"real"
"31",8,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",6,40,"real"
"32",9,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",98,10.4255319148936,"real"
"33",9,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",19,7.85123966942149,"real"
"34",9,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: NA
",29,9.96563573883162,"real"
"35",9,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",3,20,"real"
"36",10,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",99,10.531914893617,"real"
"37",10,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",21,8.67768595041322,"real"
"38",10,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: NA
",28,9.62199312714777,"real"
"39",10,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",1,6.66666666666667,"real"
"40",1,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",1466,11.5935152234085,"real_conditional"
"41",1,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",1539,12.1708185053381,"real_conditional"
"42",1,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",1001,7.91617240015817,"real_conditional"
"43",1,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_stadscentru
",1052,8.3194938710953,"real_conditional"
"44",2,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",1326,10.4863582443654,"real_conditional"
"45",2,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",1340,10.5970739422697,"real_conditional"
"46",2,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",1183,9.3554764729142,"real_conditional"
"47",2,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_stadscentru
",1209,9.56109134045077,"real_conditional"
"48",3,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",1296,10.2491103202847,"real_conditional"
"49",3,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",1282,10.1383946223804,"real_conditional"
"50",3,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",1224,9.6797153024911,"real_conditional"
"51",3,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_stadscentru
",1256,9.93277975484381,"real_conditional"
"52",4,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",1235,9.76670620798735,"real_conditional"
"53",4,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",1258,9.94859628311586,"real_conditional"
"54",4,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",1290,10.2016607354686,"real_conditional"
"55",4,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_stadscentru
",1275,10.0830367734282,"real_conditional"
"56",5,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_delfshaven
",1299,10.2728351126928,"real_conditional"
"57",5,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 0
var_2: adres_recentste_wijk_stadscentru
",1283,10.1463028865164,"real_conditional"
"58",5,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_delfshaven
",1247,9.86160537761961,"real_conditional"
"59",5,"IV: 
relatie_overig_historie_vorm__andere_inwonende: 3
var_2: adres_recentste_wijk_stadscentru
",1229,9.71925662317121,"real_conditional"
