"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",679,11.8333914255838,"real"
"2",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",407,11.0989910008181,"real"
"3",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",122,6.97940503432494,"real"
"4",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",25,3.36473755047106,"real"
"5",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",11,2.83505154639175,"real"
"6",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",618,10.7703032415476,"real"
"7",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",421,11.4807744750477,"real"
"8",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",155,8.86727688787185,"real"
"9",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",40,5.3835800807537,"real"
"10",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",7,1.80412371134021,"real"
"11",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",3,2.12765957446809,"real"
"12",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",607,10.5785988149181,"real"
"13",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",425,11.5898554676848,"real"
"14",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",157,8.98169336384439,"real"
"15",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",35,4.71063257065949,"real"
"16",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",19,4.89690721649485,"real"
"17",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",1,0.709219858156028,"real"
"18",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",540,9.41094457999303,"real"
"19",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",433,11.8080174529588,"real"
"20",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",183,10.4691075514874,"real"
"21",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",57,7.67160161507402,"real"
"22",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",23,5.92783505154639,"real"
"23",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",8,5.67375886524823,"real"
"24",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",599,10.439177413733,"real"
"25",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",392,10.6899372784292,"real"
"26",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1,50,"real"
"27",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",168,9.61098398169336,"real"
"28",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",55,7.40242261103634,"real"
"29",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",19,4.89690721649485,"real"
"30",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",10,7.09219858156028,"real"
"31",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",561,9.77692575810387,"real"
"32",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",388,10.5808562857922,"real"
"33",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",191,10.9267734553776,"real"
"34",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",76,10.228802153432,"real"
"35",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",23,5.92783505154639,"real"
"36",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",5,3.54609929078014,"real"
"37",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",551,9.60264900662252,"real"
"38",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",376,10.2536133078811,"real"
"39",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1,9.09090909090909,"real"
"40",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",176,10.0686498855835,"real"
"41",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",81,10.9017496635262,"real"
"42",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",47,12.1134020618557,"real"
"43",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",12,8.51063829787234,"real"
"44",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",575,10.0209132101778,"real"
"45",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",312,8.50831742568857,"real"
"46",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",196,11.2128146453089,"real"
"47",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",97,13.0551816958277,"real"
"48",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",46,11.8556701030928,"real"
"49",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",18,12.7659574468085,"real"
"50",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",581,10.1254792610666,"real"
"51",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",291,7.93564221434415,"real"
"52",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1,9.09090909090909,"real"
"53",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1,50,"real"
"54",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",188,10.7551487414188,"real"
"55",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",113,15.2086137281292,"real"
"56",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",50,12.8865979381443,"real"
"57",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",18,12.7659574468085,"real"
"58",10,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",427,7.44161728825375,"real"
"59",10,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",222,6.05399509135533,"real"
"60",10,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",9,81.8181818181818,"real"
"61",10,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",212,12.1281464530892,"real"
"62",10,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",164,22.0726783310902,"real"
"63",10,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",143,36.8556701030928,"real"
"64",10,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",66,46.8085106382979,"real"
"65",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",1309,10.351917754053,"real_conditional"
"66",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",1310,10.359826018189,"real_conditional"
"67",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1241,9.81415579280348,"real_conditional"
"68",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1241,9.81415579280348,"real_conditional"
"69",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",1294,10.2332937920127,"real_conditional"
"70",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",1242,9.8220640569395,"real_conditional"
"71",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",1240,9.80624752866746,"real_conditional"
"72",1,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",1239,9.79833926453144,"real_conditional"
"73",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",1282,10.1383946223804,"real_conditional"
"74",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",1282,10.1383946223804,"real_conditional"
"75",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1255,9.92487149070779,"real_conditional"
"76",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1255,9.92487149070779,"real_conditional"
"77",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",1285,10.1621194147885,"real_conditional"
"78",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",1260,9.9644128113879,"real_conditional"
"79",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",1248,9.86951364175563,"real_conditional"
"80",2,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",1249,9.87742190589166,"real_conditional"
"81",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",1272,10.0593119810202,"real_conditional"
"82",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",1273,10.0672202451562,"real_conditional"
"83",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1268,10.0276789244761,"real_conditional"
"84",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1268,10.0276789244761,"real_conditional"
"85",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",1276,10.0909450375643,"real_conditional"
"86",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",1259,9.95650454725188,"real_conditional"
"87",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",1250,9.88533017002768,"real_conditional"
"88",3,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",1250,9.88533017002768,"real_conditional"
"89",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",1270,10.0434954527481,"real_conditional"
"90",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",1268,10.0276789244761,"real_conditional"
"91",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1274,10.0751285092922,"real_conditional"
"92",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1274,10.0751285092922,"real_conditional"
"93",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",1268,10.0276789244761,"real_conditional"
"94",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",1250,9.88533017002768,"real_conditional"
"95",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",1256,9.93277975484381,"real_conditional"
"96",4,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",1256,9.93277975484381,"real_conditional"
"97",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",1274,10.0751285092922,"real_conditional"
"98",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",1273,10.0672202451562,"real_conditional"
"99",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1265,10.003954132068,"real_conditional"
"100",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1265,10.003954132068,"real_conditional"
"101",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",1251,9.8932384341637,"real_conditional"
"102",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",1264,9.99604586793199,"real_conditional"
"103",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",1262,9.98022933965994,"real_conditional"
"104",5,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",1262,9.98022933965994,"real_conditional"
"105",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",1242,9.8220640569395,"real_conditional"
"106",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",1246,9.85369711348359,"real_conditional"
"107",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1279,10.1146698299723,"real_conditional"
"108",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1279,10.1146698299723,"real_conditional"
"109",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",1264,9.99604586793199,"real_conditional"
"110",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",1266,10.011862396204,"real_conditional"
"111",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",1270,10.0434954527481,"real_conditional"
"112",6,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",1270,10.0434954527481,"real_conditional"
"113",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",1264,9.99604586793199,"real_conditional"
"114",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",1265,10.003954132068,"real_conditional"
"115",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1271,10.0514037168841,"real_conditional"
"116",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1271,10.0514037168841,"real_conditional"
"117",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",1264,9.99604586793199,"real_conditional"
"118",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",1260,9.9644128113879,"real_conditional"
"119",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",1261,9.97232107552392,"real_conditional"
"120",7,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",1260,9.9644128113879,"real_conditional"
"121",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",1258,9.94859628311586,"real_conditional"
"122",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",1257,9.94068801897983,"real_conditional"
"123",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1257,9.94068801897983,"real_conditional"
"124",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1257,9.94068801897983,"real_conditional"
"125",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",1255,9.92487149070779,"real_conditional"
"126",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",1277,10.0988533017003,"real_conditional"
"127",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",1277,10.0988533017003,"real_conditional"
"128",8,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",1278,10.1067615658363,"real_conditional"
"129",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",1244,9.83788058521155,"real_conditional"
"130",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 1
",1241,9.81415579280348,"real_conditional"
"131",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 10
",1267,10.0197706603401,"real_conditional"
"132",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 15
",1267,10.0197706603401,"real_conditional"
"133",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 2
",1243,9.82997232107552,"real_conditional"
"134",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 3
",1280,10.1225780941083,"real_conditional"
"135",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 4
",1287,10.1779359430605,"real_conditional"
"136",9,"IV: 
contacten_soort_afgelopenjaar_gesprek: 5
",1287,10.1779359430605,"real_conditional"
"137",10,"IV: 
contacten_soort_afgelopenjaar_gesprek: 0
",1230,9.72716488730724,"real_conditional"
