"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
contacten_soort_afgelopenjaar_gesprek: 0
","Ja",5738,0.472,0.148,0.0639595677936563,0.249912861624259,-3.60404322063437,14.9912861624259,"real"
"2","IV: 
contacten_soort_afgelopenjaar_gesprek: 1
","Ja",3667,0.461,0.141,0.0556313062448868,0.201254431415326,-4.43686937551132,10.1254431415326,"real"
"3","IV: 
contacten_soort_afgelopenjaar_gesprek: 10
","Ja",11,0.738,0.074,0.818181818181818,0.909090909090909,71.8181818181818,80.9090909090909,"real"
"4","IV: 
contacten_soort_afgelopenjaar_gesprek: 15
","Ja",2,0.569,0.161,0,0.5,-10,40,"real"
"5","IV: 
contacten_soort_afgelopenjaar_gesprek: 2
","Ja",1748,0.505,0.148,0.111556064073227,0.310640732265446,1.15560640732265,21.0640732265446,"real"
"6","IV: 
contacten_soort_afgelopenjaar_gesprek: 3
","Ja",743,0.569,0.149,0.215343203230148,0.456258411843876,11.5343203230148,35.6258411843876,"real"
"7","IV: 
contacten_soort_afgelopenjaar_gesprek: 4
","Ja",388,0.612,0.151,0.353092783505155,0.574742268041237,25.3092783505155,47.4742268041237,"real"
"8","IV: 
contacten_soort_afgelopenjaar_gesprek: 5
","Ja",141,0.65,0.137,0.432624113475177,0.687943262411348,33.2624113475177,58.7943262411348,"real"
"9","IV: 
contacten_soort_afgelopenjaar_gesprek: 0
","Ja",12645,0.489,0.153,0.0991696322657177,0.280743376828786,-0.0830367734282328,18.0743376828786,"real_conditional"
"10","IV: 
contacten_soort_afgelopenjaar_gesprek: 1
","Ja",12645,0.489,0.153,0.098932384341637,0.280901542111507,-0.1067615658363,18.0901542111507,"real_conditional"
"11","IV: 
contacten_soort_afgelopenjaar_gesprek: 10
","Ja",12645,0.492,0.153,0.102253855278766,0.286200079082641,0.22538552787663,18.6200079082641,"real_conditional"
"12","IV: 
contacten_soort_afgelopenjaar_gesprek: 15
","Ja",12645,0.492,0.153,0.102253855278766,0.286200079082641,0.22538552787663,18.6200079082641,"real_conditional"
"13","IV: 
contacten_soort_afgelopenjaar_gesprek: 2
","Ja",12645,0.489,0.153,0.0999604586793199,0.281850533807829,-0.00395413206801115,18.1850533807829,"real_conditional"
"14","IV: 
contacten_soort_afgelopenjaar_gesprek: 3
","Ja",12645,0.493,0.153,0.103044681692369,0.288256227758007,0.304468169236852,18.8256227758007,"real_conditional"
"15","IV: 
contacten_soort_afgelopenjaar_gesprek: 4
","Ja",12645,0.493,0.153,0.103835508105971,0.289679715302491,0.383550810597073,18.9679715302491,"real_conditional"
"16","IV: 
contacten_soort_afgelopenjaar_gesprek: 5
","Ja",12645,0.493,0.153,0.103835508105971,0.289679715302491,0.383550810597073,18.9679715302491,"real_conditional"
"17","IV: 
contacten_soort_afgelopenjaar_gesprek: 0
","Ja",3041,0.597,0.089,0.0720157842814863,0.577770470240053,-2.79842157185137,47.7770470240053,"synth"
"18","IV: 
contacten_soort_afgelopenjaar_gesprek: 1
","Ja",4960,0.607,0.086,0.0953629032258065,0.617137096774194,-0.463709677419355,51.7137096774194,"synth"
"19","IV: 
contacten_soort_afgelopenjaar_gesprek: 2
","Ja",2827,0.62,0.081,0.107534488857446,0.676335337813937,0.753448885744605,57.6335337813937,"synth"
"20","IV: 
contacten_soort_afgelopenjaar_gesprek: 3
","Ja",1276,0.634,0.075,0.134012539184953,0.748432601880878,3.4012539184953,64.8432601880878,"synth"
"21","IV: 
contacten_soort_afgelopenjaar_gesprek: 4
","Ja",426,0.644,0.076,0.185446009389671,0.779342723004695,8.54460093896714,67.9342723004695,"synth"
"22","IV: 
contacten_soort_afgelopenjaar_gesprek: 5
","Ja",96,0.64,0.07,0.15625,0.770833333333333,5.625,67.0833333333333,"synth"
"23","IV: 
contacten_soort_afgelopenjaar_gesprek: 0
","Ja",12508,0.611,0.085,0.0974576271186441,0.639430764310841,-0.254237288135593,53.9430764310841,"synth_conditional"
"24","IV: 
contacten_soort_afgelopenjaar_gesprek: 1
","Ja",12508,0.611,0.085,0.0970578829549089,0.638631275983371,-0.294211704509115,53.8631275983371,"synth_conditional"
"25","IV: 
contacten_soort_afgelopenjaar_gesprek: 10
","Ja",12508,0.612,0.085,0.0977774224496322,0.643668052446434,-0.222257755036777,54.3668052446434,"synth_conditional"
"26","IV: 
contacten_soort_afgelopenjaar_gesprek: 15
","Ja",12508,0.612,0.085,0.0977774224496322,0.643668052446434,-0.222257755036777,54.3668052446434,"synth_conditional"
"27","IV: 
contacten_soort_afgelopenjaar_gesprek: 2
","Ja",12508,0.612,0.085,0.0983370642788615,0.640869843300288,-0.166293572113847,54.0869843300288,"synth_conditional"
"28","IV: 
contacten_soort_afgelopenjaar_gesprek: 3
","Ja",12508,0.614,0.085,0.10433322673489,0.651662935721138,0.433322673488966,55.1662935721138,"synth_conditional"
"29","IV: 
contacten_soort_afgelopenjaar_gesprek: 4
","Ja",12508,0.614,0.085,0.104812919731372,0.652142628717621,0.481291973137192,55.2142628717621,"synth_conditional"
"30","IV: 
contacten_soort_afgelopenjaar_gesprek: 5
","Ja",12508,0.614,0.085,0.104812919731372,0.652142628717621,0.481291973137192,55.2142628717621,"synth_conditional"
