"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
adres_aantal_verschillende_wijken: 1
","Ja",6928,0.459,0.156,0.0802540415704388,0.229070438799076,-1.97459584295612,12.9070438799076,"real"
"2","IV: 
adres_aantal_verschillende_wijken: 2
","Ja",2975,0.508,0.145,0.111260504201681,0.304201680672269,1.12605042016807,20.4201680672269,"real"
"3","IV: 
adres_aantal_verschillende_wijken: 3
","Ja",1403,0.536,0.139,0.126870990734141,0.366357804704205,2.68709907341411,26.6357804704205,"real"
"4","IV: 
adres_aantal_verschillende_wijken: 4
","Ja",791,0.549,0.133,0.149178255372946,0.398230088495575,4.91782553729456,29.8230088495575,"real"
"5","IV: 
adres_aantal_verschillende_wijken: 5
","Ja",373,0.557,0.128,0.150134048257373,0.450402144772118,5.01340482573726,35.0402144772118,"real"
"6","IV: 
adres_aantal_verschillende_wijken: 6
","Ja",125,0.542,0.137,0.12,0.424,2,32.4,"real"
"7","IV: 
adres_aantal_verschillende_wijken: 7
","Ja",33,0.563,0.097,0.121212121212121,0.363636363636364,2.12121212121212,26.3636363636364,"real"
"8","IV: 
adres_aantal_verschillende_wijken: 8
","Ja",12,0.653,0.081,0.416666666666667,0.75,31.6666666666667,65,"real"
"9","IV: 
adres_aantal_verschillende_wijken: 9
","Ja",5,0.63,0.144,0.4,0.6,30,50,"real"
"10","IV: 
adres_aantal_verschillende_wijken: 1
","Ja",12645,0.489,0.153,0.0988533017002768,0.280506128904705,-0.114669829972322,18.0506128904705,"real_conditional"
"11","IV: 
adres_aantal_verschillende_wijken: 2
","Ja",12645,0.489,0.153,0.0988533017002768,0.280506128904705,-0.114669829972322,18.0506128904705,"real_conditional"
"12","IV: 
adres_aantal_verschillende_wijken: 3
","Ja",12645,0.489,0.153,0.0991696322657177,0.280822459470146,-0.0830367734282328,18.0822459470146,"real_conditional"
"13","IV: 
adres_aantal_verschillende_wijken: 4
","Ja",12645,0.492,0.153,0.102886516409648,0.287149070778964,0.288651640964808,18.7149070778964,"real_conditional"
"14","IV: 
adres_aantal_verschillende_wijken: 5
","Ja",12645,0.492,0.153,0.103044681692369,0.287465401344405,0.304468169236852,18.7465401344405,"real_conditional"
"15","IV: 
adres_aantal_verschillende_wijken: 6
","Ja",12645,0.492,0.153,0.103044681692369,0.287465401344405,0.304468169236852,18.7465401344405,"real_conditional"
"16","IV: 
adres_aantal_verschillende_wijken: 7
","Ja",12645,0.499,0.153,0.113562672993278,0.302965599051008,1.3562672993278,20.2965599051008,"real_conditional"
"17","IV: 
adres_aantal_verschillende_wijken: 8
","Ja",12645,0.499,0.153,0.113562672993278,0.302965599051008,1.3562672993278,20.2965599051008,"real_conditional"
"18","IV: 
adres_aantal_verschillende_wijken: 9
","Ja",12645,0.499,0.153,0.113562672993278,0.302965599051008,1.3562672993278,20.2965599051008,"real_conditional"
"19","IV: 
adres_aantal_verschillende_wijken: 1
","Ja",3533,0.6,0.089,0.077271440701953,0.590433059722615,-2.2728559298047,49.0433059722615,"synth"
"20","IV: 
adres_aantal_verschillende_wijken: 2
","Ja",5485,0.611,0.084,0.0949863263445761,0.6359161349134,-0.501367365542389,53.59161349134,"synth"
"21","IV: 
adres_aantal_verschillende_wijken: 3
","Ja",2636,0.622,0.082,0.121775417298938,0.690060698027314,2.17754172989378,59.0060698027314,"synth"
"22","IV: 
adres_aantal_verschillende_wijken: 4
","Ja",814,0.626,0.082,0.141277641277641,0.697788697788698,4.12776412776413,59.7788697788698,"synth"
"23","IV: 
adres_aantal_verschillende_wijken: 5
","Ja",155,0.652,0.066,0.187096774193548,0.845161290322581,8.70967741935484,74.5161290322581,"synth"
"24","IV: 
adres_aantal_verschillende_wijken: 6
","Ja",21,0.66,0.072,0.285714285714286,0.80952380952381,18.5714285714286,70.9523809523809,"synth"
"25","IV: 
adres_aantal_verschillende_wijken: 7
","Ja",1,0.555,NA,0,0,-10,-10,"synth"
"26","IV: 
adres_aantal_verschillende_wijken: 1
","Ja",12508,0.612,0.085,0.0997761432683083,0.641269587464023,-0.0223856731691729,54.1269587464023,"synth_conditional"
"27","IV: 
adres_aantal_verschillende_wijken: 2
","Ja",12508,0.612,0.085,0.0997761432683083,0.641269587464023,-0.0223856731691729,54.1269587464023,"synth_conditional"
"28","IV: 
adres_aantal_verschillende_wijken: 3
","Ja",12508,0.611,0.085,0.0982571154461145,0.639430764310841,-0.174288455388552,53.9430764310841,"synth_conditional"
"29","IV: 
adres_aantal_verschillende_wijken: 4
","Ja",12508,0.613,0.085,0.102574352414455,0.642308922289735,0.257435241445475,54.2308922289735,"synth_conditional"
"30","IV: 
adres_aantal_verschillende_wijken: 5
","Ja",12508,0.613,0.085,0.104093380236649,0.644467540773905,0.409338023664854,54.4467540773905,"synth_conditional"
"31","IV: 
adres_aantal_verschillende_wijken: 6
","Ja",12508,0.613,0.085,0.104093380236649,0.644467540773905,0.409338023664854,54.4467540773905,"synth_conditional"
"32","IV: 
adres_aantal_verschillende_wijken: 7
","Ja",12508,0.619,0.085,0.117364886472657,0.667412855772306,1.73648864726575,56.7412855772306,"synth_conditional"
"33","IV: 
adres_aantal_verschillende_wijken: 8
","Ja",12508,0.619,0.085,0.117364886472657,0.667412855772306,1.73648864726575,56.7412855772306,"synth_conditional"
"34","IV: 
adres_aantal_verschillende_wijken: 9
","Ja",12508,0.619,0.085,0.117364886472657,0.667412855772306,1.73648864726575,56.7412855772306,"synth_conditional"
