"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
adres_aantal_verzendadres: 0
","Ja",10339,0.484,0.157,0.103588354773189,0.278750362704323,0.358835477318889,17.8750362704323,"real"
"2","IV: 
adres_aantal_verzendadres: 1
","Ja",1706,0.511,0.134,0.0908558030480656,0.296014067995311,-0.914419695193436,19.6014067995311,"real"
"3","IV: 
adres_aantal_verzendadres: 2
","Ja",443,0.509,0.124,0.0632054176072235,0.284424379232506,-3.67945823927765,18.4424379232506,"real"
"4","IV: 
adres_aantal_verzendadres: 3
","Ja",108,0.533,0.117,0.0648148148148148,0.342592592592593,-3.51851851851852,24.2592592592593,"real"
"5","IV: 
adres_aantal_verzendadres: 4
","Ja",38,0.511,0.125,0.0526315789473684,0.263157894736842,-4.73684210526316,16.3157894736842,"real"
"6","IV: 
adres_aantal_verzendadres: 5
","Ja",10,0.577,0.129,0.2,0.5,10,40,"real"
"7","IV: 
adres_aantal_verzendadres: 6
","Ja",1,0.659,NA,0,1,-10,90,"real"
"8","IV: 
adres_aantal_verzendadres: 0
","Ja",12645,0.494,0.155,0.108343218663503,0.297667062079873,0.834321866350336,19.7667062079873,"real_conditional"
"9","IV: 
adres_aantal_verzendadres: 1
","Ja",12645,0.48,0.151,0.08572558323448,0.259311981020166,-1.427441676552,15.9311981020166,"real_conditional"
"10","IV: 
adres_aantal_verzendadres: 2
","Ja",12645,0.479,0.151,0.0835903519177541,0.256623171213919,-1.64096480822459,15.6623171213919,"real_conditional"
"11","IV: 
adres_aantal_verzendadres: 3
","Ja",12645,0.479,0.151,0.0835903519177541,0.256623171213919,-1.64096480822459,15.6623171213919,"real_conditional"
"12","IV: 
adres_aantal_verzendadres: 4
","Ja",12645,0.479,0.151,0.0835903519177541,0.256623171213919,-1.64096480822459,15.6623171213919,"real_conditional"
"13","IV: 
adres_aantal_verzendadres: 5
","Ja",12645,0.479,0.151,0.0835903519177541,0.256623171213919,-1.64096480822459,15.6623171213919,"real_conditional"
"14","IV: 
adres_aantal_verzendadres: 6
","Ja",12645,0.479,0.151,0.0835903519177541,0.256623171213919,-1.64096480822459,15.6623171213919,"real_conditional"
"15","IV: 
adres_aantal_verzendadres: 0
","Ja",7343,0.614,0.087,0.106768350810296,0.653819964592129,0.676835081029552,55.3819964592129,"synth"
"16","IV: 
adres_aantal_verzendadres: 1
","Ja",5126,0.609,0.083,0.0891533359344518,0.622707764338666,-1.08466640655482,52.2707764338666,"synth"
"17","IV: 
adres_aantal_verzendadres: 2
","Ja",175,0.622,0.083,0.137142857142857,0.657142857142857,3.71428571428571,55.7142857142857,"synth"
"18","IV: 
adres_aantal_verzendadres: 3
","Ja",1,0.639,NA,0,1,-10,90,"synth"
"19","IV: 
adres_aantal_verzendadres: 0
","Ja",12508,0.619,0.086,0.12216181643748,0.668771985929005,2.216181643748,56.8771985929005,"synth_conditional"
"20","IV: 
adres_aantal_verzendadres: 1
","Ja",12508,0.604,0.085,0.0785897025903422,0.605452510393348,-2.14102974096578,50.5452510393348,"synth_conditional"
"21","IV: 
adres_aantal_verzendadres: 2
","Ja",12508,0.603,0.085,0.0758714422769428,0.600655580428526,-2.41285577230572,50.0655580428526,"synth_conditional"
"22","IV: 
adres_aantal_verzendadres: 3
","Ja",12508,0.603,0.085,0.0758714422769428,0.600655580428526,-2.41285577230572,50.0655580428526,"synth_conditional"
"23","IV: 
adres_aantal_verzendadres: 4
","Ja",12508,0.603,0.085,0.0758714422769428,0.600655580428526,-2.41285577230572,50.0655580428526,"synth_conditional"
"24","IV: 
adres_aantal_verzendadres: 5
","Ja",12508,0.603,0.085,0.0758714422769428,0.600655580428526,-2.41285577230572,50.0655580428526,"synth_conditional"
"25","IV: 
adres_aantal_verzendadres: 6
","Ja",12508,0.603,0.085,0.0758714422769428,0.600655580428526,-2.41285577230572,50.0655580428526,"synth_conditional"
