"","decile","IV","n","perc","data_type"
"1",1,"IV: 
adres_unieke_wijk_ratio: 0.4
",2,1.05820105820106,"real"
"2",1,"IV: 
adres_unieke_wijk_ratio: 0.5
",120,6.69269380925823,"real"
"3",1,"IV: 
adres_unieke_wijk_ratio: 0.6
",6,2.12765957446809,"real"
"4",1,"IV: 
adres_unieke_wijk_ratio: 0.8
",2,1.28205128205128,"real"
"5",1,"IV: 
adres_unieke_wijk_ratio: 1
",862,11.579795808705,"real"
"6",2,"IV: 
adres_unieke_wijk_ratio: 0.4
",5,2.64550264550265,"real"
"7",2,"IV: 
adres_unieke_wijk_ratio: 0.5
",166,9.25822643614055,"real"
"8",2,"IV: 
adres_unieke_wijk_ratio: 0.6
",19,6.73758865248227,"real"
"9",2,"IV: 
adres_unieke_wijk_ratio: 0.8
",9,5.76923076923077,"real"
"10",2,"IV: 
adres_unieke_wijk_ratio: 1
",793,10.6528747984954,"real"
"11",3,"IV: 
adres_unieke_wijk_ratio: 0.2
",1,4.34782608695652,"real"
"12",3,"IV: 
adres_unieke_wijk_ratio: 0.3
",1,4.16666666666667,"real"
"13",3,"IV: 
adres_unieke_wijk_ratio: 0.4
",14,7.40740740740741,"real"
"14",3,"IV: 
adres_unieke_wijk_ratio: 0.5
",167,9.31399888455103,"real"
"15",3,"IV: 
adres_unieke_wijk_ratio: 0.6
",15,5.31914893617021,"real"
"16",3,"IV: 
adres_unieke_wijk_ratio: 0.8
",15,9.61538461538461,"real"
"17",3,"IV: 
adres_unieke_wijk_ratio: 1
",779,10.4648038688877,"real"
"18",4,"IV: 
adres_unieke_wijk_ratio: 0.2
",2,8.69565217391304,"real"
"19",4,"IV: 
adres_unieke_wijk_ratio: 0.3
",2,8.33333333333333,"real"
"20",4,"IV: 
adres_unieke_wijk_ratio: 0.4
",29,15.3439153439153,"real"
"21",4,"IV: 
adres_unieke_wijk_ratio: 0.5
",176,9.8159509202454,"real"
"22",4,"IV: 
adres_unieke_wijk_ratio: 0.6
",25,8.86524822695035,"real"
"23",4,"IV: 
adres_unieke_wijk_ratio: 0.8
",10,6.41025641025641,"real"
"24",4,"IV: 
adres_unieke_wijk_ratio: 1
",747,10.0349274583557,"real"
"25",5,"IV: 
adres_unieke_wijk_ratio: 0.2
",2,8.69565217391304,"real"
"26",5,"IV: 
adres_unieke_wijk_ratio: 0.3
",3,12.5,"real"
"27",5,"IV: 
adres_unieke_wijk_ratio: 0.4
",22,11.6402116402116,"real"
"28",5,"IV: 
adres_unieke_wijk_ratio: 0.5
",194,10.8198549916341,"real"
"29",5,"IV: 
adres_unieke_wijk_ratio: 0.6
",39,13.8297872340426,"real"
"30",5,"IV: 
adres_unieke_wijk_ratio: 0.8
",15,9.61538461538461,"real"
"31",5,"IV: 
adres_unieke_wijk_ratio: 1
",716,9.61848468565288,"real"
"32",6,"IV: 
adres_unieke_wijk_ratio: 0.2
",2,8.69565217391304,"real"
"33",6,"IV: 
adres_unieke_wijk_ratio: 0.3
",3,12.5,"real"
"34",6,"IV: 
adres_unieke_wijk_ratio: 0.4
",21,11.1111111111111,"real"
"35",6,"IV: 
adres_unieke_wijk_ratio: 0.5
",192,10.7083100948132,"real"
"36",6,"IV: 
adres_unieke_wijk_ratio: 0.6
",28,9.9290780141844,"real"
"37",6,"IV: 
adres_unieke_wijk_ratio: 0.8
",20,12.8205128205128,"real"
"38",6,"IV: 
adres_unieke_wijk_ratio: 1
",725,9.73938742611499,"real"
"39",7,"IV: 
adres_unieke_wijk_ratio: 0.2
",3,13.0434782608696,"real"
"40",7,"IV: 
adres_unieke_wijk_ratio: 0.3
",3,12.5,"real"
"41",7,"IV: 
adres_unieke_wijk_ratio: 0.4
",20,10.5820105820106,"real"
"42",7,"IV: 
adres_unieke_wijk_ratio: 0.5
",177,9.87172336865588,"real"
"43",7,"IV: 
adres_unieke_wijk_ratio: 0.6
",30,10.6382978723404,"real"
"44",7,"IV: 
adres_unieke_wijk_ratio: 0.8
",17,10.8974358974359,"real"
"45",7,"IV: 
adres_unieke_wijk_ratio: 1
",741,9.95432563138098,"real"
"46",8,"IV: 
adres_unieke_wijk_ratio: 0.2
",3,13.0434782608696,"real"
"47",8,"IV: 
adres_unieke_wijk_ratio: 0.3
",4,16.6666666666667,"real"
"48",8,"IV: 
adres_unieke_wijk_ratio: 0.4
",24,12.6984126984127,"real"
"49",8,"IV: 
adres_unieke_wijk_ratio: 0.5
",198,11.0429447852761,"real"
"50",8,"IV: 
adres_unieke_wijk_ratio: 0.6
",34,12.0567375886525,"real"
"51",8,"IV: 
adres_unieke_wijk_ratio: 0.7
",1,50,"real"
"52",8,"IV: 
adres_unieke_wijk_ratio: 0.8
",19,12.1794871794872,"real"
"53",8,"IV: 
adres_unieke_wijk_ratio: 1
",708,9.51101558301988,"real"
"54",9,"IV: 
adres_unieke_wijk_ratio: 0.2
",2,8.69565217391304,"real"
"55",9,"IV: 
adres_unieke_wijk_ratio: 0.3
",3,12.5,"real"
"56",9,"IV: 
adres_unieke_wijk_ratio: 0.4
",29,15.3439153439153,"real"
"57",9,"IV: 
adres_unieke_wijk_ratio: 0.5
",195,10.8756274400446,"real"
"58",9,"IV: 
adres_unieke_wijk_ratio: 0.6
",45,15.9574468085106,"real"
"59",9,"IV: 
adres_unieke_wijk_ratio: 0.8
",22,14.1025641025641,"real"
"60",9,"IV: 
adres_unieke_wijk_ratio: 1
",695,9.33637829124127,"real"
"61",10,"IV: 
adres_unieke_wijk_ratio: 0.2
",8,34.7826086956522,"real"
"62",10,"IV: 
adres_unieke_wijk_ratio: 0.3
",5,20.8333333333333,"real"
"63",10,"IV: 
adres_unieke_wijk_ratio: 0.4
",23,12.1693121693122,"real"
"64",10,"IV: 
adres_unieke_wijk_ratio: 0.5
",208,11.6006692693809,"real"
"65",10,"IV: 
adres_unieke_wijk_ratio: 0.6
",41,14.5390070921986,"real"
"66",10,"IV: 
adres_unieke_wijk_ratio: 0.7
",1,50,"real"
"67",10,"IV: 
adres_unieke_wijk_ratio: 0.8
",27,17.3076923076923,"real"
"68",10,"IV: 
adres_unieke_wijk_ratio: 1
",678,9.10800644814616,"real"
"69",1,"IV: 
adres_unieke_wijk_ratio: 0.1
",1253,9.90905496243574,"real_conditional"
"70",1,"IV: 
adres_unieke_wijk_ratio: 0.2
",1253,9.90905496243574,"real_conditional"
"71",1,"IV: 
adres_unieke_wijk_ratio: 0.3
",1253,9.90905496243574,"real_conditional"
"72",1,"IV: 
adres_unieke_wijk_ratio: 0.4
",1253,9.90905496243574,"real_conditional"
"73",1,"IV: 
adres_unieke_wijk_ratio: 0.5
",1274,10.0751285092922,"real_conditional"
"74",1,"IV: 
adres_unieke_wijk_ratio: 0.6
",1277,10.0988533017003,"real_conditional"
"75",1,"IV: 
adres_unieke_wijk_ratio: 0.7
",1277,10.0988533017003,"real_conditional"
"76",1,"IV: 
adres_unieke_wijk_ratio: 0.8
",1275,10.0830367734282,"real_conditional"
"77",1,"IV: 
adres_unieke_wijk_ratio: 0.9
",1265,10.003954132068,"real_conditional"
"78",1,"IV: 
adres_unieke_wijk_ratio: 1
",1265,10.003954132068,"real_conditional"
"79",2,"IV: 
adres_unieke_wijk_ratio: 0.1
",1250,9.88533017002768,"real_conditional"
"80",2,"IV: 
adres_unieke_wijk_ratio: 0.2
",1250,9.88533017002768,"real_conditional"
"81",2,"IV: 
adres_unieke_wijk_ratio: 0.3
",1250,9.88533017002768,"real_conditional"
"82",2,"IV: 
adres_unieke_wijk_ratio: 0.4
",1252,9.90114669829972,"real_conditional"
"83",2,"IV: 
adres_unieke_wijk_ratio: 0.5
",1271,10.0514037168841,"real_conditional"
"84",2,"IV: 
adres_unieke_wijk_ratio: 0.6
",1272,10.0593119810202,"real_conditional"
"85",2,"IV: 
adres_unieke_wijk_ratio: 0.7
",1271,10.0514037168841,"real_conditional"
"86",2,"IV: 
adres_unieke_wijk_ratio: 0.8
",1271,10.0514037168841,"real_conditional"
"87",2,"IV: 
adres_unieke_wijk_ratio: 0.9
",1279,10.1146698299723,"real_conditional"
"88",2,"IV: 
adres_unieke_wijk_ratio: 1
",1279,10.1146698299723,"real_conditional"
"89",3,"IV: 
adres_unieke_wijk_ratio: 0.1
",1263,9.98813760379597,"real_conditional"
"90",3,"IV: 
adres_unieke_wijk_ratio: 0.2
",1263,9.98813760379597,"real_conditional"
"91",3,"IV: 
adres_unieke_wijk_ratio: 0.3
",1263,9.98813760379597,"real_conditional"
"92",3,"IV: 
adres_unieke_wijk_ratio: 0.4
",1266,10.011862396204,"real_conditional"
"93",3,"IV: 
adres_unieke_wijk_ratio: 0.5
",1266,10.011862396204,"real_conditional"
"94",3,"IV: 
adres_unieke_wijk_ratio: 0.6
",1264,9.99604586793199,"real_conditional"
"95",3,"IV: 
adres_unieke_wijk_ratio: 0.7
",1266,10.011862396204,"real_conditional"
"96",3,"IV: 
adres_unieke_wijk_ratio: 0.8
",1266,10.011862396204,"real_conditional"
"97",3,"IV: 
adres_unieke_wijk_ratio: 0.9
",1264,9.99604586793199,"real_conditional"
"98",3,"IV: 
adres_unieke_wijk_ratio: 1
",1264,9.99604586793199,"real_conditional"
"99",4,"IV: 
adres_unieke_wijk_ratio: 0.1
",1270,10.0434954527481,"real_conditional"
"100",4,"IV: 
adres_unieke_wijk_ratio: 0.2
",1270,10.0434954527481,"real_conditional"
"101",4,"IV: 
adres_unieke_wijk_ratio: 0.3
",1270,10.0434954527481,"real_conditional"
"102",4,"IV: 
adres_unieke_wijk_ratio: 0.4
",1270,10.0434954527481,"real_conditional"
"103",4,"IV: 
adres_unieke_wijk_ratio: 0.5
",1260,9.9644128113879,"real_conditional"
"104",4,"IV: 
adres_unieke_wijk_ratio: 0.6
",1260,9.9644128113879,"real_conditional"
"105",4,"IV: 
adres_unieke_wijk_ratio: 0.7
",1260,9.9644128113879,"real_conditional"
