"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
adres_unieke_wijk_ratio: 0.2
","Ja",23,0.605,0.15,0.347826086956522,0.521739130434783,24.7826086956522,42.1739130434783,"real"
"2","IV: 
adres_unieke_wijk_ratio: 0.3
","Ja",24,0.567,0.121,0.208333333333333,0.416666666666667,10.8333333333333,31.6666666666667,"real"
"3","IV: 
adres_unieke_wijk_ratio: 0.4
","Ja",189,0.534,0.133,0.116402116402116,0.365079365079365,1.64021164021164,26.5079365079365,"real"
"4","IV: 
adres_unieke_wijk_ratio: 0.5
","Ja",1793,0.495,0.151,0.109313998884551,0.288901282766313,0.931399888455102,18.8901282766313,"real"
"5","IV: 
adres_unieke_wijk_ratio: 0.6
","Ja",282,0.535,0.138,0.120567375886525,0.368794326241135,2.05673758865248,26.8794326241135,"real"
"6","IV: 
adres_unieke_wijk_ratio: 0.7
","Ja",2,0.671,0.086,0.5,1,40,90,"real"
"7","IV: 
adres_unieke_wijk_ratio: 0.8
","Ja",156,0.543,0.145,0.173076923076923,0.41025641025641,7.30769230769231,31.025641025641,"real"
"8","IV: 
adres_unieke_wijk_ratio: 1
","Ja",7444,0.468,0.156,0.0820795271359484,0.241939817302526,-1.79204728640516,14.1939817302526,"real"
"9","IV: 
adres_unieke_wijk_ratio: 0.1
","Ja",12645,0.491,0.153,0.101858442071965,0.285409252669039,0.18584420719652,18.5409252669039,"real_conditional"
"10","IV: 
adres_unieke_wijk_ratio: 0.2
","Ja",12645,0.491,0.153,0.101858442071965,0.285409252669039,0.18584420719652,18.5409252669039,"real_conditional"
"11","IV: 
adres_unieke_wijk_ratio: 0.3
","Ja",12645,0.491,0.153,0.101858442071965,0.285409252669039,0.18584420719652,18.5409252669039,"real_conditional"
"12","IV: 
adres_unieke_wijk_ratio: 0.4
","Ja",12645,0.49,0.153,0.101146698299723,0.284302095689996,0.114669829972321,18.4302095689996,"real_conditional"
"13","IV: 
adres_unieke_wijk_ratio: 0.5
","Ja",12645,0.489,0.153,0.0997232107552392,0.281850533807829,-0.0276789244760794,18.1850533807829,"real_conditional"
"14","IV: 
adres_unieke_wijk_ratio: 0.6
","Ja",12645,0.489,0.153,0.0998813760379597,0.281929616449189,-0.0118623962040335,18.1929616449189,"real_conditional"
"15","IV: 
adres_unieke_wijk_ratio: 0.7
","Ja",12645,0.489,0.153,0.0998022933965994,0.281692368525109,-0.0197706603400558,18.1692368525109,"real_conditional"
"16","IV: 
adres_unieke_wijk_ratio: 0.8
","Ja",12645,0.489,0.153,0.0998813760379597,0.281850533807829,-0.0118623962040335,18.1850533807829,"real_conditional"
"17","IV: 
adres_unieke_wijk_ratio: 0.9
","Ja",12645,0.489,0.153,0.0998813760379597,0.281929616449189,-0.0118623962040335,18.1929616449189,"real_conditional"
"18","IV: 
adres_unieke_wijk_ratio: 1
","Ja",12645,0.489,0.153,0.0998813760379597,0.281929616449189,-0.0118623962040335,18.1929616449189,"real_conditional"
"19","IV: 
adres_unieke_wijk_ratio: 1
","Ja",11320,0.61,0.086,0.0971731448763251,0.633303886925795,-0.282685512367492,53.3303886925795,"synth"
"20","IV: 
adres_unieke_wijk_ratio: 0.1
","Ja",12508,0.612,0.085,0.101375119923249,0.642069075791493,0.137511992324911,54.2069075791493,"synth_conditional"
"21","IV: 
adres_unieke_wijk_ratio: 0.2
","Ja",12508,0.612,0.085,0.101375119923249,0.642069075791493,0.137511992324911,54.2069075791493,"synth_conditional"
"22","IV: 
adres_unieke_wijk_ratio: 0.3
","Ja",12508,0.612,0.085,0.101375119923249,0.642069075791493,0.137511992324911,54.2069075791493,"synth_conditional"
"23","IV: 
adres_unieke_wijk_ratio: 0.4
","Ja",12508,0.612,0.085,0.0994563479373201,0.6405500479693,-0.0543652062679895,54.05500479693,"synth_conditional"
"24","IV: 
adres_unieke_wijk_ratio: 0.5
","Ja",12508,0.612,0.085,0.0991365526063319,0.639670610809082,-0.086344739366806,53.9670610809082,"synth_conditional"
"25","IV: 
adres_unieke_wijk_ratio: 0.6
","Ja",12508,0.612,0.085,0.100095938599296,0.640709945634794,0.00959385992964495,54.0709945634794,"synth_conditional"
"26","IV: 
adres_unieke_wijk_ratio: 0.7
","Ja",12508,0.612,0.085,0.0991365526063319,0.640150303805564,-0.086344739366806,54.0150303805565,"synth_conditional"
"27","IV: 
adres_unieke_wijk_ratio: 0.8
","Ja",12508,0.612,0.085,0.0991365526063319,0.640150303805564,-0.086344739366806,54.0150303805565,"synth_conditional"
"28","IV: 
adres_unieke_wijk_ratio: 0.9
","Ja",12508,0.612,0.085,0.0993763991045731,0.640709945634794,-0.0623600895426929,54.0709945634794,"synth_conditional"
"29","IV: 
adres_unieke_wijk_ratio: 1
","Ja",12508,0.612,0.085,0.0993763991045731,0.640709945634794,-0.0623600895426929,54.0709945634794,"synth_conditional"
