"","decile","IV","n","perc","data_type"
"1",1,"IV: 
afspraak_aantal_woorden: 0
afspraak_laatstejaar_aantal_woorden: 0
",16,6.80851063829787,"real"
"2",1,"IV: 
afspraak_aantal_woorden: 1
afspraak_laatstejaar_aantal_woorden: 0
",18,13.0434782608696,"real"
"3",1,"IV: 
afspraak_aantal_woorden: 10
afspraak_laatstejaar_aantal_woorden: 0
",10,17.2413793103448,"real"
"4",1,"IV: 
afspraak_aantal_woorden: 100
afspraak_laatstejaar_aantal_woorden: 0
",4,22.2222222222222,"real"
"5",1,"IV: 
afspraak_aantal_woorden: 1000
afspraak_laatstejaar_aantal_woorden: 0
",1,100,"real"
"6",2,"IV: 
afspraak_aantal_woorden: 0
afspraak_laatstejaar_aantal_woorden: 0
",13,5.53191489361702,"real"
"7",2,"IV: 
afspraak_aantal_woorden: 1
afspraak_laatstejaar_aantal_woorden: 0
",25,18.1159420289855,"real"
"8",2,"IV: 
afspraak_aantal_woorden: 1
afspraak_laatstejaar_aantal_woorden: 1
",1,5,"real"
"9",2,"IV: 
afspraak_aantal_woorden: 10
afspraak_laatstejaar_aantal_woorden: 0
",7,12.0689655172414,"real"
"10",2,"IV: 
afspraak_aantal_woorden: 10
afspraak_laatstejaar_aantal_woorden: 10
",1,8.33333333333333,"real"
"11",2,"IV: 
afspraak_aantal_woorden: 100
afspraak_laatstejaar_aantal_woorden: 0
",2,11.1111111111111,"real"
"12",3,"IV: 
afspraak_aantal_woorden: 0
afspraak_laatstejaar_aantal_woorden: 0
",27,11.4893617021277,"real"
"13",3,"IV: 
afspraak_aantal_woorden: 1
afspraak_laatstejaar_aantal_woorden: 0
",16,11.5942028985507,"real"
"14",3,"IV: 
afspraak_aantal_woorden: 10
afspraak_laatstejaar_aantal_woorden: 0
",4,6.89655172413793,"real"
"15",3,"IV: 
afspraak_aantal_woorden: 10
afspraak_laatstejaar_aantal_woorden: 10
",1,8.33333333333333,"real"
"16",3,"IV: 
afspraak_aantal_woorden: 100
afspraak_laatstejaar_aantal_woorden: 0
",1,5.55555555555556,"real"
