"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 0
","Ja",12079,0.492,0.154,0.104064906035268,0.290255815878798,0.406490603526781,19.0255815878798,"real"
"2","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 1
","Ja",557,0.426,0.124,0.0143626570915619,0.104129263913824,-8.56373429084381,0.412926391382405,"real"
"3","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 2
","Ja",8,0.543,0.09,0,0.25,-10,15,"real"
"4","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 3
","Ja",1,0.258,NA,0,0,-10,-10,"real"
"5","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 0
","Ja",12645,0.49,0.153,0.10011862396204,0.283353103993673,0.0118623962040335,18.3353103993673,"real_conditional"
"6","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 1
","Ja",12645,0.477,0.151,0.0833531039936734,0.254013444049031,-1.66468960063266,15.4013444049031,"real_conditional"
"7","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 2
","Ja",12645,0.477,0.151,0.0833531039936734,0.254013444049031,-1.66468960063266,15.4013444049031,"real_conditional"
"8","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 3
","Ja",12645,0.477,0.151,0.0833531039936734,0.254013444049031,-1.66468960063266,15.4013444049031,"real_conditional"
"9","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 0
","Ja",12341,0.612,0.085,0.100883234745969,0.644275180293331,0.0883234745968714,54.4275180293331,"synth"
"10","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 1
","Ja",304,0.594,0.082,0.0657894736842105,0.519736842105263,-3.42105263157895,41.9736842105263,"synth"
"11","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 0
","Ja",12508,0.612,0.085,0.100335785097538,0.643268308282699,0.0335785097537566,54.3268308282699,"synth_conditional"
"12","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 1
","Ja",12508,0.6,0.085,0.0710745123121202,0.583706427886153,-2.89254876878798,48.3706427886153,"synth_conditional"
"13","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 2
","Ja",12508,0.6,0.085,0.0710745123121202,0.583706427886153,-2.89254876878798,48.3706427886153,"synth_conditional"
"14","IV: 
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel: 3
","Ja",12508,0.6,0.085,0.0710745123121202,0.583706427886153,-2.89254876878798,48.3706427886153,"synth_conditional"
