"","decile","IV","n","perc","data_type"
"1",1,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1227,11.0292134831461,"real"
"2",1,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",38,2.52156602521566,"real"
"3",2,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1189,10.6876404494382,"real"
"4",2,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",76,5.04313205043132,"real"
"5",3,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1167,10.4898876404494,"real"
"6",3,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",98,6.50298606502986,"real"
"7",4,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1105,9.93258426966292,"real"
"8",4,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",159,10.5507631055076,"real"
"9",4,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 2
",1,8.33333333333333,"real"
"10",5,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1089,9.78876404494382,"real"
"11",5,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",174,11.5461181154612,"real"
"12",5,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 2
",2,16.6666666666667,"real"
"13",6,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1083,9.73483146067416,"real"
"14",6,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",179,11.877903118779,"real"
"15",6,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 2
",1,8.33333333333333,"real"
"16",6,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 3
",1,100,"real"
"17",7,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1093,9.82471910112359,"real"
"18",7,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",170,11.2806901128069,"real"
"19",7,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 2
",1,8.33333333333333,"real"
"20",8,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1064,9.56404494382022,"real"
"21",8,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",197,13.0723291307233,"real"
"22",8,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 2
",3,25,"real"
"23",9,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1030,9.25842696629213,"real"
"24",9,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",231,15.3284671532847,"real"
"25",9,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 2
",3,25,"real"
"26",10,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1078,9.68988764044944,"real"
"27",10,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",185,12.2760451227605,"real"
"28",10,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 2
",1,8.33333333333333,"real"
"29",1,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1265,10.003954132068,"real_conditional"
"30",1,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",1265,10.003954132068,"real_conditional"
"31",1,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 2
",1264,9.99604586793199,"real_conditional"
"32",1,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 3
",1264,9.99604586793199,"real_conditional"
"33",2,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1264,9.99604586793199,"real_conditional"
"34",2,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",1264,9.99604586793199,"real_conditional"
"35",2,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 2
",1265,10.003954132068,"real_conditional"
"36",2,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 3
",1265,10.003954132068,"real_conditional"
"37",3,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 0
",1265,10.003954132068,"real_conditional"
"38",3,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 1
",1265,10.003954132068,"real_conditional"
"39",3,"IV: 
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant: 2
",1264,9.99604586793199,"real_conditional"
