"","decile","IV","n","perc","data_type"
"1",1,"IV: 
afspraak_controle_aankondiging_maatregel: 0
",1257,11.3992926453251,"real"
"2",1,"IV: 
afspraak_controle_aankondiging_maatregel: 1
",8,0.694444444444444,"real"
"3",2,"IV: 
afspraak_controle_aankondiging_maatregel: 0
",1238,11.2269883014419,"real"
"4",2,"IV: 
afspraak_controle_aankondiging_maatregel: 1
",24,2.08333333333333,"real"
"5",2,"IV: 
afspraak_controle_aankondiging_maatregel: 2
",2,0.60790273556231,"real"
"6",2,"IV: 
afspraak_controle_aankondiging_maatregel: 3
",1,1.13636363636364,"real"
"7",3,"IV: 
afspraak_controle_aankondiging_maatregel: 0
",1216,11.0274780085245,"real"
"8",3,"IV: 
afspraak_controle_aankondiging_maatregel: 1
",47,4.07986111111111,"real"
"9",3,"IV: 
afspraak_controle_aankondiging_maatregel: 2
",2,0.60790273556231,"real"
"10",4,"IV: 
afspraak_controle_aankondiging_maatregel: 0
",1173,10.6375260723678,"real"
"11",4,"IV: 
afspraak_controle_aankondiging_maatregel: 1
",80,6.94444444444444,"real"
"12",4,"IV: 
afspraak_controle_aankondiging_maatregel: 2
",12,3.64741641337386,"real"
"13",5,"IV: 
afspraak_controle_aankondiging_maatregel: 0
",1152,10.4470844291285,"real"
"14",5,"IV: 
afspraak_controle_aankondiging_maatregel: 1
",97,8.42013888888889,"real"
"15",5,"IV: 
afspraak_controle_aankondiging_maatregel: 2
",12,3.64741641337386,"real"
"16",5,"IV: 
afspraak_controle_aankondiging_maatregel: 3
",4,4.54545454545455,"real"
"17",6,"IV: 
afspraak_controle_aankondiging_maatregel: 0
",1095,9.93017139747892,"real"
"18",6,"IV: 
afspraak_controle_aankondiging_maatregel: 1
",137,11.8923611111111,"real"
"19",6,"IV: 
afspraak_controle_aankondiging_maatregel: 2
",25,7.59878419452887,"real"
"20",6,"IV: 
afspraak_controle_aankondiging_maatregel: 3
",4,4.54545454545455,"real"
"21",6,"IV: 
afspraak_controle_aankondiging_maatregel: 4
",2,6.66666666666667,"real"
"22",6,"IV: 
afspraak_controle_aankondiging_maatregel: 6
",1,14.2857142857143,"real"
"23",7,"IV: 
afspraak_controle_aankondiging_maatregel: 0
",1050,9.52208216196608,"real"
"24",7,"IV: 
afspraak_controle_aankondiging_maatregel: 1
",160,13.8888888888889,"real"
"25",7,"IV: 
afspraak_controle_aankondiging_maatregel: 2
",38,11.5501519756839,"real"
"26",7,"IV: 
afspraak_controle_aankondiging_maatregel: 3
",10,11.3636363636364,"real"
"27",7,"IV: 
afspraak_controle_aankondiging_maatregel: 4
",5,16.6666666666667,"real"
"28",7,"IV: 
afspraak_controle_aankondiging_maatregel: 5
",1,8.33333333333333,"real"
"29",8,"IV: 
afspraak_controle_aankondiging_maatregel: 0
",1020,9.2500226716242,"real"
