"","decile","IV","n","perc","data_type"
"1",1,"IV: 
afspraak_controle_verwijzing: 0
",1133,9.98941985540469,"real"
"2",1,"IV: 
afspraak_controle_verwijzing: 1
",115,10.5215004574565,"real"
"3",1,"IV: 
afspraak_controle_verwijzing: 2
",15,8.7719298245614,"real"
"4",1,"IV: 
afspraak_controle_verwijzing: 3
",2,6.66666666666667,"real"
"5",2,"IV: 
afspraak_controle_verwijzing: 0
",1141,10.0599541527068,"real"
"6",2,"IV: 
afspraak_controle_verwijzing: 1
",103,9.42360475754803,"real"
"7",2,"IV: 
afspraak_controle_verwijzing: 2
",17,9.94152046783626,"real"
"8",2,"IV: 
afspraak_controle_verwijzing: 3
",4,13.3333333333333,"real"
"9",3,"IV: 
afspraak_controle_verwijzing: 0
",1120,9.87480162228884,"real"
"10",3,"IV: 
afspraak_controle_verwijzing: 1
",125,11.4364135407136,"real"
"11",3,"IV: 
afspraak_controle_verwijzing: 2
",17,9.94152046783626,"real"
"12",3,"IV: 
afspraak_controle_verwijzing: 3
",3,10,"real"
"13",4,"IV: 
afspraak_controle_verwijzing: 0
",1140,10.051137365544,"real"
"14",4,"IV: 
afspraak_controle_verwijzing: 1
",103,9.42360475754803,"real"
"15",4,"IV: 
afspraak_controle_verwijzing: 2
",20,11.6959064327485,"real"
"16",4,"IV: 
afspraak_controle_verwijzing: 3
",1,3.33333333333333,"real"
"17",4,"IV: 
afspraak_controle_verwijzing: 4
",1,20,"real"
"18",5,"IV: 
afspraak_controle_verwijzing: 0
",1140,10.051137365544,"real"
"19",5,"IV: 
afspraak_controle_verwijzing: 1
",106,9.69807868252516,"real"
"20",5,"IV: 
afspraak_controle_verwijzing: 2
",16,9.35672514619883,"real"
"21",5,"IV: 
afspraak_controle_verwijzing: 3
",3,10,"real"
"22",6,"IV: 
afspraak_controle_verwijzing: 0
",1127,9.93651913242814,"real"
"23",6,"IV: 
afspraak_controle_verwijzing: 1
",112,10.2470265324794,"real"
"24",6,"IV: 
afspraak_controle_verwijzing: 2
",22,12.8654970760234,"real"
"25",6,"IV: 
afspraak_controle_verwijzing: 3
",1,3.33333333333333,"real"
"26",6,"IV: 
afspraak_controle_verwijzing: 4
",1,20,"real"
"27",6,"IV: 
afspraak_controle_verwijzing: 5
",1,33.3333333333333,"real"
"28",7,"IV: 
afspraak_controle_verwijzing: 0
",1132,9.98060306824193,"real"
"29",7,"IV: 
afspraak_controle_verwijzing: 1
",106,9.69807868252516,"real"
"30",7,"IV: 
afspraak_controle_verwijzing: 2
",22,12.8654970760234,"real"
"31",7,"IV: 
afspraak_controle_verwijzing: 3
",3,10,"real"
"32",7,"IV: 
afspraak_controle_verwijzing: 5
",1,33.3333333333333,"real"
"33",8,"IV: 
afspraak_controle_verwijzing: 0
",1141,10.0599541527068,"real"
"34",8,"IV: 
afspraak_controle_verwijzing: 1
",112,10.2470265324794,"real"
"35",8,"IV: 
afspraak_controle_verwijzing: 2
",6,3.50877192982456,"real"
"36",8,"IV: 
afspraak_controle_verwijzing: 3
",5,16.6666666666667,"real"
"37",9,"IV: 
afspraak_controle_verwijzing: 0
",1119,9.86598483512608,"real"
"38",9,"IV: 
afspraak_controle_verwijzing: 1
",117,10.704483074108,"real"
"39",9,"IV: 
afspraak_controle_verwijzing: 2
",19,11.1111111111111,"real"
"40",9,"IV: 
afspraak_controle_verwijzing: 3
",5,16.6666666666667,"real"
"41",9,"IV: 
afspraak_controle_verwijzing: 4
",2,40,"real"
"42",9,"IV: 
afspraak_controle_verwijzing: 5
",1,33.3333333333333,"real"
"43",9,"IV: 
afspraak_controle_verwijzing: 6
",1,100,"real"
"44",10,"IV: 
afspraak_controle_verwijzing: 0
",1149,10.1304884500088,"real"
"45",10,"IV: 
afspraak_controle_verwijzing: 1
",94,8.60018298261665,"real"
"46",10,"IV: 
afspraak_controle_verwijzing: 2
",17,9.94152046783626,"real"
"47",10,"IV: 
afspraak_controle_verwijzing: 3
",3,10,"real"
"48",10,"IV: 
afspraak_controle_verwijzing: 4
",1,20,"real"
"49",1,"IV: 
afspraak_controle_verwijzing: 0
",1269,10.0355871886121,"real_conditional"
"50",1,"IV: 
afspraak_controle_verwijzing: 1
",1264,9.99604586793199,"real_conditional"
"51",1,"IV: 
afspraak_controle_verwijzing: 2
",1264,9.99604586793199,"real_conditional"
"52",1,"IV: 
afspraak_controle_verwijzing: 3
",1264,9.99604586793199,"real_conditional"
"53",1,"IV: 
afspraak_controle_verwijzing: 4
",1264,9.99604586793199,"real_conditional"
"54",1,"IV: 
afspraak_controle_verwijzing: 5
",1263,9.98813760379597,"real_conditional"
"55",1,"IV: 
afspraak_controle_verwijzing: 6
",1264,9.99604586793199,"real_conditional"
"56",2,"IV: 
afspraak_controle_verwijzing: 0
",1266,10.011862396204,"real_conditional"
"57",2,"IV: 
afspraak_controle_verwijzing: 1
",1265,10.003954132068,"real_conditional"
"58",2,"IV: 
afspraak_controle_verwijzing: 2
",1264,9.99604586793199,"real_conditional"
"59",2,"IV: 
afspraak_controle_verwijzing: 3
",1264,9.99604586793199,"real_conditional"
