"","decile","IV","n","perc","data_type"
"1",1,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",776,9.17908682280577,"real"
"2",1,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 1
",360,13.1868131868132,"real"
"3",1,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 2
",95,10.0742311770944,"real"
"4",1,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 3
",27,9.18367346938776,"real"
"5",1,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 4
",5,3.59712230215827,"real"
"6",1,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 5
",2,4.65116279069767,"real"
"7",2,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",797,9.42748994558789,"real"
"8",2,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 1
",329,12.0512820512821,"real"
"9",2,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 2
",101,10.7104984093319,"real"
"10",2,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 3
",23,7.82312925170068,"real"
"11",2,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 4
",9,6.47482014388489,"real"
"12",2,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 5
",4,9.30232558139535,"real"
"13",2,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 6
",1,4.54545454545455,"real"
"14",2,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 8
",1,20,"real"
"15",3,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",804,9.51029098651526,"real"
"16",3,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 1
",287,10.5128205128205,"real"
"17",3,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 2
",114,12.0890774125133,"real"
"18",3,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 3
",32,10.8843537414966,"real"
"19",3,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 4
",19,13.6690647482014,"real"
"20",3,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 5
",3,6.97674418604651,"real"
"21",3,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 6
",3,13.6363636363636,"real"
"22",3,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 7
",1,9.09090909090909,"real"
"23",3,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 8
",2,40,"real"
"24",4,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",784,9.27371658386563,"real"
"25",4,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 1
",316,11.5750915750916,"real"
"26",4,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 10
",2,100,"real"
"27",4,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 2
",93,9.86214209968187,"real"
"28",4,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 3
",44,14.9659863945578,"real"
"29",4,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 4
",17,12.2302158273381,"real"
"30",4,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 5
",6,13.953488372093,"real"
"31",4,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 6
",2,9.09090909090909,"real"
"32",4,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 8
",1,20,"real"
"33",5,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",783,9.26188786373314,"real"
"34",5,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 1
",297,10.8791208791209,"real"
"35",5,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 2
",122,12.9374337221633,"real"
"36",5,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 3
",43,14.6258503401361,"real"
"37",5,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 4
",15,10.7913669064748,"real"
"38",5,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 5
",4,9.30232558139535,"real"
"39",5,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 9
",1,50,"real"
"40",6,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",822,9.72320794889993,"real"
"41",6,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 1
",278,10.1831501831502,"real"
"42",6,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 2
",109,11.558854718982,"real"
"43",6,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 3
",27,9.18367346938776,"real"
"44",6,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 4
",17,12.2302158273381,"real"
"45",6,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 5
",7,16.2790697674419,"real"
"46",6,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 6
",1,4.54545454545455,"real"
"47",6,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 7
",3,27.2727272727273,"real"
"48",7,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",829,9.8060089898273,"real"
"49",7,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 1
",260,9.52380952380952,"real"
"50",7,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 2
",116,12.3011664899258,"real"
"51",7,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 3
",35,11.9047619047619,"real"
"52",7,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 4
",12,8.63309352517986,"real"
"53",7,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 5
",4,9.30232558139535,"real"
"54",7,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 6
",5,22.7272727272727,"real"
"55",7,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 7
",3,27.2727272727273,"real"
"56",8,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",861,10.1845280340667,"real"
"57",8,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 1
",265,9.70695970695971,"real"
"58",8,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 2
",75,7.95334040296925,"real"
"59",8,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 3
",25,8.50340136054422,"real"
"60",8,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 4
",24,17.2661870503597,"real"
"61",8,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 5
",7,16.2790697674419,"real"
"62",8,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 6
",2,9.09090909090909,"real"
"63",8,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 7
",4,36.3636363636364,"real"
"64",8,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 9
",1,50,"real"
"65",9,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",943,11.1544830849302,"real"
"66",9,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 1
",208,7.61904761904762,"real"
"67",9,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 2
",71,7.52916224814422,"real"
"68",9,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 3
",21,7.14285714285714,"real"
"69",9,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 4
",11,7.9136690647482,"real"
"70",9,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 5
",5,11.6279069767442,"real"
"71",9,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 6
",4,18.1818181818182,"real"
"72",9,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 8
",1,20,"real"
"73",10,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",1055,12.4792997397682,"real"
"74",10,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 1
",130,4.76190476190476,"real"
"75",10,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 2
",47,4.98409331919406,"real"
"76",10,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 3
",17,5.78231292517007,"real"
"77",10,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 4
",10,7.19424460431655,"real"
"78",10,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 5
",1,2.32558139534884,"real"
"79",10,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 6
",4,18.1818181818182,"real"
"80",1,"IV: 
afspraak_deelname_compleet_uit_webapplicatie: 0
",1232,9.74298141557928,"real_conditional"
