"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
afspraak_galo_gesprek: 0
","Ja",10449,0.47,0.151,0.0765623504641593,0.241171403962102,-2.34376495358407,14.1171403962102,"real"
"2","IV: 
afspraak_galo_gesprek: 1
","Ja",1498,0.567,0.136,0.19826435246996,0.443257676902537,9.82643524699599,34.3257676902537,"real"
"3","IV: 
afspraak_galo_gesprek: 2
","Ja",453,0.604,0.121,0.236203090507726,0.532008830022075,13.6203090507726,43.2008830022075,"real"
"4","IV: 
afspraak_galo_gesprek: 3
","Ja",148,0.61,0.108,0.243243243243243,0.554054054054054,14.3243243243243,45.4054054054054,"real"
"5","IV: 
afspraak_galo_gesprek: 4
","Ja",56,0.628,0.116,0.285714285714286,0.589285714285714,18.5714285714286,48.9285714285714,"real"
"6","IV: 
afspraak_galo_gesprek: 5
","Ja",24,0.647,0.092,0.291666666666667,0.708333333333333,19.1666666666667,60.8333333333333,"real"
"7","IV: 
afspraak_galo_gesprek: 6
","Ja",11,0.596,0.086,0.0909090909090909,0.545454545454545,-0.909090909090909,44.5454545454545,"real"
"8","IV: 
afspraak_galo_gesprek: 7
","Ja",5,0.621,0.076,0.2,0.6,10,50,"real"
"9","IV: 
afspraak_galo_gesprek: 8
","Ja",1,0.564,NA,0,0,-10,-10,"real"
"10","IV: 
afspraak_galo_gesprek: 0
","Ja",12645,0.489,0.153,0.0994859628311586,0.281376037959668,-0.051403716884145,18.1376037959668,"real_conditional"
"11","IV: 
afspraak_galo_gesprek: 1
","Ja",12645,0.49,0.153,0.101225780941083,0.283432186635034,0.122578094108343,18.3432186635034,"real_conditional"
"12","IV: 
afspraak_galo_gesprek: 2
","Ja",12645,0.492,0.153,0.102412020561487,0.286120996441281,0.241202056148675,18.6120996441281,"real_conditional"
"13","IV: 
afspraak_galo_gesprek: 3
","Ja",12645,0.493,0.152,0.103361012257809,0.288098062475287,0.336101225780941,18.8098062475287,"real_conditional"
"14","IV: 
afspraak_galo_gesprek: 4
","Ja",12645,0.493,0.152,0.103361012257809,0.288098062475287,0.336101225780941,18.8098062475287,"real_conditional"
"15","IV: 
afspraak_galo_gesprek: 5
","Ja",12645,0.493,0.152,0.103361012257809,0.288098062475287,0.336101225780941,18.8098062475287,"real_conditional"
"16","IV: 
afspraak_galo_gesprek: 6
","Ja",12645,0.493,0.152,0.103361012257809,0.288098062475287,0.336101225780941,18.8098062475287,"real_conditional"
"17","IV: 
afspraak_galo_gesprek: 7
","Ja",12645,0.493,0.152,0.103361012257809,0.288098062475287,0.336101225780941,18.8098062475287,"real_conditional"
"18","IV: 
afspraak_galo_gesprek: 8
","Ja",12645,0.493,0.152,0.103361012257809,0.288098062475287,0.336101225780941,18.8098062475287,"real_conditional"
"19","IV: 
afspraak_galo_gesprek: 0
","Ja",6540,0.6,0.089,0.081039755351682,0.585015290519878,-1.89602446483181,48.5015290519878,"synth"
"20","IV: 
afspraak_galo_gesprek: 1
","Ja",5714,0.623,0.079,0.115855792789639,0.693384669233462,1.58557927896395,59.3384669233462,"synth"
"21","IV: 
afspraak_galo_gesprek: 2
","Ja",385,0.65,0.071,0.187012987012987,0.825974025974026,8.7012987012987,72.5974025974026,"synth"
"22","IV: 
afspraak_galo_gesprek: 3
","Ja",6,0.61,0.119,0.166666666666667,0.5,6.66666666666667,40,"synth"
"23","IV: 
afspraak_galo_gesprek: 0
","Ja",12508,0.611,0.085,0.0975375759513911,0.639510713143588,-0.24624240486089,53.9510713143588,"synth_conditional"
"24","IV: 
afspraak_galo_gesprek: 1
","Ja",12508,0.612,0.085,0.100735529261273,0.64270866645347,0.073552926127278,54.270866645347,"synth_conditional"
"25","IV: 
afspraak_galo_gesprek: 2
","Ja",12508,0.612,0.085,0.10081547809402,0.643348257115446,0.0815478094019828,54.3348257115446,"synth_conditional"
"26","IV: 
afspraak_galo_gesprek: 3
","Ja",12508,0.613,0.085,0.100975375759514,0.643827950111928,0.0975375759513911,54.3827950111928,"synth_conditional"
"27","IV: 
afspraak_galo_gesprek: 4
","Ja",12508,0.613,0.085,0.100975375759514,0.643827950111928,0.0975375759513911,54.3827950111928,"synth_conditional"
"28","IV: 
afspraak_galo_gesprek: 5
","Ja",12508,0.613,0.085,0.100975375759514,0.643827950111928,0.0975375759513911,54.3827950111928,"synth_conditional"
"29","IV: 
afspraak_galo_gesprek: 6
","Ja",12508,0.613,0.085,0.100975375759514,0.643827950111928,0.0975375759513911,54.3827950111928,"synth_conditional"
"30","IV: 
afspraak_galo_gesprek: 7
","Ja",12508,0.613,0.085,0.100975375759514,0.643827950111928,0.0975375759513911,54.3827950111928,"synth_conditional"
"31","IV: 
afspraak_galo_gesprek: 8
","Ja",12508,0.613,0.085,0.100975375759514,0.643827950111928,0.0975375759513911,54.3827950111928,"synth_conditional"
