"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
afspraak_inspanningsperiode: 0
","Ja",9481,0.46,0.148,0.0634954118763844,0.218436873747495,-3.65045881236157,11.8436873747495,"real"
"2","IV: 
afspraak_inspanningsperiode: 1
","Ja",2301,0.562,0.135,0.180356366797045,0.438504997827032,8.03563667970447,33.8504997827032,"real"
"3","IV: 
afspraak_inspanningsperiode: 2
","Ja",619,0.599,0.128,0.25686591276252,0.523424878836834,15.686591276252,42.3424878836834,"real"
"4","IV: 
afspraak_inspanningsperiode: 3
","Ja",171,0.646,0.114,0.403508771929825,0.637426900584795,30.3508771929825,53.7426900584795,"real"
"5","IV: 
afspraak_inspanningsperiode: 4
","Ja",55,0.631,0.117,0.236363636363636,0.690909090909091,13.6363636363636,59.0909090909091,"real"
"6","IV: 
afspraak_inspanningsperiode: 5
","Ja",11,0.665,0.114,0.454545454545455,0.818181818181818,35.4545454545455,71.8181818181818,"real"
"7","IV: 
afspraak_inspanningsperiode: 6
","Ja",5,0.63,0.141,0.2,0.8,10,70,"real"
"8","IV: 
afspraak_inspanningsperiode: 7
","Ja",2,0.694,0.016,0.5,1,40,90,"real"
"9","IV: 
afspraak_inspanningsperiode: 0
","Ja",12645,0.486,0.152,0.0941083432186635,0.272597864768683,-0.589165678133651,17.2597864768683,"real_conditional"
"10","IV: 
afspraak_inspanningsperiode: 1
","Ja",12645,0.505,0.146,0.108026888098062,0.30344009489917,0.802688809806247,20.344009489917,"real_conditional"
"11","IV: 
afspraak_inspanningsperiode: 2
","Ja",12645,0.506,0.145,0.108185053380783,0.304230921312772,0.818505338078292,20.4230921312772,"real_conditional"
"12","IV: 
afspraak_inspanningsperiode: 3
","Ja",12645,0.506,0.145,0.108185053380783,0.304230921312772,0.818505338078292,20.4230921312772,"real_conditional"
"13","IV: 
afspraak_inspanningsperiode: 4
","Ja",12645,0.505,0.145,0.106049822064057,0.302016607354686,0.604982206405694,20.2016607354686,"real_conditional"
"14","IV: 
afspraak_inspanningsperiode: 5
","Ja",12645,0.505,0.145,0.106049822064057,0.302016607354686,0.604982206405694,20.2016607354686,"real_conditional"
"15","IV: 
afspraak_inspanningsperiode: 6
","Ja",12645,0.505,0.145,0.106049822064057,0.302016607354686,0.604982206405694,20.2016607354686,"real_conditional"
"16","IV: 
afspraak_inspanningsperiode: 7
","Ja",12645,0.505,0.145,0.106049822064057,0.302016607354686,0.604982206405694,20.2016607354686,"real_conditional"
"17","IV: 
afspraak_inspanningsperiode: 0
","Ja",5945,0.593,0.087,0.0612279226240538,0.551051303616484,-3.87720773759462,45.1051303616484,"synth"
"18","IV: 
afspraak_inspanningsperiode: 1
","Ja",6055,0.627,0.08,0.129314616019818,0.715111478117259,2.93146160198183,61.5111478117259,"synth"
"19","IV: 
afspraak_inspanningsperiode: 2
","Ja",636,0.644,0.072,0.179245283018868,0.778301886792453,7.92452830188679,67.8301886792453,"synth"
"20","IV: 
afspraak_inspanningsperiode: 3
","Ja",9,0.672,0.111,0.444444444444444,0.888888888888889,34.4444444444444,78.8888888888889,"synth"
"21","IV: 
afspraak_inspanningsperiode: 0
","Ja",12508,0.606,0.086,0.0861848417013112,0.610729133354653,-1.38151582986888,51.0729133354653,"synth_conditional"
"22","IV: 
afspraak_inspanningsperiode: 1
","Ja",12508,0.618,0.082,0.107930924208507,0.666933162775823,0.793092420850655,56.6933162775823,"synth_conditional"
"23","IV: 
afspraak_inspanningsperiode: 2
","Ja",12508,0.618,0.082,0.10649184521906,0.666613367444835,0.649184521905979,56.6613367444835,"synth_conditional"
"24","IV: 
afspraak_inspanningsperiode: 3
","Ja",12508,0.618,0.082,0.10649184521906,0.666613367444835,0.649184521905979,56.6613367444835,"synth_conditional"
"25","IV: 
afspraak_inspanningsperiode: 4
","Ja",12508,0.617,0.082,0.100895426926767,0.662056283978254,0.0895426926766862,56.2056283978254,"synth_conditional"
"26","IV: 
afspraak_inspanningsperiode: 5
","Ja",12508,0.617,0.082,0.100895426926767,0.662056283978254,0.0895426926766862,56.2056283978254,"synth_conditional"
"27","IV: 
afspraak_inspanningsperiode: 6
","Ja",12508,0.617,0.082,0.100895426926767,0.662056283978254,0.0895426926766862,56.2056283978254,"synth_conditional"
"28","IV: 
afspraak_inspanningsperiode: 7
","Ja",12508,0.617,0.082,0.100895426926767,0.662056283978254,0.0895426926766862,56.2056283978254,"synth_conditional"
