"","decile","IV","n","perc","data_type"
"1",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",633,12.6828290923663,"real"
"2",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",288,9.85963711057857,"real"
"3",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",156,8.91428571428571,"real"
"4",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",82,6.75453047775947,"real"
"5",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",34,4.89913544668588,"real"
"6",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",15,3.19829424307036,"real"
"7",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",538,10.7794029252655,"real"
"8",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",308,10.5443341321465,"real"
"9",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",1,3.33333333333333,"real"
"10",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",172,9.82857142857143,"real"
"11",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",112,9.22570016474465,"real"
"12",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",53,7.63688760806916,"real"
"13",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",24,5.11727078891258,"real"
"14",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",525,10.5189340813464,"real"
"15",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",306,10.4758644299897,"real"
"16",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",183,10.4571428571429,"real"
"17",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",119,9.80230642504119,"real"
"18",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",62,8.93371757925072,"real"
"19",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",13,2.77185501066098,"real"
"20",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",466,9.33680625125225,"real"
"21",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",333,11.4002054091065,"real"
"22",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",183,10.4571428571429,"real"
"23",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",126,10.3789126853377,"real"
"24",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",65,9.36599423631124,"real"
"25",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",35,7.46268656716418,"real"
"26",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",497,9.95792426367461,"real"
"27",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",315,10.7839780896953,"real"
"28",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",2,6.66666666666667,"real"
"29",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",189,10.8,"real"
"30",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",122,10.0494233937397,"real"
"31",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",43,6.19596541786744,"real"
"32",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",39,8.31556503198294,"real"
"33",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",475,9.51713083550391,"real"
"34",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",327,11.1947963026361,"real"
"35",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",177,10.1142857142857,"real"
"36",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",112,9.22570016474465,"real"
"37",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",77,11.0951008645533,"real"
"38",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",39,8.31556503198294,"real"
"39",7,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",497,9.95792426367461,"real"
"40",7,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",298,10.2019856213625,"real"
"41",7,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",5,16.6666666666667,"real"
"42",7,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",173,9.88571428571429,"real"
"43",7,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",117,9.63756177924217,"real"
"44",7,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",64,9.22190201729107,"real"
"45",7,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",53,11.3006396588486,"real"
"46",8,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",480,9.61731116008816,"real"
"47",8,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",286,9.79116740842177,"real"
"48",8,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",1,3.33333333333333,"real"
"49",8,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",172,9.82857142857143,"real"
"50",8,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",122,10.0494233937397,"real"
"51",8,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",82,11.8155619596542,"real"
"52",8,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",64,13.6460554371002,"real"
"53",9,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",475,9.51713083550391,"real"
"54",9,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",281,9.61999315302978,"real"
"55",9,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",3,10,"real"
"56",9,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",175,10,"real"
"57",9,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",131,10.7907742998353,"real"
"58",9,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",72,10.3746397694525,"real"
"59",9,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",70,14.9253731343284,"real"
"60",10,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",405,8.11460629132438,"real"
"61",10,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",179,6.12803834303321,"real"
"62",10,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",18,60,"real"
"63",10,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 15
",4,100,"real"
"64",10,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",170,9.71428571428571,"real"
"65",10,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 20
",1,100,"real"
"66",10,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",171,14.0856672158155,"real"
"67",10,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",142,20.4610951008646,"real"
"68",10,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",117,24.9466950959488,"real"
"69",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",1303,10.3044681692369,"real_conditional"
"70",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",1303,10.3044681692369,"real_conditional"
"71",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",1228,9.71134835903519,"real_conditional"
"72",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 15
",1228,9.71134835903519,"real_conditional"
"73",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",1294,10.2332937920127,"real_conditional"
"74",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 20
",1228,9.71134835903519,"real_conditional"
"75",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",1285,10.1621194147885,"real_conditional"
"76",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 30
",1228,9.71134835903519,"real_conditional"
"77",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",1274,10.0751285092922,"real_conditional"
"78",1,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",1274,10.0751285092922,"real_conditional"
"79",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",1265,10.003954132068,"real_conditional"
"80",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",1265,10.003954132068,"real_conditional"
"81",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",1257,9.94068801897983,"real_conditional"
"82",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 15
",1257,9.94068801897983,"real_conditional"
"83",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",1268,10.0276789244761,"real_conditional"
"84",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 20
",1257,9.94068801897983,"real_conditional"
"85",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",1271,10.0514037168841,"real_conditional"
"86",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 30
",1257,9.94068801897983,"real_conditional"
"87",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",1274,10.0751285092922,"real_conditional"
"88",2,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",1274,10.0751285092922,"real_conditional"
"89",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",1275,10.0830367734282,"real_conditional"
"90",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",1275,10.0830367734282,"real_conditional"
"91",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",1255,9.92487149070779,"real_conditional"
"92",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 15
",1255,9.92487149070779,"real_conditional"
"93",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",1274,10.0751285092922,"real_conditional"
"94",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 20
",1255,9.92487149070779,"real_conditional"
"95",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",1270,10.0434954527481,"real_conditional"
"96",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 30
",1255,9.92487149070779,"real_conditional"
"97",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",1266,10.011862396204,"real_conditional"
"98",3,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",1265,10.003954132068,"real_conditional"
"99",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",1265,10.003954132068,"real_conditional"
"100",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",1265,10.003954132068,"real_conditional"
"101",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",1264,9.99604586793199,"real_conditional"
"102",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 15
",1264,9.99604586793199,"real_conditional"
"103",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",1264,9.99604586793199,"real_conditional"
"104",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 20
",1264,9.99604586793199,"real_conditional"
"105",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",1268,10.0276789244761,"real_conditional"
"106",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 30
",1264,9.99604586793199,"real_conditional"
"107",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",1263,9.98813760379597,"real_conditional"
"108",4,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",1264,9.99604586793199,"real_conditional"
"109",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",1263,9.98813760379597,"real_conditional"
"110",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",1263,9.98813760379597,"real_conditional"
"111",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",1262,9.98022933965994,"real_conditional"
"112",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 15
",1262,9.98022933965994,"real_conditional"
"113",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",1269,10.0355871886121,"real_conditional"
"114",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 20
",1261,9.97232107552392,"real_conditional"
"115",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",1266,10.011862396204,"real_conditional"
"116",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 30
",1261,9.97232107552392,"real_conditional"
"117",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",1269,10.0355871886121,"real_conditional"
"118",5,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",1269,10.0355871886121,"real_conditional"
"119",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",1250,9.88533017002768,"real_conditional"
"120",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",1250,9.88533017002768,"real_conditional"
"121",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 10
",1280,10.1225780941083,"real_conditional"
"122",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 15
",1280,10.1225780941083,"real_conditional"
"123",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 2
",1250,9.88533017002768,"real_conditional"
"124",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 20
",1281,10.1304863582444,"real_conditional"
"125",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 3
",1253,9.90905496243574,"real_conditional"
"126",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 30
",1281,10.1304863582444,"real_conditional"
"127",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 4
",1260,9.9644128113879,"real_conditional"
"128",6,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 5
",1260,9.9644128113879,"real_conditional"
"129",7,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 0
",1276,10.0909450375643,"real_conditional"
"130",7,"IV: 
afspraak_laatstejaar_resultaat_ingevuld: 1
",1275,10.0830367734282,"real_conditional"
