"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
afspraak_resultaat_ingevuld_uniek: 0
afspraak_laatstejaar_resultaat_ingevuld_uniek: 0
","Ja",6,0.581,0.109,0.166666666666667,0.5,6.66666666666667,40,"real"
"2","IV: 
afspraak_resultaat_ingevuld_uniek: 1
afspraak_laatstejaar_resultaat_ingevuld_uniek: 0
","Ja",294,0.45,0.145,0.0510204081632653,0.19047619047619,-4.89795918367347,9.04761904761905,"real"
"3","IV: 
afspraak_resultaat_ingevuld_uniek: 1
afspraak_laatstejaar_resultaat_ingevuld_uniek: 1
","Ja",237,0.478,0.141,0.0548523206751055,0.270042194092827,-4.51476793248945,17.0042194092827,"real"
"4","IV: 
afspraak_resultaat_ingevuld_uniek: 2
afspraak_laatstejaar_resultaat_ingevuld_uniek: 0
","Ja",844,0.456,0.141,0.0473933649289099,0.204976303317536,-5.26066350710901,10.4976303317536,"real"
"5","IV: 
afspraak_resultaat_ingevuld_uniek: 2
afspraak_laatstejaar_resultaat_ingevuld_uniek: 1
","Ja",2327,0.431,0.15,0.0451224752900731,0.172754619681994,-5.4877524709927,7.2754619681994,"real"
"6","IV: 
afspraak_resultaat_ingevuld_uniek: 2
afspraak_laatstejaar_resultaat_ingevuld_uniek: 2
","Ja",3374,0.439,0.141,0.04149377593361,0.169531713100178,-5.850622406639,6.95317131001778,"real"
"7","IV: 
afspraak_resultaat_ingevuld_uniek: 3
afspraak_laatstejaar_resultaat_ingevuld_uniek: 0
","Ja",179,0.536,0.146,0.150837988826816,0.430167597765363,5.08379888268156,33.0167597765363,"real"
"8","IV: 
afspraak_resultaat_ingevuld_uniek: 3
afspraak_laatstejaar_resultaat_ingevuld_uniek: 1
","Ja",601,0.502,0.136,0.0815307820299501,0.292845257903494,-1.84692179700499,19.2845257903494,"real"
"9","IV: 
afspraak_resultaat_ingevuld_uniek: 3
afspraak_laatstejaar_resultaat_ingevuld_uniek: 2
","Ja",1209,0.503,0.133,0.0785773366418528,0.277915632754342,-2.14226633581472,17.7915632754342,"real"
"10","IV: 
afspraak_resultaat_ingevuld_uniek: 3
afspraak_laatstejaar_resultaat_ingevuld_uniek: 3
","Ja",485,0.496,0.16,0.148453608247423,0.292783505154639,4.84536082474227,19.2783505154639,"real"
"11","IV: 
afspraak_resultaat_ingevuld_uniek: 4
afspraak_laatstejaar_resultaat_ingevuld_uniek: 0
","Ja",121,0.549,0.118,0.107438016528926,0.388429752066116,0.743801652892562,28.8429752066116,"real"
"12","IV: 
afspraak_resultaat_ingevuld_uniek: 4
afspraak_laatstejaar_resultaat_ingevuld_uniek: 1
","Ja",308,0.528,0.124,0.0876623376623377,0.340909090909091,-1.23376623376623,24.0909090909091,"real"
"13","IV: 
afspraak_resultaat_ingevuld_uniek: 4
afspraak_laatstejaar_resultaat_ingevuld_uniek: 2
","Ja",603,0.531,0.124,0.0978441127694859,0.308457711442786,-0.21558872305141,20.8457711442786,"real"
"14","IV: 
afspraak_resultaat_ingevuld_uniek: 4
afspraak_laatstejaar_resultaat_ingevuld_uniek: 3
","Ja",160,0.572,0.14,0.20625,0.45625,10.625,35.625,"real"
"15","IV: 
afspraak_resultaat_ingevuld_uniek: 4
afspraak_laatstejaar_resultaat_ingevuld_uniek: 4
","Ja",186,0.659,0.123,0.424731182795699,0.731182795698925,32.4731182795699,63.1182795698925,"real"
"16","IV: 
afspraak_resultaat_ingevuld_uniek: 5
afspraak_laatstejaar_resultaat_ingevuld_uniek: 0
","Ja",58,0.595,0.112,0.258620689655172,0.482758620689655,15.8620689655172,38.2758620689655,"real"
"17","IV: 
afspraak_resultaat_ingevuld_uniek: 5
afspraak_laatstejaar_resultaat_ingevuld_uniek: 1
","Ja",171,0.554,0.114,0.0994152046783626,0.368421052631579,-0.0584795321637438,26.8421052631579,"real"
"18","IV: 
afspraak_resultaat_ingevuld_uniek: 5
afspraak_laatstejaar_resultaat_ingevuld_uniek: 2
","Ja",318,0.569,0.108,0.10377358490566,0.477987421383648,0.377358490566038,37.7987421383648,"real"
"19","IV: 
afspraak_resultaat_ingevuld_uniek: 5
afspraak_laatstejaar_resultaat_ingevuld_uniek: 3
","Ja",128,0.58,0.136,0.203125,0.515625,10.3125,41.5625,"real"
"20","IV: 
afspraak_resultaat_ingevuld_uniek: 5
afspraak_laatstejaar_resultaat_ingevuld_uniek: 4
","Ja",79,0.694,0.101,0.531645569620253,0.835443037974684,43.1645569620253,73.5443037974684,"real"
"21","IV: 
afspraak_resultaat_ingevuld_uniek: 5
afspraak_laatstejaar_resultaat_ingevuld_uniek: 5
","Ja",88,0.706,0.102,0.602272727272727,0.829545454545455,50.2272727272727,72.9545454545455,"real"
"22","IV: 
afspraak_resultaat_ingevuld_uniek: 9
afspraak_laatstejaar_resultaat_ingevuld_uniek: 0
","Ja",1,0.7,NA,1,1,90,90,"real"
"23","IV: 
afspraak_resultaat_ingevuld_uniek: 9
afspraak_laatstejaar_resultaat_ingevuld_uniek: 1
","Ja",5,0.68,0.108,0.4,0.8,30,70,"real"
"24","IV: 
afspraak_resultaat_ingevuld_uniek: 9
afspraak_laatstejaar_resultaat_ingevuld_uniek: 2
","Ja",15,0.613,0.095,0.2,0.533333333333333,10,43.3333333333333,"real"
"25","IV: 
afspraak_resultaat_ingevuld_uniek: 9
afspraak_laatstejaar_resultaat_ingevuld_uniek: 3
","Ja",10,0.65,0.12,0.4,0.5,30,40,"real"
