"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
afspraak_signaal_van_aanbieder: 0
","Ja",9853,0.494,0.157,0.113366487364255,0.300517608850096,1.33664873642545,20.0517608850096,"real"
"2","IV: 
afspraak_signaal_van_aanbieder: 1
","Ja",1372,0.46,0.139,0.0400874635568513,0.196064139941691,-5.99125364431487,9.6064139941691,"real"
"3","IV: 
afspraak_signaal_van_aanbieder: 10
","Ja",16,0.531,0.126,0.1875,0.1875,8.75,8.75,"real"
"4","IV: 
afspraak_signaal_van_aanbieder: 15
","Ja",5,0.46,0.129,0,0.2,-10,10,"real"
"5","IV: 
afspraak_signaal_van_aanbieder: 2
","Ja",590,0.476,0.136,0.0610169491525424,0.215254237288136,-3.89830508474576,11.5254237288136,"real"
"6","IV: 
afspraak_signaal_van_aanbieder: 3
","Ja",344,0.477,0.138,0.061046511627907,0.22093023255814,-3.8953488372093,12.093023255814,"real"
"7","IV: 
afspraak_signaal_van_aanbieder: 4
","Ja",171,0.493,0.135,0.0760233918128655,0.245614035087719,-2.39766081871345,14.5614035087719,"real"
"8","IV: 
afspraak_signaal_van_aanbieder: 5
","Ja",101,0.495,0.12,0.0396039603960396,0.227722772277228,-6.03960396039604,12.7722772277228,"real"
"9","IV: 
afspraak_signaal_van_aanbieder: 0
","Ja",12645,0.489,0.153,0.10011862396204,0.282483194938711,0.0118623962040335,18.2483194938711,"real_conditional"
"10","IV: 
afspraak_signaal_van_aanbieder: 1
","Ja",12645,0.489,0.153,0.0999604586793199,0.28224594701463,-0.00395413206801115,18.224594701463,"real_conditional"
"11","IV: 
afspraak_signaal_van_aanbieder: 10
","Ja",12645,0.481,0.153,0.0913404507710558,0.266587584025306,-0.865954922894425,16.6587584025306,"real_conditional"
"12","IV: 
afspraak_signaal_van_aanbieder: 15
","Ja",12645,0.471,0.154,0.0819296164491894,0.24626334519573,-1.80703835508106,14.626334519573,"real_conditional"
"13","IV: 
afspraak_signaal_van_aanbieder: 2
","Ja",12645,0.489,0.153,0.0999604586793199,0.28224594701463,-0.00395413206801115,18.224594701463,"real_conditional"
"14","IV: 
afspraak_signaal_van_aanbieder: 20
","Ja",12645,0.471,0.154,0.0819296164491894,0.24626334519573,-1.80703835508106,14.626334519573,"real_conditional"
"15","IV: 
afspraak_signaal_van_aanbieder: 3
","Ja",12645,0.489,0.153,0.10011862396204,0.282562277580071,0.0118623962040335,18.2562277580071,"real_conditional"
"16","IV: 
afspraak_signaal_van_aanbieder: 30
","Ja",12645,0.471,0.154,0.0819296164491894,0.24626334519573,-1.80703835508106,14.626334519573,"real_conditional"
"17","IV: 
afspraak_signaal_van_aanbieder: 4
","Ja",12645,0.489,0.153,0.10011862396204,0.282799525504152,0.0118623962040335,18.2799525504152,"real_conditional"
"18","IV: 
afspraak_signaal_van_aanbieder: 5
","Ja",12645,0.488,0.154,0.0992487149070779,0.280980624752867,-0.0751285092922119,18.0980624752867,"real_conditional"
"19","IV: 
afspraak_signaal_van_aanbieder: 0
","Ja",2270,0.618,0.088,0.137885462555066,0.656387665198238,3.78854625550661,55.6387665198238,"synth"
"20","IV: 
afspraak_signaal_van_aanbieder: 1
","Ja",4968,0.611,0.086,0.0982286634460548,0.634661835748792,-0.177133655394525,53.4661835748792,"synth"
"21","IV: 
afspraak_signaal_van_aanbieder: 2
","Ja",3367,0.61,0.084,0.0902880902880903,0.642114642114642,-0.971190971190972,54.2114642114642,"synth"
"22","IV: 
afspraak_signaal_van_aanbieder: 3
","Ja",1473,0.611,0.082,0.0814663951120163,0.651052274270197,-1.85336048879837,55.1052274270197,"synth"
"23","IV: 
afspraak_signaal_van_aanbieder: 4
","Ja",447,0.601,0.087,0.0715883668903803,0.592841163310962,-2.84116331096197,49.2841163310962,"synth"
"24","IV: 
afspraak_signaal_van_aanbieder: 5
","Ja",111,0.621,0.072,0.0720720720720721,0.684684684684685,-2.79279279279279,58.4684684684685,"synth"
"25","IV: 
afspraak_signaal_van_aanbieder: 0
","Ja",12508,0.612,0.085,0.100095938599296,0.641269587464023,0.00959385992964495,54.1269587464023,"synth_conditional"
"26","IV: 
afspraak_signaal_van_aanbieder: 1
","Ja",12508,0.612,0.085,0.0995362967700672,0.640709945634794,-0.0463703229932846,54.0709945634794,"synth_conditional"
"27","IV: 
afspraak_signaal_van_aanbieder: 10
","Ja",12508,0.6,0.086,0.074432363287496,0.587224176527023,-2.5567636712504,48.7224176527023,"synth_conditional"
"28","IV: 
afspraak_signaal_van_aanbieder: 15
","Ja",12508,0.594,0.088,0.0636392708666454,0.558602494403582,-3.63607291333547,45.8602494403582,"synth_conditional"
"29","IV: 
afspraak_signaal_van_aanbieder: 2
","Ja",12508,0.612,0.085,0.0995362967700672,0.640709945634794,-0.0463703229932846,54.0709945634794,"synth_conditional"
"30","IV: 
afspraak_signaal_van_aanbieder: 20
","Ja",12508,0.594,0.088,0.0636392708666454,0.558602494403582,-3.63607291333547,45.8602494403582,"synth_conditional"
"31","IV: 
afspraak_signaal_van_aanbieder: 3
","Ja",12508,0.612,0.085,0.0999360409338024,0.64134953629677,-0.0063959066197633,54.134953629677,"synth_conditional"
"32","IV: 
afspraak_signaal_van_aanbieder: 30
","Ja",12508,0.594,0.088,0.0636392708666454,0.558602494403582,-3.63607291333547,45.8602494403582,"synth_conditional"
"33","IV: 
afspraak_signaal_van_aanbieder: 4
","Ja",12508,0.612,0.085,0.100255836264791,0.642308922289735,0.0255836264790532,54.2308922289735,"synth_conditional"
"34","IV: 
afspraak_signaal_van_aanbieder: 5
","Ja",12508,0.612,0.086,0.0997761432683083,0.639670610809082,-0.0223856731691729,53.9670610809082,"synth_conditional"
