"","decile","IV","n","perc","data_type"
"1",1,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 0
",1074,11.0210364289379,"real"
"2",1,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 1
",183,7.19339622641509,"real"
"3",1,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 2
",8,2.42424242424242,"real"
"4",2,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 0
",1085,11.133914828117,"real"
"5",2,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 1
",163,6.40723270440252,"real"
"6",2,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 2
",17,5.15151515151515,"real"
"7",3,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 0
",1037,10.6413545407901,"real"
"8",3,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 1
",212,8.33333333333333,"real"
"9",3,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 2
",14,4.24242424242424,"real"
"10",3,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 3
",2,8,"real"
"11",4,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 0
",1015,10.415597742432,"real"
"12",4,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 1
",223,8.76572327044025,"real"
"13",4,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 2
",27,8.18181818181818,"real"
"14",5,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 0
",1005,10.3129810159056,"real"
"15",5,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 1
",225,8.84433962264151,"real"
"16",5,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 2
",34,10.3030303030303,"real"
"17",5,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 3
",1,4,"real"
"18",6,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 0
",972,9.97434581836839,"real"
"19",6,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 1
",254,9.98427672955975,"real"
"20",6,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 2
",34,10.3030303030303,"real"
"21",6,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 3
",4,16,"real"
"22",7,"IV: 
afspraak_toevoegen_inschrijving_uwvwb: 0
",970,9.95382247306311,"real"
