"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
belemmering_aantal_huidig: 0
","Ja",5445,0.46,0.162,0.09366391184573,0.240036730945822,-0.633608815426998,14.0036730945822,"real"
"2","IV: 
belemmering_aantal_huidig: 1
","Ja",2747,0.487,0.153,0.101565344011649,0.273025118310885,0.156534401164907,17.3025118310885,"real"
"3","IV: 
belemmering_aantal_huidig: 13
","Ja",1,0.789,NA,1,1,90,90,"real"
"4","IV: 
belemmering_aantal_huidig: 2
","Ja",1999,0.509,0.14,0.0930465232616308,0.299149574787394,-0.695347673836919,19.9149574787394,"real"
"5","IV: 
belemmering_aantal_huidig: 3
","Ja",1418,0.532,0.128,0.105782792665726,0.351198871650212,0.578279266572637,25.1198871650212,"real"
"6","IV: 
belemmering_aantal_huidig: 4
","Ja",655,0.552,0.123,0.13587786259542,0.406106870229008,3.58778625954198,30.6106870229008,"real"
"7","IV: 
belemmering_aantal_huidig: 5
","Ja",287,0.549,0.132,0.128919860627178,0.40418118466899,2.89198606271777,30.418118466899,"real"
"8","IV: 
belemmering_aantal_huidig: 6
","Ja",71,0.536,0.136,0.140845070422535,0.28169014084507,4.08450704225352,18.169014084507,"real"
"9","IV: 
belemmering_aantal_huidig: 7
","Ja",16,0.543,0.125,0.125,0.375,2.5,27.5,"real"
"10","IV: 
belemmering_aantal_huidig: 8
","Ja",5,0.577,0.115,0.2,0.6,10,50,"real"
"11","IV: 
belemmering_aantal_huidig: 9
","Ja",1,0.608,NA,0,1,-10,90,"real"
"12","IV: 
belemmering_aantal_huidig: 0
","Ja",12645,0.489,0.153,0.10003954132068,0.282562277580071,0.00395413206801115,18.2562277580071,"real_conditional"
"13","IV: 
belemmering_aantal_huidig: 1
","Ja",12645,0.489,0.153,0.0998022933965994,0.281850533807829,-0.0197706603400558,18.1850533807829,"real_conditional"
"14","IV: 
belemmering_aantal_huidig: 13
","Ja",12645,0.49,0.153,0.0999604586793199,0.282483194938711,-0.00395413206801115,18.2483194938711,"real_conditional"
"15","IV: 
belemmering_aantal_huidig: 2
","Ja",12645,0.489,0.153,0.0998022933965994,0.281929616449189,-0.0197706603400558,18.1929616449189,"real_conditional"
"16","IV: 
belemmering_aantal_huidig: 3
","Ja",12645,0.489,0.153,0.0998022933965994,0.281929616449189,-0.0197706603400558,18.1929616449189,"real_conditional"
"17","IV: 
belemmering_aantal_huidig: 4
","Ja",12645,0.49,0.153,0.0999604586793199,0.282483194938711,-0.00395413206801115,18.2483194938711,"real_conditional"
"18","IV: 
belemmering_aantal_huidig: 5
","Ja",12645,0.49,0.153,0.0999604586793199,0.282483194938711,-0.00395413206801115,18.2483194938711,"real_conditional"
"19","IV: 
belemmering_aantal_huidig: 6
","Ja",12645,0.49,0.153,0.0999604586793199,0.282483194938711,-0.00395413206801115,18.2483194938711,"real_conditional"
"20","IV: 
belemmering_aantal_huidig: 7
","Ja",12645,0.49,0.153,0.0999604586793199,0.282483194938711,-0.00395413206801115,18.2483194938711,"real_conditional"
"21","IV: 
belemmering_aantal_huidig: 8
","Ja",12645,0.49,0.153,0.0999604586793199,0.282483194938711,-0.00395413206801115,18.2483194938711,"real_conditional"
"22","IV: 
belemmering_aantal_huidig: 9
","Ja",12645,0.49,0.153,0.0999604586793199,0.282483194938711,-0.00395413206801115,18.2483194938711,"real_conditional"
"23","IV: 
belemmering_aantal_huidig: 0
","Ja",2190,0.597,0.093,0.0908675799086758,0.573059360730594,-0.91324200913242,47.3059360730594,"synth"
"24","IV: 
belemmering_aantal_huidig: 1
","Ja",4545,0.609,0.087,0.0987898789878988,0.626182618261826,-0.121012101210122,52.6182618261826,"synth"
"25","IV: 
belemmering_aantal_huidig: 2
","Ja",3276,0.616,0.081,0.101037851037851,0.660561660561661,0.103785103785103,56.0561660561661,"synth"
"26","IV: 
belemmering_aantal_huidig: 3
","Ja",1713,0.623,0.078,0.099241097489784,0.704028021015762,-0.0758902510216,60.4028021015762,"synth"
"27","IV: 
belemmering_aantal_huidig: 4
","Ja",695,0.622,0.079,0.120863309352518,0.680575539568345,2.0863309352518,58.0575539568345,"synth"
"28","IV: 
belemmering_aantal_huidig: 5
","Ja",189,0.635,0.078,0.153439153439153,0.746031746031746,5.34391534391534,64.6031746031746,"synth"
"29","IV: 
belemmering_aantal_huidig: 6
","Ja",34,0.617,0.082,0.0882352941176471,0.617647058823529,-1.17647058823529,51.7647058823529,"synth"
"30","IV: 
belemmering_aantal_huidig: 7
","Ja",3,0.636,0.018,0,1,-10,90,"synth"
"31","IV: 
belemmering_aantal_huidig: 0
","Ja",12508,0.612,0.085,0.0998560921010553,0.641749280460505,-0.0143907898944681,54.1749280460505,"synth_conditional"
"32","IV: 
belemmering_aantal_huidig: 1
","Ja",12508,0.612,0.085,0.0996162456028142,0.640390150303806,-0.0383754397185812,54.0390150303806,"synth_conditional"
"33","IV: 
belemmering_aantal_huidig: 13
","Ja",12508,0.612,0.085,0.100655580428526,0.643188359449952,0.0655580428525732,54.3188359449952,"synth_conditional"
"34","IV: 
belemmering_aantal_huidig: 2
","Ja",12508,0.612,0.085,0.0996162456028142,0.640470099136553,-0.0383754397185812,54.0470099136553,"synth_conditional"
"35","IV: 
belemmering_aantal_huidig: 3
","Ja",12508,0.612,0.085,0.0996162456028142,0.640470099136553,-0.0383754397185812,54.0470099136553,"synth_conditional"
"36","IV: 
belemmering_aantal_huidig: 4
","Ja",12508,0.612,0.085,0.100655580428526,0.643188359449952,0.0655580428525732,54.3188359449952,"synth_conditional"
"37","IV: 
belemmering_aantal_huidig: 5
","Ja",12508,0.612,0.085,0.100655580428526,0.643188359449952,0.0655580428525732,54.3188359449952,"synth_conditional"
"38","IV: 
belemmering_aantal_huidig: 6
","Ja",12508,0.612,0.085,0.100655580428526,0.643188359449952,0.0655580428525732,54.3188359449952,"synth_conditional"
"39","IV: 
belemmering_aantal_huidig: 7
","Ja",12508,0.612,0.085,0.100655580428526,0.643188359449952,0.0655580428525732,54.3188359449952,"synth_conditional"
"40","IV: 
belemmering_aantal_huidig: 8
","Ja",12508,0.612,0.085,0.100655580428526,0.643188359449952,0.0655580428525732,54.3188359449952,"synth_conditional"
"41","IV: 
belemmering_aantal_huidig: 9
","Ja",12508,0.612,0.085,0.100655580428526,0.643188359449952,0.0655580428525732,54.3188359449952,"synth_conditional"
