"","decile","IV","n","perc","data_type"
"1",1,"IV: 
belemmering_dagen_financiele_problemen: 0
",987,10.0070972320795,"real"
"2",2,"IV: 
belemmering_dagen_financiele_problemen: 0
",987,10.0070972320795,"real"
"3",3,"IV: 
belemmering_dagen_financiele_problemen: 0
",986,9.99695832910879,"real"
"4",3,"IV: 
belemmering_dagen_financiele_problemen: 1
",1,50,"real"
"5",4,"IV: 
belemmering_dagen_financiele_problemen: 0
",987,10.0070972320795,"real"
"6",5,"IV: 
belemmering_dagen_financiele_problemen: 0
",987,10.0070972320795,"real"
"7",6,"IV: 
belemmering_dagen_financiele_problemen: 0
",986,9.99695832910879,"real"
"8",7,"IV: 
belemmering_dagen_financiele_problemen: 0
",986,9.99695832910879,"real"
"9",8,"IV: 
belemmering_dagen_financiele_problemen: 0
",986,9.99695832910879,"real"
"10",9,"IV: 
belemmering_dagen_financiele_problemen: 0
",986,9.99695832910879,"real"
"11",10,"IV: 
belemmering_dagen_financiele_problemen: 0
",985,9.98681942613809,"real"
"12",10,"IV: 
belemmering_dagen_financiele_problemen: 1
",1,50,"real"
"13",1,"IV: 
belemmering_dagen_financiele_problemen: 0
",1494,11.8149466192171,"real_conditional"
"14",1,"IV: 
belemmering_dagen_financiele_problemen: 1
",1473,11.6488730723606,"real_conditional"
"15",1,"IV: 
belemmering_dagen_financiele_problemen: 10
",1462,11.5618821668644,"real_conditional"
"16",1,"IV: 
belemmering_dagen_financiele_problemen: 100
",1330,10.5179913009095,"real_conditional"
"17",1,"IV: 
belemmering_dagen_financiele_problemen: 1000
",1003,7.93198892843021,"real_conditional"
"18",1,"IV: 
belemmering_dagen_financiele_problemen: 10000
",825,6.52431791221827,"real_conditional"
"19",2,"IV: 
belemmering_dagen_financiele_problemen: 0
",1320,10.4389086595492,"real_conditional"
"20",2,"IV: 
belemmering_dagen_financiele_problemen: 1
",1307,10.3361012257809,"real_conditional"
"21",2,"IV: 
belemmering_dagen_financiele_problemen: 10
",1309,10.351917754053,"real_conditional"
"22",2,"IV: 
belemmering_dagen_financiele_problemen: 100
",1306,10.3281929616449,"real_conditional"
"23",2,"IV: 
belemmering_dagen_financiele_problemen: 1000
",1215,9.6085409252669,"real_conditional"
"24",2,"IV: 
belemmering_dagen_financiele_problemen: 10000
",1130,8.93633847370502,"real_conditional"
"25",3,"IV: 
belemmering_dagen_financiele_problemen: 0
",1281,10.1304863582444,"real_conditional"
"26",3,"IV: 
belemmering_dagen_financiele_problemen: 1
",1283,10.1463028865164,"real_conditional"
"27",3,"IV: 
belemmering_dagen_financiele_problemen: 10
",1275,10.0830367734282,"real_conditional"
"28",3,"IV: 
belemmering_dagen_financiele_problemen: 100
",1274,10.0751285092922,"real_conditional"
"29",3,"IV: 
belemmering_dagen_financiele_problemen: 1000
",1251,9.8932384341637,"real_conditional"
"30",3,"IV: 
belemmering_dagen_financiele_problemen: 10000
",1223,9.67180703835508,"real_conditional"
"31",4,"IV: 
belemmering_dagen_financiele_problemen: 0
",1260,9.9644128113879,"real_conditional"
"32",4,"IV: 
belemmering_dagen_financiele_problemen: 1
",1264,9.99604586793199,"real_conditional"
"33",4,"IV: 
belemmering_dagen_financiele_problemen: 10
",1265,10.003954132068,"real_conditional"
"34",4,"IV: 
belemmering_dagen_financiele_problemen: 100
",1283,10.1463028865164,"real_conditional"
"35",4,"IV: 
belemmering_dagen_financiele_problemen: 1000
",1258,9.94859628311586,"real_conditional"
"36",4,"IV: 
belemmering_dagen_financiele_problemen: 10000
",1257,9.94068801897983,"real_conditional"
"37",5,"IV: 
belemmering_dagen_financiele_problemen: 0
",1253,9.90905496243574,"real_conditional"
"38",5,"IV: 
belemmering_dagen_financiele_problemen: 1
",1253,9.90905496243574,"real_conditional"
"39",5,"IV: 
belemmering_dagen_financiele_problemen: 10
",1249,9.87742190589166,"real_conditional"
"40",5,"IV: 
belemmering_dagen_financiele_problemen: 100
",1271,10.0514037168841,"real_conditional"
"41",5,"IV: 
belemmering_dagen_financiele_problemen: 1000
",1305,10.3202846975089,"real_conditional"
"42",5,"IV: 
belemmering_dagen_financiele_problemen: 10000
",1256,9.93277975484381,"real_conditional"
"43",6,"IV: 
belemmering_dagen_financiele_problemen: 0
",1216,9.61644918940293,"real_conditional"
"44",6,"IV: 
belemmering_dagen_financiele_problemen: 1
",1225,9.68762356662713,"real_conditional"
"45",6,"IV: 
belemmering_dagen_financiele_problemen: 10
",1226,9.69553183076315,"real_conditional"
"46",6,"IV: 
belemmering_dagen_financiele_problemen: 100
",1251,9.8932384341637,"real_conditional"
"47",6,"IV: 
belemmering_dagen_financiele_problemen: 1000
",1315,10.3993673388691,"real_conditional"
"48",6,"IV: 
belemmering_dagen_financiele_problemen: 10000
",1354,10.707789640174,"real_conditional"
"49",7,"IV: 
belemmering_dagen_financiele_problemen: 0
",1257,9.94068801897983,"real_conditional"
"50",7,"IV: 
belemmering_dagen_financiele_problemen: 1
",1257,9.94068801897983,"real_conditional"
"51",7,"IV: 
belemmering_dagen_financiele_problemen: 10
",1265,10.003954132068,"real_conditional"
"52",7,"IV: 
belemmering_dagen_financiele_problemen: 100
",1259,9.95650454725188,"real_conditional"
"53",7,"IV: 
belemmering_dagen_financiele_problemen: 1000
",1268,10.0276789244761,"real_conditional"
