"","decile","IV","n","perc","data_type"
"1",1,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1233,10.38140944683,"real"
"2",1,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",26,3.55677154582763,"real"
"3",1,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",6,18.1818181818182,"real"
"4",2,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1213,10.2130167550728,"real"
"5",2,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",48,6.56634746922025,"real"
"6",2,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",3,9.09090909090909,"real"
"7",2,"IV: 
belemmering_hist_verslavingsproblematiek: 3
",1,25,"real"
"8",3,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1197,10.0783026016671,"real"
"9",3,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",63,8.61833105335157,"real"
"10",3,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",5,15.1515151515152,"real"
"11",4,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1192,10.0362044287278,"real"
"12",4,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",69,9.4391244870041,"real"
"13",4,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",1,3.03030303030303,"real"
"14",4,"IV: 
belemmering_hist_verslavingsproblematiek: 3
",3,75,"real"
"15",5,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1174,9.88465100614633,"real"
"16",5,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",87,11.9015047879617,"real"
"17",5,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",4,12.1212121212121,"real"
"18",6,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1186,9.98568662120064,"real"
"19",6,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",75,10.2599179206566,"real"
"20",6,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",3,9.09090909090909,"real"
"21",7,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1180,9.93516881367349,"real"
"22",7,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",84,11.4911080711354,"real"
"23",8,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1177,9.90990990990991,"real"
"24",8,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",84,11.4911080711354,"real"
"25",8,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",3,9.09090909090909,"real"
"26",9,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1144,9.63206196851057,"real"
"27",9,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",116,15.8686730506156,"real"
"28",9,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",4,12.1212121212121,"real"
"29",10,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1181,9.94358844826134,"real"
"30",10,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",79,10.8071135430917,"real"
"31",10,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",4,12.1212121212121,"real"
"32",1,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1445,11.427441676552,"real_conditional"
"33",1,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",1205,9.52945828390668,"real_conditional"
"34",1,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",1204,9.52155001977066,"real_conditional"
"35",1,"IV: 
belemmering_hist_verslavingsproblematiek: 3
",1204,9.52155001977066,"real_conditional"
"36",2,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1306,10.3281929616449,"real_conditional"
"37",2,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",1250,9.88533017002768,"real_conditional"
"38",2,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",1251,9.8932384341637,"real_conditional"
"39",2,"IV: 
belemmering_hist_verslavingsproblematiek: 3
",1251,9.8932384341637,"real_conditional"
"40",3,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1295,10.2412020561487,"real_conditional"
"41",3,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",1255,9.92487149070779,"real_conditional"
"42",3,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",1254,9.91696322657177,"real_conditional"
"43",3,"IV: 
belemmering_hist_verslavingsproblematiek: 3
",1254,9.91696322657177,"real_conditional"
"44",4,"IV: 
belemmering_hist_verslavingsproblematiek: 0
",1303,10.3044681692369,"real_conditional"
"45",4,"IV: 
belemmering_hist_verslavingsproblematiek: 1
",1251,9.8932384341637,"real_conditional"
"46",4,"IV: 
belemmering_hist_verslavingsproblematiek: 2
",1252,9.90114669829972,"real_conditional"
