"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
competentie_aansturen: 0
","Ja",9718,0.468,0.153,0.0771763737394526,0.238011936612472,-2.28236262605474,13.8011936612472,"real"
"2","IV: 
competentie_aansturen: 1
","Ja",2890,0.56,0.132,0.173702422145329,0.425259515570934,7.37024221453287,32.5259515570934,"real"
"3","IV: 
competentie_aansturen: 2
","Ja",37,0.636,0.126,0.351351351351351,0.648648648648649,25.1351351351351,54.8648648648649,"real"
"4","IV: 
competentie_aansturen: 0
","Ja",12645,0.489,0.153,0.099644128113879,0.281692368525109,-0.0355871886121004,18.1692368525109,"real_conditional"
"5","IV: 
competentie_aansturen: 1
","Ja",12645,0.491,0.153,0.100751285092922,0.283353103993673,0.0751285092922091,18.3353103993673,"real_conditional"
"6","IV: 
competentie_aansturen: 2
","Ja",12645,0.491,0.153,0.100751285092922,0.283353103993673,0.0751285092922091,18.3353103993673,"real_conditional"
"7","IV: 
competentie_aansturen: 0
","Ja",8890,0.605,0.086,0.083689538807649,0.611473565804274,-1.6310461192351,51.1473565804274,"synth"
"8","IV: 
competentie_aansturen: 1
","Ja",3730,0.629,0.08,0.138069705093834,0.710991957104558,3.80697050938338,61.0991957104558,"synth"
"9","IV: 
competentie_aansturen: 2
","Ja",25,0.652,0.078,0.24,0.84,14,74,"synth"
"10","IV: 
competentie_aansturen: 0
","Ja",12508,0.611,0.085,0.0985769107771026,0.639830508474576,-0.142308922289736,53.9830508474576,"synth_conditional"
"11","IV: 
competentie_aansturen: 1
","Ja",12508,0.613,0.085,0.101535017588743,0.645426926766869,0.153501758874319,54.5426926766869,"synth_conditional"
"12","IV: 
competentie_aansturen: 2
","Ja",12508,0.613,0.085,0.101535017588743,0.645426926766869,0.153501758874319,54.5426926766869,"synth_conditional"
