"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
competentie_leren: 0
","Ja",11092,0.479,0.153,0.0882618103137396,0.260187522538767,-1.17381896862604,16.0187522538767,"real"
"2","IV: 
competentie_leren: 1
","Ja",1537,0.565,0.133,0.182823682498373,0.435263500325309,8.28236824983734,33.5263500325309,"real"
"3","IV: 
competentie_leren: 2
","Ja",15,0.618,0.128,0.266666666666667,0.666666666666667,16.6666666666667,56.6666666666667,"real"
"4","IV: 
competentie_leren: 3
","Ja",1,0.73,NA,1,1,90,90,"real"
"5","IV: 
competentie_leren: 0
","Ja",12645,0.489,0.153,0.10003954132068,0.28200869909055,0.00395413206801115,18.200869909055,"real_conditional"
"6","IV: 
competentie_leren: 1
","Ja",12645,0.489,0.153,0.10003954132068,0.28200869909055,0.00395413206801115,18.200869909055,"real_conditional"
"7","IV: 
competentie_leren: 2
","Ja",12645,0.489,0.153,0.10003954132068,0.28200869909055,0.00395413206801115,18.200869909055,"real_conditional"
"8","IV: 
competentie_leren: 3
","Ja",12645,0.489,0.153,0.10003954132068,0.28200869909055,0.00395413206801115,18.200869909055,"real_conditional"
"9","IV: 
competentie_leren: 0
","Ja",10695,0.609,0.086,0.0956521739130435,0.629079008882655,-0.434782608695652,52.9079008882655,"synth"
"10","IV: 
competentie_leren: 1
","Ja",1950,0.627,0.08,0.124102564102564,0.708205128205128,2.41025641025641,60.8205128205128,"synth"
"11","IV: 
competentie_leren: 0
","Ja",12508,0.612,0.085,0.0997761432683083,0.641029740965782,-0.0223856731691729,54.1029740965782,"synth_conditional"
"12","IV: 
competentie_leren: 1
","Ja",12508,0.612,0.085,0.0997761432683083,0.641029740965782,-0.0223856731691729,54.1029740965782,"synth_conditional"
"13","IV: 
competentie_leren: 2
","Ja",12508,0.612,0.085,0.0997761432683083,0.641029740965782,-0.0223856731691729,54.1029740965782,"synth_conditional"
"14","IV: 
competentie_leren: 3
","Ja",12508,0.612,0.085,0.0997761432683083,0.641029740965782,-0.0223856731691729,54.1029740965782,"synth_conditional"
