"","decile","IV","n","perc","data_type"
"1",1,"IV: 
competentie_samenwerken_en_overleggen: 0
",1231,14.2065781881131,"real"
"2",1,"IV: 
competentie_samenwerken_en_overleggen: 1
",34,0.86734693877551,"real"
"3",2,"IV: 
competentie_samenwerken_en_overleggen: 0
",1133,13.0755914598961,"real"
"4",2,"IV: 
competentie_samenwerken_en_overleggen: 1
",132,3.36734693877551,"real"
"5",3,"IV: 
competentie_samenwerken_en_overleggen: 0
",1002,11.5637622619735,"real"
"6",3,"IV: 
competentie_samenwerken_en_overleggen: 1
",261,6.65816326530612,"real"
"7",3,"IV: 
competentie_samenwerken_en_overleggen: 2
",2,3.57142857142857,"real"
"8",4,"IV: 
competentie_samenwerken_en_overleggen: 0
",878,10.132717830352,"real"
"9",4,"IV: 
competentie_samenwerken_en_overleggen: 1
",385,9.82142857142857,"real"
"10",4,"IV: 
competentie_samenwerken_en_overleggen: 2
",2,3.57142857142857,"real"
"11",5,"IV: 
competentie_samenwerken_en_overleggen: 0
",830,9.57876514714368,"real"
"12",5,"IV: 
competentie_samenwerken_en_overleggen: 1
",433,11.0459183673469,"real"
"13",5,"IV: 
competentie_samenwerken_en_overleggen: 2
",2,3.57142857142857,"real"
"14",6,"IV: 
competentie_samenwerken_en_overleggen: 0
",803,9.26716676283901,"real"
"15",6,"IV: 
competentie_samenwerken_en_overleggen: 1
",457,11.6581632653061,"real"
"16",6,"IV: 
competentie_samenwerken_en_overleggen: 2
",4,7.14285714285714,"real"
"17",7,"IV: 
competentie_samenwerken_en_overleggen: 0
",743,8.57472590882862,"real"
"18",7,"IV: 
competentie_samenwerken_en_overleggen: 1
",511,13.0357142857143,"real"
"19",7,"IV: 
competentie_samenwerken_en_overleggen: 2
",10,17.8571428571429,"real"
"20",8,"IV: 
competentie_samenwerken_en_overleggen: 0
",778,8.97864974033468,"real"
"21",8,"IV: 
competentie_samenwerken_en_overleggen: 1
",480,12.2448979591837,"real"
"22",8,"IV: 
competentie_samenwerken_en_overleggen: 2
",6,10.7142857142857,"real"
"23",9,"IV: 
competentie_samenwerken_en_overleggen: 0
",702,8.10155799192152,"real"
"24",9,"IV: 
competentie_samenwerken_en_overleggen: 1
",553,14.1071428571429,"real"
"25",9,"IV: 
competentie_samenwerken_en_overleggen: 2
",9,16.0714285714286,"real"
"26",10,"IV: 
competentie_samenwerken_en_overleggen: 0
",565,6.52048470859781,"real"
"27",10,"IV: 
competentie_samenwerken_en_overleggen: 1
",674,17.1938775510204,"real"
"28",10,"IV: 
competentie_samenwerken_en_overleggen: 2
",21,37.5,"real"
