"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp__pre__intake: 0
contacten_onderwerp_boolean__pre__intake: 0
",1115,11.1100039856517,"real"
"2",1,"IV: 
contacten_onderwerp__pre__intake: 1
contacten_onderwerp_boolean__pre__intake: 1
",144,6.89985625299473,"real"
"3",1,"IV: 
contacten_onderwerp__pre__intake: 2
contacten_onderwerp_boolean__pre__intake: 1
",5,1.37362637362637,"real"
"4",1,"IV: 
contacten_onderwerp__pre__intake: 3
contacten_onderwerp_boolean__pre__intake: 1
",1,1.06382978723404,"real"
"5",2,"IV: 
contacten_onderwerp__pre__intake: 0
contacten_onderwerp_boolean__pre__intake: 0
",1088,10.8409724990036,"real"
"6",2,"IV: 
contacten_onderwerp__pre__intake: 1
contacten_onderwerp_boolean__pre__intake: 1
",154,7.37901293723047,"real"
"7",2,"IV: 
contacten_onderwerp__pre__intake: 2
contacten_onderwerp_boolean__pre__intake: 1
",20,5.49450549450549,"real"
"8",2,"IV: 
contacten_onderwerp__pre__intake: 3
contacten_onderwerp_boolean__pre__intake: 1
",3,3.19148936170213,"real"
"9",3,"IV: 
contacten_onderwerp__pre__intake: 0
contacten_onderwerp_boolean__pre__intake: 0
",1064,10.6018333997609,"real"
"10",3,"IV: 
contacten_onderwerp__pre__intake: 1
contacten_onderwerp_boolean__pre__intake: 1
",182,8.72065165309056,"real"
"11",3,"IV: 
contacten_onderwerp__pre__intake: 2
contacten_onderwerp_boolean__pre__intake: 1
",18,4.94505494505495,"real"
"12",3,"IV: 
contacten_onderwerp__pre__intake: 3
contacten_onderwerp_boolean__pre__intake: 1
",1,1.06382978723404,"real"
"13",4,"IV: 
contacten_onderwerp__pre__intake: 0
contacten_onderwerp_boolean__pre__intake: 0
",1033,10.2929453965723,"real"
"14",4,"IV: 
contacten_onderwerp__pre__intake: 1
contacten_onderwerp_boolean__pre__intake: 1
",209,10.0143747005271,"real"
"15",4,"IV: 
contacten_onderwerp__pre__intake: 2
contacten_onderwerp_boolean__pre__intake: 1
",19,5.21978021978022,"real"
"16",4,"IV: 
contacten_onderwerp__pre__intake: 3
contacten_onderwerp_boolean__pre__intake: 1
",4,4.25531914893617,"real"
"17",5,"IV: 
contacten_onderwerp__pre__intake: 0
contacten_onderwerp_boolean__pre__intake: 0
",1012,10.083698684735,"real"
"18",5,"IV: 
contacten_onderwerp__pre__intake: 1
contacten_onderwerp_boolean__pre__intake: 1
",216,10.3497843794921,"real"
"19",5,"IV: 
contacten_onderwerp__pre__intake: 2
contacten_onderwerp_boolean__pre__intake: 1
",29,7.96703296703297,"real"
"20",5,"IV: 
contacten_onderwerp__pre__intake: 3
contacten_onderwerp_boolean__pre__intake: 1
",6,6.38297872340426,"real"
"21",5,"IV: 
contacten_onderwerp__pre__intake: 4
contacten_onderwerp_boolean__pre__intake: 1
",2,6.06060606060606,"real"
"22",6,"IV: 
contacten_onderwerp__pre__intake: 0
contacten_onderwerp_boolean__pre__intake: 0
",984,9.80470306895177,"real"
"23",6,"IV: 
contacten_onderwerp__pre__intake: 1
contacten_onderwerp_boolean__pre__intake: 1
",221,10.58936272161,"real"
"24",6,"IV: 
contacten_onderwerp__pre__intake: 2
contacten_onderwerp_boolean__pre__intake: 1
",51,14.010989010989,"real"
