"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 0
",1256,10.9426729395365,"real"
"2",1,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 1
",7,1.0590015128593,"real"
"3",1,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 2
",2,0.48661800486618,"real"
"4",2,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 0
",1222,10.6464540860777,"real"
"5",2,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 1
",25,3.7821482602118,"real"
"6",2,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 2
",15,3.64963503649635,"real"
"7",2,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 3
",2,2.89855072463768,"real"
"8",2,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 4
",1,5,"real"
"9",3,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 0
",1193,10.3937968287158,"real"
"10",3,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 1
",41,6.20272314674735,"real"
"11",3,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 2
",25,6.08272506082725,"real"
"12",3,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 3
",5,7.2463768115942,"real"
"13",3,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 4
",1,5,"real"
"14",4,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 0
",1161,10.1150026136958,"real"
"15",4,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 1
",61,9.22844175491679,"real"
"16",4,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 2
",36,8.75912408759124,"real"
"17",4,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 3
",5,7.2463768115942,"real"
"18",4,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 4
",1,5,"real"
"19",4,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 6
",1,33.3333333333333,"real"
"20",5,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 0
",1143,9.95818086774699,"real"
"21",5,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 1
",72,10.89258698941,"real"
"22",5,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 2
",44,10.705596107056,"real"
"23",5,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 3
",6,8.69565217391304,"real"
"24",6,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 0
",1145,9.97560550618575,"real"
"25",6,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 1
",66,9.98487140695915,"real"
"26",6,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 2
",42,10.2189781021898,"real"
"27",6,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 3
",8,11.5942028985507,"real"
"28",6,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 4
",2,10,"real"
"29",6,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 6
",1,33.3333333333333,"real"
"30",7,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 0
",1092,9.51385258755881,"real"
"31",7,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 1
",99,14.9773071104387,"real"
"32",7,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 2
",54,13.1386861313869,"real"
"33",7,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 3
",14,20.2898550724638,"real"
"34",7,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 4
",4,20,"real"
"35",7,"IV: 
contacten_onderwerp_arbeidsdiagnose_dariuz: 5
",1,33.3333333333333,"real"
