"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_contact_met_aanbieder: 0
contacten_onderwerp_boolean_contact_met_aanbieder: 0
",796,9.79933522097747,"real"
"2",1,"IV: 
contacten_onderwerp_contact_met_aanbieder: 1
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",158,10.1217168481742,"real"
"3",1,"IV: 
contacten_onderwerp_contact_met_aanbieder: 10
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",2,3.38983050847458,"real"
"4",1,"IV: 
contacten_onderwerp_contact_met_aanbieder: 15
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",1,5.88235294117647,"real"
"5",1,"IV: 
contacten_onderwerp_contact_met_aanbieder: 2
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",95,10.7587768969422,"real"
"6",1,"IV: 
contacten_onderwerp_contact_met_aanbieder: 20
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",1,14.2857142857143,"real"
"7",1,"IV: 
contacten_onderwerp_contact_met_aanbieder: 3
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",71,13.5238095238095,"real"
"8",1,"IV: 
contacten_onderwerp_contact_met_aanbieder: 4
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",40,10.3626943005181,"real"
"9",1,"IV: 
contacten_onderwerp_contact_met_aanbieder: 5
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",21,7.29166666666667,"real"
"10",2,"IV: 
contacten_onderwerp_contact_met_aanbieder: 0
contacten_onderwerp_boolean_contact_met_aanbieder: 0
",798,9.82395666625631,"real"
"11",2,"IV: 
contacten_onderwerp_contact_met_aanbieder: 1
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",159,10.1857783472133,"real"
"12",2,"IV: 
contacten_onderwerp_contact_met_aanbieder: 10
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",11,18.6440677966102,"real"
"13",2,"IV: 
contacten_onderwerp_contact_met_aanbieder: 15
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",3,17.6470588235294,"real"
"14",2,"IV: 
contacten_onderwerp_contact_met_aanbieder: 2
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",96,10.872027180068,"real"
"15",2,"IV: 
contacten_onderwerp_contact_met_aanbieder: 3
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",51,9.71428571428571,"real"
"16",2,"IV: 
contacten_onderwerp_contact_met_aanbieder: 4
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",39,10.1036269430052,"real"
"17",2,"IV: 
contacten_onderwerp_contact_met_aanbieder: 5
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",28,9.72222222222222,"real"
"18",3,"IV: 
contacten_onderwerp_contact_met_aanbieder: 0
contacten_onderwerp_boolean_contact_met_aanbieder: 0
",801,9.86088883417457,"real"
"19",3,"IV: 
contacten_onderwerp_contact_met_aanbieder: 1
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",167,10.6982703395259,"real"
"20",3,"IV: 
contacten_onderwerp_contact_met_aanbieder: 10
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",8,13.5593220338983,"real"
"21",3,"IV: 
contacten_onderwerp_contact_met_aanbieder: 2
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",88,9.96602491506229,"real"
"22",3,"IV: 
contacten_onderwerp_contact_met_aanbieder: 3
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",53,10.0952380952381,"real"
"23",3,"IV: 
contacten_onderwerp_contact_met_aanbieder: 4
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",39,10.1036269430052,"real"
"24",3,"IV: 
contacten_onderwerp_contact_met_aanbieder: 5
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",29,10.0694444444444,"real"
"25",4,"IV: 
contacten_onderwerp_contact_met_aanbieder: 0
contacten_onderwerp_boolean_contact_met_aanbieder: 0
",775,9.54081004554967,"real"
"26",4,"IV: 
contacten_onderwerp_contact_met_aanbieder: 1
contacten_onderwerp_boolean_contact_met_aanbieder: 1
",177,11.3388853299167,"real"
