"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_documenten__innemen_: 0
contacten_onderwerp_boolean_documenten__innemen_: 0
",188,8.00681431005111,"real"
"2",1,"IV: 
contacten_onderwerp_documenten__innemen_: 1
contacten_onderwerp_boolean_documenten__innemen_: 1
",199,10.2156057494867,"real"
"3",1,"IV: 
contacten_onderwerp_documenten__innemen_: 10
contacten_onderwerp_boolean_documenten__innemen_: 1
",10,5.18134715025907,"real"
"4",1,"IV: 
contacten_onderwerp_documenten__innemen_: 2
contacten_onderwerp_boolean_documenten__innemen_: 1
",201,10.5678233438486,"real"
"5",1,"IV: 
contacten_onderwerp_documenten__innemen_: 3
contacten_onderwerp_boolean_documenten__innemen_: 1
",196,11.7224880382775,"real"
"6",1,"IV: 
contacten_onderwerp_documenten__innemen_: 4
contacten_onderwerp_boolean_documenten__innemen_: 1
",141,11.0849056603774,"real"
"7",1,"IV: 
contacten_onderwerp_documenten__innemen_: 5
contacten_onderwerp_boolean_documenten__innemen_: 1
",105,10.1547388781431,"real"
"8",2,"IV: 
contacten_onderwerp_documenten__innemen_: 0
contacten_onderwerp_boolean_documenten__innemen_: 0
",221,9.41226575809199,"real"
"9",2,"IV: 
contacten_onderwerp_documenten__innemen_: 1
contacten_onderwerp_boolean_documenten__innemen_: 1
",207,10.6262833675565,"real"
"10",2,"IV: 
contacten_onderwerp_documenten__innemen_: 10
contacten_onderwerp_boolean_documenten__innemen_: 1
",11,5.69948186528497,"real"
"11",2,"IV: 
contacten_onderwerp_documenten__innemen_: 15
contacten_onderwerp_boolean_documenten__innemen_: 1
",2,7.69230769230769,"real"
"12",2,"IV: 
contacten_onderwerp_documenten__innemen_: 2
contacten_onderwerp_boolean_documenten__innemen_: 1
",206,10.8307045215563,"real"
"13",2,"IV: 
contacten_onderwerp_documenten__innemen_: 3
contacten_onderwerp_boolean_documenten__innemen_: 1
",173,10.3468899521531,"real"
"14",2,"IV: 
contacten_onderwerp_documenten__innemen_: 4
contacten_onderwerp_boolean_documenten__innemen_: 1
",127,9.98427672955975,"real"
"15",2,"IV: 
contacten_onderwerp_documenten__innemen_: 5
contacten_onderwerp_boolean_documenten__innemen_: 1
",93,8.99419729206963,"real"
"16",3,"IV: 
contacten_onderwerp_documenten__innemen_: 0
contacten_onderwerp_boolean_documenten__innemen_: 0
",239,10.1788756388416,"real"
"17",3,"IV: 
contacten_onderwerp_documenten__innemen_: 1
contacten_onderwerp_boolean_documenten__innemen_: 1
",190,9.75359342915811,"real"
"18",3,"IV: 
contacten_onderwerp_documenten__innemen_: 10
contacten_onderwerp_boolean_documenten__innemen_: 1
",20,10.3626943005181,"real"
