"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 0
contacten_onderwerp_boolean_documenttype__overeenkomst_: 0
",544,7.43067886900697,"real"
"2",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 1
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",275,10.3305785123967,"real"
"3",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 10
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,16.6666666666667,"real"
"4",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 11
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,50,"real"
"5",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 2
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",177,13.1696428571429,"real"
"6",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 3
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",122,16.9209431345354,"real"
"7",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 4
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",77,23.8390092879257,"real"
"8",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 5
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",38,23.6024844720497,"real"
"9",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 6
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",19,33.9285714285714,"real"
"10",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 7
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",9,33.3333333333333,"real"
"11",1,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 8
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",2,22.2222222222222,"real"
"12",2,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 0
contacten_onderwerp_boolean_documenttype__overeenkomst_: 0
",621,8.4824477530392,"real"
"13",2,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 1
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",275,10.3305785123967,"real"
"14",2,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 2
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",188,13.9880952380952,"real"
"15",2,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 3
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",96,13.3148404993065,"real"
"16",2,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 4
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",47,14.5510835913313,"real"
"17",2,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 5
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",25,15.527950310559,"real"
"18",2,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 6
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",6,10.7142857142857,"real"
"19",2,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 7
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",5,18.5185185185185,"real"
"20",2,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 8
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,11.1111111111111,"real"
"21",2,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 9
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,33.3333333333333,"real"
"22",3,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 0
contacten_onderwerp_boolean_documenttype__overeenkomst_: 0
",685,9.35664526704002,"real"
"23",3,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 1
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",291,10.931630353118,"real"
"24",3,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 2
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",135,10.0446428571429,"real"
"25",3,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 3
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",87,12.0665742024965,"real"
"26",3,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 4
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",31,9.59752321981424,"real"
"27",3,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 5
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",26,16.1490683229814,"real"
"28",3,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 6
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",5,8.92857142857143,"real"
"29",3,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 7
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",3,11.1111111111111,"real"
"30",3,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 8
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,11.1111111111111,"real"
"31",3,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 9
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,33.3333333333333,"real"
"32",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 0
contacten_onderwerp_boolean_documenttype__overeenkomst_: 0
",678,9.26102991394618,"real"
"33",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 1
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",275,10.3305785123967,"real"
"34",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 10
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",2,33.3333333333333,"real"
"35",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 12
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,16.6666666666667,"real"
"36",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 13
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,50,"real"
"37",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 2
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",160,11.9047619047619,"real"
"38",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 3
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",90,12.4826629680999,"real"
"39",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 4
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",33,10.2167182662539,"real"
"40",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 5
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",16,9.93788819875776,"real"
"41",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 6
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",4,7.14285714285714,"real"
"42",4,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 7
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",5,18.5185185185185,"real"
"43",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 0
contacten_onderwerp_boolean_documenttype__overeenkomst_: 0
",720,9.83472203250922,"real"
"44",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 1
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",282,10.5935386927122,"real"
"45",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 10
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,16.6666666666667,"real"
"46",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 12
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,16.6666666666667,"real"
"47",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 13
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,50,"real"
"48",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 2
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",146,10.8630952380952,"real"
"49",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 3
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",64,8.87656033287101,"real"
"50",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 4
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",30,9.28792569659443,"real"
"51",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 5
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",15,9.3167701863354,"real"
"52",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 6
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",4,7.14285714285714,"real"
"53",5,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 8
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",1,11.1111111111111,"real"
"54",6,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 0
contacten_onderwerp_boolean_documenttype__overeenkomst_: 0
",752,10.2718207895096,"real"
"55",6,"IV: 
contacten_onderwerp_documenttype__overeenkomst_: 1
contacten_onderwerp_boolean_documenttype__overeenkomst_: 1
",257,9.65439519158527,"real"
