"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_groepsbijeenkomst: 0
contacten_onderwerp_boolean_groepsbijeenkomst: 0
",823,8.9965019676432,"real"
"2",1,"IV: 
contacten_onderwerp_groepsbijeenkomst: 1
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",290,13.0044843049327,"real"
"3",1,"IV: 
contacten_onderwerp_groepsbijeenkomst: 2
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",106,13.2998745294856,"real"
"4",1,"IV: 
contacten_onderwerp_groepsbijeenkomst: 3
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",30,11.9521912350598,"real"
"5",1,"IV: 
contacten_onderwerp_groepsbijeenkomst: 4
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",8,8.08080808080808,"real"
"6",1,"IV: 
contacten_onderwerp_groepsbijeenkomst: 5
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",2,3.92156862745098,"real"
"7",2,"IV: 
contacten_onderwerp_groepsbijeenkomst: 0
contacten_onderwerp_boolean_groepsbijeenkomst: 0
",886,9.68517708788806,"real"
"8",2,"IV: 
contacten_onderwerp_groepsbijeenkomst: 1
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",238,10.6726457399103,"real"
"9",2,"IV: 
contacten_onderwerp_groepsbijeenkomst: 2
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",100,12.5470514429109,"real"
"10",2,"IV: 
contacten_onderwerp_groepsbijeenkomst: 3
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",28,11.1553784860558,"real"
"11",2,"IV: 
contacten_onderwerp_groepsbijeenkomst: 4
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",5,5.05050505050505,"real"
"12",2,"IV: 
contacten_onderwerp_groepsbijeenkomst: 5
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",2,3.92156862745098,"real"
"13",3,"IV: 
contacten_onderwerp_groepsbijeenkomst: 0
contacten_onderwerp_boolean_groepsbijeenkomst: 0
",903,9.87101005684303,"real"
"14",3,"IV: 
contacten_onderwerp_groepsbijeenkomst: 1
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",248,11.1210762331839,"real"
"15",3,"IV: 
contacten_onderwerp_groepsbijeenkomst: 15
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",1,50,"real"
"16",3,"IV: 
contacten_onderwerp_groepsbijeenkomst: 2
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",71,8.90840652446675,"real"
"17",3,"IV: 
contacten_onderwerp_groepsbijeenkomst: 3
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",28,11.1553784860558,"real"
"18",3,"IV: 
contacten_onderwerp_groepsbijeenkomst: 4
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",6,6.06060606060606,"real"
"19",3,"IV: 
contacten_onderwerp_groepsbijeenkomst: 5
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",2,3.92156862745098,"real"
"20",4,"IV: 
contacten_onderwerp_groepsbijeenkomst: 0
contacten_onderwerp_boolean_groepsbijeenkomst: 0
",901,9.84914735461303,"real"
"21",4,"IV: 
contacten_onderwerp_groepsbijeenkomst: 1
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",241,10.8071748878924,"real"
"22",4,"IV: 
contacten_onderwerp_groepsbijeenkomst: 10
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",2,40,"real"
"23",4,"IV: 
contacten_onderwerp_groepsbijeenkomst: 15
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",1,50,"real"
"24",4,"IV: 
contacten_onderwerp_groepsbijeenkomst: 2
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",76,9.5357590966123,"real"
"25",4,"IV: 
contacten_onderwerp_groepsbijeenkomst: 3
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",26,10.3585657370518,"real"
"26",4,"IV: 
contacten_onderwerp_groepsbijeenkomst: 4
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",7,7.07070707070707,"real"
"27",4,"IV: 
contacten_onderwerp_groepsbijeenkomst: 5
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",4,7.84313725490196,"real"
"28",5,"IV: 
contacten_onderwerp_groepsbijeenkomst: 0
contacten_onderwerp_boolean_groepsbijeenkomst: 0
",925,10.111499781373,"real"
"29",5,"IV: 
contacten_onderwerp_groepsbijeenkomst: 1
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",222,9.95515695067265,"real"
"30",5,"IV: 
contacten_onderwerp_groepsbijeenkomst: 10
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",1,20,"real"
"31",5,"IV: 
contacten_onderwerp_groepsbijeenkomst: 2
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",76,9.5357590966123,"real"
"32",5,"IV: 
contacten_onderwerp_groepsbijeenkomst: 3
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",15,5.97609561752988,"real"
"33",5,"IV: 
contacten_onderwerp_groepsbijeenkomst: 4
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",11,11.1111111111111,"real"
"34",5,"IV: 
contacten_onderwerp_groepsbijeenkomst: 5
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",8,15.6862745098039,"real"
"35",6,"IV: 
contacten_onderwerp_groepsbijeenkomst: 0
contacten_onderwerp_boolean_groepsbijeenkomst: 0
",941,10.2864013992129,"real"
"36",6,"IV: 
contacten_onderwerp_groepsbijeenkomst: 1
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",215,9.64125560538117,"real"
"37",6,"IV: 
contacten_onderwerp_groepsbijeenkomst: 2
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",63,7.90464240903388,"real"
"38",6,"IV: 
contacten_onderwerp_groepsbijeenkomst: 3
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",28,11.1553784860558,"real"
"39",6,"IV: 
contacten_onderwerp_groepsbijeenkomst: 4
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",7,7.07070707070707,"real"
"40",6,"IV: 
contacten_onderwerp_groepsbijeenkomst: 5
contacten_onderwerp_boolean_groepsbijeenkomst: 1
",4,7.84313725490196,"real"
