"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
contacten_onderwerp_groepsbijeenkomst: 0
contacten_onderwerp_boolean_groepsbijeenkomst: 0
","Ja",9148,0.495,0.153,0.104831657192829,0.293725404459991,0.483165719282903,19.3725404459991,"real"
"2","IV: 
contacten_onderwerp_groepsbijeenkomst: 1
contacten_onderwerp_boolean_groepsbijeenkomst: 1
","Ja",2230,0.469,0.152,0.0762331838565022,0.236771300448431,-2.37668161434978,13.6771300448431,"real"
"3","IV: 
contacten_onderwerp_groepsbijeenkomst: 10
contacten_onderwerp_boolean_groepsbijeenkomst: 1
","Ja",5,0.524,0.116,0,0.4,-10,30,"real"
"4","IV: 
contacten_onderwerp_groepsbijeenkomst: 15
contacten_onderwerp_boolean_groepsbijeenkomst: 1
","Ja",2,0.396,0.032,0,0,-10,-10,"real"
"5","IV: 
contacten_onderwerp_groepsbijeenkomst: 2
contacten_onderwerp_boolean_groepsbijeenkomst: 1
","Ja",797,0.473,0.159,0.0928481806775408,0.257214554579674,-0.715181932245923,15.7214554579674,"real"
"6","IV: 
contacten_onderwerp_groepsbijeenkomst: 3
contacten_onderwerp_boolean_groepsbijeenkomst: 1
","Ja",251,0.478,0.155,0.0956175298804781,0.254980079681275,-0.438247011952192,15.4980079681275,"real"
"7","IV: 
contacten_onderwerp_groepsbijeenkomst: 4
contacten_onderwerp_boolean_groepsbijeenkomst: 1
","Ja",99,0.539,0.157,0.202020202020202,0.383838383838384,10.2020202020202,28.3838383838384,"real"
"8","IV: 
contacten_onderwerp_groepsbijeenkomst: 5
contacten_onderwerp_boolean_groepsbijeenkomst: 1
","Ja",51,0.558,0.144,0.176470588235294,0.411764705882353,7.64705882352941,31.1764705882353,"real"
"9","IV: 
contacten_onderwerp_groepsbijeenkomst: 0
contacten_onderwerp_boolean_groepsbijeenkomst: 0
","Ja",12645,0.489,0.153,0.100276789244761,0.28224594701463,0.0276789244760767,18.224594701463,"real_conditional"
"10","IV: 
contacten_onderwerp_groepsbijeenkomst: 1
contacten_onderwerp_boolean_groepsbijeenkomst: 1
","Ja",12645,0.489,0.154,0.0998813760379597,0.281534203242388,-0.0118623962040335,18.1534203242388,"real_conditional"
