"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_inkomen: 0
contacten_onderwerp_boolean_inkomen: 0
",1153,11.2345318133099,"real"
"2",1,"IV: 
contacten_onderwerp_inkomen: 1
contacten_onderwerp_boolean_inkomen: 1
",72,5.39325842696629,"real"
"3",1,"IV: 
contacten_onderwerp_inkomen: 10
contacten_onderwerp_boolean_inkomen: 1
",1,25,"real"
"4",1,"IV: 
contacten_onderwerp_inkomen: 2
contacten_onderwerp_boolean_inkomen: 1
",15,2.94695481335953,"real"
"5",1,"IV: 
contacten_onderwerp_inkomen: 3
contacten_onderwerp_boolean_inkomen: 1
",8,3.2520325203252,"real"
"6",1,"IV: 
contacten_onderwerp_inkomen: 4
contacten_onderwerp_boolean_inkomen: 1
",5,4.34782608695652,"real"
"7",1,"IV: 
contacten_onderwerp_inkomen: 5
contacten_onderwerp_boolean_inkomen: 1
",1,1.38888888888889,"real"
"8",2,"IV: 
contacten_onderwerp_inkomen: 0
contacten_onderwerp_boolean_inkomen: 0
",1097,10.6888823930625,"real"
"9",2,"IV: 
contacten_onderwerp_inkomen: 1
contacten_onderwerp_boolean_inkomen: 1
",108,8.08988764044944,"real"
"10",2,"IV: 
contacten_onderwerp_inkomen: 2
contacten_onderwerp_boolean_inkomen: 1
",26,5.10805500982318,"real"
"11",2,"IV: 
contacten_onderwerp_inkomen: 3
contacten_onderwerp_boolean_inkomen: 1
",18,7.31707317073171,"real"
"12",2,"IV: 
contacten_onderwerp_inkomen: 4
contacten_onderwerp_boolean_inkomen: 1
",5,4.34782608695652,"real"
"13",2,"IV: 
contacten_onderwerp_inkomen: 5
contacten_onderwerp_boolean_inkomen: 1
",1,1.38888888888889,"real"
"14",3,"IV: 
contacten_onderwerp_inkomen: 0
contacten_onderwerp_boolean_inkomen: 0
",1067,10.3965702036442,"real"
"15",3,"IV: 
contacten_onderwerp_inkomen: 1
contacten_onderwerp_boolean_inkomen: 1
",119,8.91385767790262,"real"
"16",3,"IV: 
contacten_onderwerp_inkomen: 2
contacten_onderwerp_boolean_inkomen: 1
",44,8.64440078585462,"real"
"17",3,"IV: 
contacten_onderwerp_inkomen: 3
contacten_onderwerp_boolean_inkomen: 1
",15,6.09756097560976,"real"
"18",3,"IV: 
contacten_onderwerp_inkomen: 4
contacten_onderwerp_boolean_inkomen: 1
",7,6.08695652173913,"real"
"19",3,"IV: 
contacten_onderwerp_inkomen: 5
contacten_onderwerp_boolean_inkomen: 1
",3,4.16666666666667,"real"
"20",4,"IV: 
contacten_onderwerp_inkomen: 0
contacten_onderwerp_boolean_inkomen: 0
",1068,10.4063139432914,"real"
"21",4,"IV: 
contacten_onderwerp_inkomen: 1
contacten_onderwerp_boolean_inkomen: 1
",116,8.68913857677903,"real"
"22",4,"IV: 
contacten_onderwerp_inkomen: 2
contacten_onderwerp_boolean_inkomen: 1
",46,9.03732809430255,"real"
"23",4,"IV: 
contacten_onderwerp_inkomen: 3
contacten_onderwerp_boolean_inkomen: 1
",11,4.47154471544715,"real"
"24",4,"IV: 
contacten_onderwerp_inkomen: 4
contacten_onderwerp_boolean_inkomen: 1
",11,9.56521739130435,"real"
"25",4,"IV: 
contacten_onderwerp_inkomen: 5
contacten_onderwerp_boolean_inkomen: 1
",3,4.16666666666667,"real"
"26",5,"IV: 
contacten_onderwerp_inkomen: 0
contacten_onderwerp_boolean_inkomen: 0
",1043,10.1627204521095,"real"
"27",5,"IV: 
contacten_onderwerp_inkomen: 1
contacten_onderwerp_boolean_inkomen: 1
",128,9.58801498127341,"real"
"28",5,"IV: 
contacten_onderwerp_inkomen: 2
contacten_onderwerp_boolean_inkomen: 1
",40,7.85854616895874,"real"
"29",5,"IV: 
contacten_onderwerp_inkomen: 3
contacten_onderwerp_boolean_inkomen: 1
",25,10.1626016260163,"real"
"30",5,"IV: 
contacten_onderwerp_inkomen: 4
contacten_onderwerp_boolean_inkomen: 1
",13,11.304347826087,"real"
"31",5,"IV: 
contacten_onderwerp_inkomen: 5
contacten_onderwerp_boolean_inkomen: 1
",5,6.94444444444444,"real"
"32",6,"IV: 
contacten_onderwerp_inkomen: 0
contacten_onderwerp_boolean_inkomen: 0
",994,9.68527720939296,"real"
"33",6,"IV: 
contacten_onderwerp_inkomen: 1
contacten_onderwerp_boolean_inkomen: 1
",147,11.0112359550562,"real"
"34",6,"IV: 
contacten_onderwerp_inkomen: 2
contacten_onderwerp_boolean_inkomen: 1
",66,12.9666011787819,"real"
"35",6,"IV: 
contacten_onderwerp_inkomen: 3
contacten_onderwerp_boolean_inkomen: 1
",27,10.9756097560976,"real"
"36",6,"IV: 
contacten_onderwerp_inkomen: 4
contacten_onderwerp_boolean_inkomen: 1
",10,8.69565217391304,"real"
"37",6,"IV: 
contacten_onderwerp_inkomen: 5
contacten_onderwerp_boolean_inkomen: 1
",10,13.8888888888889,"real"
"38",7,"IV: 
contacten_onderwerp_inkomen: 0
contacten_onderwerp_boolean_inkomen: 0
",993,9.67553346974569,"real"
"39",7,"IV: 
contacten_onderwerp_inkomen: 1
contacten_onderwerp_boolean_inkomen: 1
",153,11.4606741573034,"real"
"40",7,"IV: 
contacten_onderwerp_inkomen: 2
contacten_onderwerp_boolean_inkomen: 1
",62,12.1807465618861,"real"
"41",7,"IV: 
contacten_onderwerp_inkomen: 3
contacten_onderwerp_boolean_inkomen: 1
",21,8.53658536585366,"real"
"42",7,"IV: 
contacten_onderwerp_inkomen: 4
contacten_onderwerp_boolean_inkomen: 1
",15,13.0434782608696,"real"
"43",7,"IV: 
contacten_onderwerp_inkomen: 5
contacten_onderwerp_boolean_inkomen: 1
",10,13.8888888888889,"real"
"44",8,"IV: 
contacten_onderwerp_inkomen: 0
contacten_onderwerp_boolean_inkomen: 0
",1020,9.93861444022216,"real"
"45",8,"IV: 
contacten_onderwerp_inkomen: 1
contacten_onderwerp_boolean_inkomen: 1
",134,10.0374531835206,"real"
"46",8,"IV: 
contacten_onderwerp_inkomen: 2
contacten_onderwerp_boolean_inkomen: 1
",46,9.03732809430255,"real"
"47",8,"IV: 
contacten_onderwerp_inkomen: 3
contacten_onderwerp_boolean_inkomen: 1
",32,13.0081300813008,"real"
"48",8,"IV: 
contacten_onderwerp_inkomen: 4
contacten_onderwerp_boolean_inkomen: 1
",13,11.304347826087,"real"
"49",8,"IV: 
contacten_onderwerp_inkomen: 5
contacten_onderwerp_boolean_inkomen: 1
",9,12.5,"real"
"50",9,"IV: 
contacten_onderwerp_inkomen: 0
contacten_onderwerp_boolean_inkomen: 0
",936,9.12014030985092,"real"
"51",9,"IV: 
contacten_onderwerp_inkomen: 1
contacten_onderwerp_boolean_inkomen: 1
",167,12.5093632958801,"real"
"52",9,"IV: 
contacten_onderwerp_inkomen: 10
contacten_onderwerp_boolean_inkomen: 1
",1,25,"real"
"53",9,"IV: 
contacten_onderwerp_inkomen: 2
contacten_onderwerp_boolean_inkomen: 1
",80,15.7170923379175,"real"
"54",9,"IV: 
contacten_onderwerp_inkomen: 3
contacten_onderwerp_boolean_inkomen: 1
",42,17.0731707317073,"real"
"55",9,"IV: 
contacten_onderwerp_inkomen: 4
contacten_onderwerp_boolean_inkomen: 1
",15,13.0434782608696,"real"
