"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_matching: 0
contacten_onderwerp_boolean_matching: 0
",1143,10.4574565416285,"real"
"2",1,"IV: 
contacten_onderwerp_matching: 1
contacten_onderwerp_boolean_matching: 1
",63,8.1924577373212,"real"
"3",1,"IV: 
contacten_onderwerp_matching: 10
contacten_onderwerp_boolean_matching: 1
",1,3.2258064516129,"real"
"4",1,"IV: 
contacten_onderwerp_matching: 2
contacten_onderwerp_boolean_matching: 1
",14,5.53359683794466,"real"
"5",1,"IV: 
contacten_onderwerp_matching: 3
contacten_onderwerp_boolean_matching: 1
",4,3.30578512396694,"real"
"6",1,"IV: 
contacten_onderwerp_matching: 4
contacten_onderwerp_boolean_matching: 1
",2,2.46913580246914,"real"
"7",1,"IV: 
contacten_onderwerp_matching: 5
contacten_onderwerp_boolean_matching: 1
",3,3.57142857142857,"real"
"8",2,"IV: 
contacten_onderwerp_matching: 0
contacten_onderwerp_boolean_matching: 0
",1130,10.3385178408051,"real"
"9",2,"IV: 
contacten_onderwerp_matching: 1
contacten_onderwerp_boolean_matching: 1
",74,9.62288686605982,"real"
"10",2,"IV: 
contacten_onderwerp_matching: 10
contacten_onderwerp_boolean_matching: 1
",1,3.2258064516129,"real"
"11",2,"IV: 
contacten_onderwerp_matching: 2
contacten_onderwerp_boolean_matching: 1
",14,5.53359683794466,"real"
"12",2,"IV: 
contacten_onderwerp_matching: 3
contacten_onderwerp_boolean_matching: 1
",7,5.78512396694215,"real"
"13",2,"IV: 
contacten_onderwerp_matching: 4
contacten_onderwerp_boolean_matching: 1
",3,3.7037037037037,"real"
"14",2,"IV: 
contacten_onderwerp_matching: 5
contacten_onderwerp_boolean_matching: 1
",1,1.19047619047619,"real"
"15",3,"IV: 
contacten_onderwerp_matching: 0
contacten_onderwerp_boolean_matching: 0
",1127,10.3110704483074,"real"
"16",3,"IV: 
contacten_onderwerp_matching: 1
contacten_onderwerp_boolean_matching: 1
",63,8.1924577373212,"real"
"17",3,"IV: 
contacten_onderwerp_matching: 10
contacten_onderwerp_boolean_matching: 1
",1,3.2258064516129,"real"
"18",3,"IV: 
contacten_onderwerp_matching: 15
contacten_onderwerp_boolean_matching: 1
",1,7.69230769230769,"real"
"19",3,"IV: 
contacten_onderwerp_matching: 2
contacten_onderwerp_boolean_matching: 1
",25,9.88142292490119,"real"
"20",3,"IV: 
contacten_onderwerp_matching: 3
contacten_onderwerp_boolean_matching: 1
",8,6.61157024793388,"real"
"21",3,"IV: 
contacten_onderwerp_matching: 4
contacten_onderwerp_boolean_matching: 1
",3,3.7037037037037,"real"
"22",3,"IV: 
contacten_onderwerp_matching: 5
contacten_onderwerp_boolean_matching: 1
",2,2.38095238095238,"real"
"23",4,"IV: 
contacten_onderwerp_matching: 0
contacten_onderwerp_boolean_matching: 0
",1124,10.2836230558097,"real"
"24",4,"IV: 
contacten_onderwerp_matching: 1
contacten_onderwerp_boolean_matching: 1
",65,8.45253576072822,"real"
"25",4,"IV: 
contacten_onderwerp_matching: 10
contacten_onderwerp_boolean_matching: 1
",1,3.2258064516129,"real"
"26",4,"IV: 
contacten_onderwerp_matching: 15
contacten_onderwerp_boolean_matching: 1
",1,7.69230769230769,"real"
"27",4,"IV: 
contacten_onderwerp_matching: 2
contacten_onderwerp_boolean_matching: 1
",15,5.92885375494071,"real"
"28",4,"IV: 
contacten_onderwerp_matching: 20
contacten_onderwerp_boolean_matching: 1
",1,12.5,"real"
"29",4,"IV: 
contacten_onderwerp_matching: 3
contacten_onderwerp_boolean_matching: 1
",12,9.91735537190083,"real"
"30",4,"IV: 
contacten_onderwerp_matching: 4
contacten_onderwerp_boolean_matching: 1
",7,8.64197530864197,"real"
"31",4,"IV: 
contacten_onderwerp_matching: 5
contacten_onderwerp_boolean_matching: 1
",4,4.76190476190476,"real"
