"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_no_show: 0
contacten_onderwerp_boolean_no_show: 0
",1181,13.0468404772426,"real"
"2",1,"IV: 
contacten_onderwerp_no_show: 1
contacten_onderwerp_boolean_no_show: 1
",63,3.15315315315315,"real"
"3",1,"IV: 
contacten_onderwerp_no_show: 2
contacten_onderwerp_boolean_no_show: 1
",6,0.718562874251497,"real"
"4",1,"IV: 
contacten_onderwerp_no_show: 3
contacten_onderwerp_boolean_no_show: 1
",1,0.289855072463768,"real"
"5",2,"IV: 
contacten_onderwerp_no_show: 0
contacten_onderwerp_boolean_no_show: 0
",1072,11.842686699072,"real"
"6",2,"IV: 
contacten_onderwerp_no_show: 1
contacten_onderwerp_boolean_no_show: 1
",146,7.30730730730731,"real"
"7",2,"IV: 
contacten_onderwerp_no_show: 2
contacten_onderwerp_boolean_no_show: 1
",24,2.87425149700599,"real"
"8",2,"IV: 
contacten_onderwerp_no_show: 3
contacten_onderwerp_boolean_no_show: 1
",6,1.73913043478261,"real"
"9",2,"IV: 
contacten_onderwerp_no_show: 4
contacten_onderwerp_boolean_no_show: 1
",3,1.69491525423729,"real"
"10",3,"IV: 
contacten_onderwerp_no_show: 0
contacten_onderwerp_boolean_no_show: 0
",1005,11.10251878038,"real"
"11",3,"IV: 
contacten_onderwerp_no_show: 1
contacten_onderwerp_boolean_no_show: 1
",174,8.70870870870871,"real"
"12",3,"IV: 
contacten_onderwerp_no_show: 2
contacten_onderwerp_boolean_no_show: 1
",55,6.58682634730539,"real"
"13",3,"IV: 
contacten_onderwerp_no_show: 3
contacten_onderwerp_boolean_no_show: 1
",9,2.60869565217391,"real"
"14",3,"IV: 
contacten_onderwerp_no_show: 4
contacten_onderwerp_boolean_no_show: 1
",5,2.82485875706215,"real"
"15",3,"IV: 
contacten_onderwerp_no_show: 5
contacten_onderwerp_boolean_no_show: 1
",3,3.33333333333333,"real"
"16",4,"IV: 
contacten_onderwerp_no_show: 0
contacten_onderwerp_boolean_no_show: 0
",971,10.7269111798498,"real"
"17",4,"IV: 
contacten_onderwerp_no_show: 1
contacten_onderwerp_boolean_no_show: 1
",198,9.90990990990991,"real"
"18",4,"IV: 
contacten_onderwerp_no_show: 2
contacten_onderwerp_boolean_no_show: 1
",55,6.58682634730539,"real"
"19",4,"IV: 
contacten_onderwerp_no_show: 3
contacten_onderwerp_boolean_no_show: 1
",18,5.21739130434783,"real"
"20",4,"IV: 
contacten_onderwerp_no_show: 4
contacten_onderwerp_boolean_no_show: 1
",8,4.51977401129944,"real"
"21",4,"IV: 
contacten_onderwerp_no_show: 5
contacten_onderwerp_boolean_no_show: 1
",1,1.11111111111111,"real"
"22",5,"IV: 
contacten_onderwerp_no_show: 0
contacten_onderwerp_boolean_no_show: 0
",915,10.1082633672117,"real"
"23",5,"IV: 
contacten_onderwerp_no_show: 1
contacten_onderwerp_boolean_no_show: 1
",220,11.011011011011,"real"
"24",5,"IV: 
contacten_onderwerp_no_show: 2
contacten_onderwerp_boolean_no_show: 1
",73,8.74251497005988,"real"
"25",5,"IV: 
contacten_onderwerp_no_show: 3
contacten_onderwerp_boolean_no_show: 1
",30,8.69565217391304,"real"
"26",5,"IV: 
contacten_onderwerp_no_show: 4
contacten_onderwerp_boolean_no_show: 1
",9,5.08474576271186,"real"
"27",5,"IV: 
contacten_onderwerp_no_show: 5
contacten_onderwerp_boolean_no_show: 1
",4,4.44444444444444,"real"
"28",6,"IV: 
contacten_onderwerp_no_show: 0
contacten_onderwerp_boolean_no_show: 0
",874,9.65532479010163,"real"
