"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_overleg_met_inkomen: 0
contacten_onderwerp_boolean_overleg_met_inkomen: 0
",1240,12.7519539284245,"real"
"2",1,"IV: 
contacten_onderwerp_overleg_met_inkomen: 1
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",8,0.512163892445583,"real"
"3",1,"IV: 
contacten_onderwerp_overleg_met_inkomen: 2
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",2,0.308166409861325,"real"
"4",1,"IV: 
contacten_onderwerp_overleg_met_inkomen: 3
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",1,0.302114803625378,"real"
"5",2,"IV: 
contacten_onderwerp_overleg_met_inkomen: 0
contacten_onderwerp_boolean_overleg_met_inkomen: 0
",1197,12.309749074455,"real"
"6",2,"IV: 
contacten_onderwerp_overleg_met_inkomen: 1
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",42,2.68886043533931,"real"
"7",2,"IV: 
contacten_onderwerp_overleg_met_inkomen: 2
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",8,1.2326656394453,"real"
"8",2,"IV: 
contacten_onderwerp_overleg_met_inkomen: 3
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",3,0.906344410876133,"real"
"9",2,"IV: 
contacten_onderwerp_overleg_met_inkomen: 4
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",1,0.657894736842105,"real"
"10",3,"IV: 
contacten_onderwerp_overleg_met_inkomen: 0
contacten_onderwerp_boolean_overleg_met_inkomen: 0
",1141,11.7338543809132,"real"
"11",3,"IV: 
contacten_onderwerp_overleg_met_inkomen: 1
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",72,4.60947503201024,"real"
"12",3,"IV: 
contacten_onderwerp_overleg_met_inkomen: 2
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",26,4.00616332819723,"real"
"13",3,"IV: 
contacten_onderwerp_overleg_met_inkomen: 3
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",4,1.20845921450151,"real"
"14",3,"IV: 
contacten_onderwerp_overleg_met_inkomen: 4
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",5,3.28947368421053,"real"
"15",3,"IV: 
contacten_onderwerp_overleg_met_inkomen: 5
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",3,3.75,"real"
"16",4,"IV: 
contacten_onderwerp_overleg_met_inkomen: 0
contacten_onderwerp_boolean_overleg_met_inkomen: 0
",1054,10.8391608391608,"real"
"17",4,"IV: 
contacten_onderwerp_overleg_met_inkomen: 1
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",131,8.38668373879642,"real"
"18",4,"IV: 
contacten_onderwerp_overleg_met_inkomen: 2
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",40,6.1633281972265,"real"
"19",4,"IV: 
contacten_onderwerp_overleg_met_inkomen: 3
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",15,4.53172205438066,"real"
"20",4,"IV: 
contacten_onderwerp_overleg_met_inkomen: 4
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",5,3.28947368421053,"real"
"21",4,"IV: 
contacten_onderwerp_overleg_met_inkomen: 5
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",6,7.5,"real"
"22",5,"IV: 
contacten_onderwerp_overleg_met_inkomen: 0
contacten_onderwerp_boolean_overleg_met_inkomen: 0
",990,10.1809954751131,"real"
"23",5,"IV: 
contacten_onderwerp_overleg_met_inkomen: 1
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",171,10.9475032010243,"real"
"24",5,"IV: 
contacten_onderwerp_overleg_met_inkomen: 10
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",1,20,"real"
"25",5,"IV: 
contacten_onderwerp_overleg_met_inkomen: 2
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",55,8.47457627118644,"real"
"26",5,"IV: 
contacten_onderwerp_overleg_met_inkomen: 3
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",24,7.25075528700906,"real"
"27",5,"IV: 
contacten_onderwerp_overleg_met_inkomen: 4
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",7,4.60526315789474,"real"
"28",5,"IV: 
contacten_onderwerp_overleg_met_inkomen: 5
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",2,2.5,"real"
"29",6,"IV: 
contacten_onderwerp_overleg_met_inkomen: 0
contacten_onderwerp_boolean_overleg_met_inkomen: 0
",922,9.48169477581242,"real"
"30",6,"IV: 
contacten_onderwerp_overleg_met_inkomen: 1
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",182,11.651728553137,"real"
"31",6,"IV: 
contacten_onderwerp_overleg_met_inkomen: 2
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",89,13.713405238829,"real"
"32",6,"IV: 
contacten_onderwerp_overleg_met_inkomen: 3
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",38,11.4803625377643,"real"
"33",6,"IV: 
contacten_onderwerp_overleg_met_inkomen: 4
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",12,7.89473684210526,"real"
"34",6,"IV: 
contacten_onderwerp_overleg_met_inkomen: 5
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",7,8.75,"real"
"35",7,"IV: 
contacten_onderwerp_overleg_met_inkomen: 0
contacten_onderwerp_boolean_overleg_met_inkomen: 0
",888,9.13204442616207,"real"
"36",7,"IV: 
contacten_onderwerp_overleg_met_inkomen: 1
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",202,12.932138284251,"real"
"37",7,"IV: 
contacten_onderwerp_overleg_met_inkomen: 2
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",92,14.175654853621,"real"
"38",7,"IV: 
contacten_onderwerp_overleg_met_inkomen: 3
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",35,10.5740181268882,"real"
"39",7,"IV: 
contacten_onderwerp_overleg_met_inkomen: 4
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",23,15.1315789473684,"real"
"40",7,"IV: 
contacten_onderwerp_overleg_met_inkomen: 5
contacten_onderwerp_boolean_overleg_met_inkomen: 1
",10,12.5,"real"
