"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_scholing: 0
contacten_onderwerp_boolean_scholing: 0
",1175,10.3369402656814,"real"
"2",1,"IV: 
contacten_onderwerp_scholing: 1
contacten_onderwerp_boolean_scholing: 1
",55,7.23684210526316,"real"
"3",1,"IV: 
contacten_onderwerp_scholing: 2
contacten_onderwerp_boolean_scholing: 1
",17,6.91056910569106,"real"
"4",1,"IV: 
contacten_onderwerp_scholing: 3
contacten_onderwerp_boolean_scholing: 1
",7,6.73076923076923,"real"
"5",1,"IV: 
contacten_onderwerp_scholing: 4
contacten_onderwerp_boolean_scholing: 1
",4,5.55555555555556,"real"
"6",1,"IV: 
contacten_onderwerp_scholing: 5
contacten_onderwerp_boolean_scholing: 1
",1,3.125,"real"
"7",2,"IV: 
contacten_onderwerp_scholing: 0
contacten_onderwerp_boolean_scholing: 0
",1165,10.2489663059734,"real"
"8",2,"IV: 
contacten_onderwerp_scholing: 1
contacten_onderwerp_boolean_scholing: 1
",70,9.21052631578947,"real"
"9",2,"IV: 
contacten_onderwerp_scholing: 2
contacten_onderwerp_boolean_scholing: 1
",13,5.28455284552845,"real"
"10",2,"IV: 
contacten_onderwerp_scholing: 3
contacten_onderwerp_boolean_scholing: 1
",6,5.76923076923077,"real"
"11",2,"IV: 
contacten_onderwerp_scholing: 4
contacten_onderwerp_boolean_scholing: 1
",3,4.16666666666667,"real"
"12",2,"IV: 
contacten_onderwerp_scholing: 5
contacten_onderwerp_boolean_scholing: 1
",2,6.25,"real"
"13",3,"IV: 
contacten_onderwerp_scholing: 0
contacten_onderwerp_boolean_scholing: 0
",1166,10.2577637019442,"real"
"14",3,"IV: 
contacten_onderwerp_scholing: 1
contacten_onderwerp_boolean_scholing: 1
",55,7.23684210526316,"real"
"15",3,"IV: 
contacten_onderwerp_scholing: 2
contacten_onderwerp_boolean_scholing: 1
",22,8.94308943089431,"real"
"16",3,"IV: 
contacten_onderwerp_scholing: 3
contacten_onderwerp_boolean_scholing: 1
",10,9.61538461538461,"real"
"17",3,"IV: 
contacten_onderwerp_scholing: 4
contacten_onderwerp_boolean_scholing: 1
",5,6.94444444444444,"real"
"18",3,"IV: 
contacten_onderwerp_scholing: 5
contacten_onderwerp_boolean_scholing: 1
",1,3.125,"real"
"19",4,"IV: 
contacten_onderwerp_scholing: 0
contacten_onderwerp_boolean_scholing: 0
",1134,9.97624703087886,"real"
"20",4,"IV: 
contacten_onderwerp_scholing: 1
contacten_onderwerp_boolean_scholing: 1
",80,10.5263157894737,"real"
"21",4,"IV: 
contacten_onderwerp_scholing: 2
contacten_onderwerp_boolean_scholing: 1
",29,11.7886178861789,"real"
"22",4,"IV: 
contacten_onderwerp_scholing: 20
contacten_onderwerp_boolean_scholing: 1
",1,100,"real"
"23",4,"IV: 
contacten_onderwerp_scholing: 3
contacten_onderwerp_boolean_scholing: 1
",5,4.80769230769231,"real"
"24",4,"IV: 
contacten_onderwerp_scholing: 4
contacten_onderwerp_boolean_scholing: 1
",6,8.33333333333333,"real"
"25",4,"IV: 
contacten_onderwerp_scholing: 5
contacten_onderwerp_boolean_scholing: 1
",4,12.5,"real"
"26",5,"IV: 
contacten_onderwerp_scholing: 0
contacten_onderwerp_boolean_scholing: 0
",1141,10.0378288026744,"real"
"27",5,"IV: 
contacten_onderwerp_scholing: 1
contacten_onderwerp_boolean_scholing: 1
",71,9.3421052631579,"real"
"28",5,"IV: 
contacten_onderwerp_scholing: 2
contacten_onderwerp_boolean_scholing: 1
",22,8.94308943089431,"real"
"29",5,"IV: 
contacten_onderwerp_scholing: 3
contacten_onderwerp_boolean_scholing: 1
",15,14.4230769230769,"real"
"30",5,"IV: 
contacten_onderwerp_scholing: 4
contacten_onderwerp_boolean_scholing: 1
",6,8.33333333333333,"real"
"31",5,"IV: 
contacten_onderwerp_scholing: 5
contacten_onderwerp_boolean_scholing: 1
",3,9.375,"real"
"32",6,"IV: 
contacten_onderwerp_scholing: 0
contacten_onderwerp_boolean_scholing: 0
",1130,9.94105744699569,"real"
"33",6,"IV: 
contacten_onderwerp_scholing: 1
contacten_onderwerp_boolean_scholing: 1
",78,10.2631578947368,"real"
"34",6,"IV: 
contacten_onderwerp_scholing: 10
contacten_onderwerp_boolean_scholing: 1
",2,100,"real"
