"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
contacten_onderwerp_screening: 0
","Ja",11267,0.486,0.154,0.0979852667080856,0.2772699032573,-0.201473329191444,17.72699032573,"real"
"2","IV: 
contacten_onderwerp_screening: 1
","Ja",823,0.513,0.14,0.110571081409478,0.308626974483597,1.05710814094775,20.8626974483597,"real"
"3","IV: 
contacten_onderwerp_screening: 2
","Ja",387,0.514,0.146,0.126614987080103,0.317829457364341,2.66149870801033,21.7829457364341,"real"
"4","IV: 
contacten_onderwerp_screening: 3
","Ja",107,0.523,0.15,0.121495327102804,0.373831775700935,2.14953271028037,27.3831775700935,"real"
"5","IV: 
contacten_onderwerp_screening: 4
","Ja",40,0.547,0.152,0.175,0.475,7.5,37.5,"real"
"6","IV: 
contacten_onderwerp_screening: 5
","Ja",11,0.539,0.118,0.0909090909090909,0.363636363636364,-0.909090909090909,26.3636363636364,"real"
"7","IV: 
contacten_onderwerp_screening: 6
","Ja",8,0.495,0.108,0,0.25,-10,15,"real"
"8","IV: 
contacten_onderwerp_screening: 7
","Ja",1,0.44,NA,0,0,-10,-10,"real"
"9","IV: 
contacten_onderwerp_screening: 8
","Ja",1,0.579,NA,0,0,-10,-10,"real"
"10","IV: 
contacten_onderwerp_screening: 0
","Ja",12645,0.489,0.153,0.10011862396204,0.281929616449189,0.0118623962040335,18.1929616449189,"real_conditional"
"11","IV: 
contacten_onderwerp_screening: 1
","Ja",12645,0.489,0.153,0.0999604586793199,0.281692368525109,-0.00395413206801115,18.1692368525109,"real_conditional"
"12","IV: 
contacten_onderwerp_screening: 2
","Ja",12645,0.49,0.153,0.100751285092922,0.283511269276394,0.0751285092922091,18.3511269276394,"real_conditional"
"13","IV: 
contacten_onderwerp_screening: 3
","Ja",12645,0.491,0.153,0.101146698299723,0.284855674179518,0.114669829972321,18.4855674179518,"real_conditional"
"14","IV: 
contacten_onderwerp_screening: 4
","Ja",12645,0.491,0.153,0.101146698299723,0.284855674179518,0.114669829972321,18.4855674179518,"real_conditional"
"15","IV: 
contacten_onderwerp_screening: 5
","Ja",12645,0.491,0.153,0.101146698299723,0.284855674179518,0.114669829972321,18.4855674179518,"real_conditional"
"16","IV: 
contacten_onderwerp_screening: 6
","Ja",12645,0.491,0.153,0.101146698299723,0.284855674179518,0.114669829972321,18.4855674179518,"real_conditional"
"17","IV: 
contacten_onderwerp_screening: 7
","Ja",12645,0.491,0.153,0.101146698299723,0.284855674179518,0.114669829972321,18.4855674179518,"real_conditional"
"18","IV: 
contacten_onderwerp_screening: 8
","Ja",12645,0.491,0.153,0.101146698299723,0.284855674179518,0.114669829972321,18.4855674179518,"real_conditional"
"19","IV: 
contacten_onderwerp_screening: 0
","Ja",6945,0.611,0.086,0.0982001439884809,0.637005039596832,-0.179985601151908,53.7005039596832,"synth"
"20","IV: 
contacten_onderwerp_screening: 1
","Ja",5519,0.613,0.084,0.10219242616416,0.647581083529625,0.219242616416017,54.7581083529625,"synth"
"21","IV: 
contacten_onderwerp_screening: 2
","Ja",181,0.611,0.082,0.104972375690608,0.613259668508287,0.497237569060772,51.3259668508287,"synth"
"22","IV: 
contacten_onderwerp_screening: 0
","Ja",12508,0.612,0.085,0.100255836264791,0.64134953629677,0.0255836264790532,54.134953629677,"synth_conditional"
"23","IV: 
contacten_onderwerp_screening: 1
","Ja",12508,0.612,0.085,0.0990566037735849,0.640390150303806,-0.0943396226415094,54.0390150303806,"synth_conditional"
"24","IV: 
contacten_onderwerp_screening: 2
","Ja",12508,0.612,0.085,0.101135273425008,0.642788615286217,0.113527342500799,54.2788615286217,"synth_conditional"
"25","IV: 
contacten_onderwerp_screening: 3
","Ja",12508,0.612,0.085,0.101215222257755,0.642788615286217,0.121522225775503,54.2788615286217,"synth_conditional"
"26","IV: 
contacten_onderwerp_screening: 4
","Ja",12508,0.612,0.085,0.101215222257755,0.642788615286217,0.121522225775503,54.2788615286217,"synth_conditional"
"27","IV: 
contacten_onderwerp_screening: 5
","Ja",12508,0.612,0.085,0.101215222257755,0.642788615286217,0.121522225775503,54.2788615286217,"synth_conditional"
"28","IV: 
contacten_onderwerp_screening: 6
","Ja",12508,0.612,0.085,0.101215222257755,0.642788615286217,0.121522225775503,54.2788615286217,"synth_conditional"
"29","IV: 
contacten_onderwerp_screening: 7
","Ja",12508,0.612,0.085,0.101215222257755,0.642788615286217,0.121522225775503,54.2788615286217,"synth_conditional"
"30","IV: 
contacten_onderwerp_screening: 8
","Ja",12508,0.612,0.085,0.101215222257755,0.642788615286217,0.121522225775503,54.2788615286217,"synth_conditional"
