"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_traject: 0
contacten_onderwerp_boolean_traject: 0
",187,6.58914728682171,"real"
"2",1,"IV: 
contacten_onderwerp_traject: 1
contacten_onderwerp_boolean_traject: 1
",207,10.9292502639916,"real"
"3",1,"IV: 
contacten_onderwerp_traject: 10
contacten_onderwerp_boolean_traject: 1
",36,13.3828996282528,"real"
"4",1,"IV: 
contacten_onderwerp_traject: 15
contacten_onderwerp_boolean_traject: 1
",4,4.93827160493827,"real"
"5",1,"IV: 
contacten_onderwerp_traject: 2
contacten_onderwerp_boolean_traject: 1
",145,10.0069013112491,"real"
"6",1,"IV: 
contacten_onderwerp_traject: 20
contacten_onderwerp_boolean_traject: 1
",3,6.66666666666667,"real"
"7",1,"IV: 
contacten_onderwerp_traject: 3
contacten_onderwerp_boolean_traject: 1
",120,10.371650821089,"real"
"8",1,"IV: 
contacten_onderwerp_traject: 4
contacten_onderwerp_boolean_traject: 1
",133,13.5714285714286,"real"
"9",1,"IV: 
contacten_onderwerp_traject: 5
contacten_onderwerp_boolean_traject: 1
",115,14.9156939040208,"real"
"10",2,"IV: 
contacten_onderwerp_traject: 0
contacten_onderwerp_boolean_traject: 0
",241,8.49189570119803,"real"
"11",2,"IV: 
contacten_onderwerp_traject: 1
contacten_onderwerp_boolean_traject: 1
",200,10.5596620908131,"real"
"12",2,"IV: 
contacten_onderwerp_traject: 10
contacten_onderwerp_boolean_traject: 1
",22,8.17843866171004,"real"
"13",2,"IV: 
contacten_onderwerp_traject: 15
contacten_onderwerp_boolean_traject: 1
",4,4.93827160493827,"real"
"14",2,"IV: 
contacten_onderwerp_traject: 2
contacten_onderwerp_boolean_traject: 1
",162,11.1801242236025,"real"
"15",2,"IV: 
contacten_onderwerp_traject: 20
contacten_onderwerp_boolean_traject: 1
",1,2.22222222222222,"real"
"16",2,"IV: 
contacten_onderwerp_traject: 3
contacten_onderwerp_boolean_traject: 1
",134,11.5816767502161,"real"
