"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_vakantie: 0
",1215,10,"real"
"2",1,"IV: 
contacten_onderwerp_vakantie: 1
",41,10.7049608355091,"real"
"3",1,"IV: 
contacten_onderwerp_vakantie: 2
",6,8,"real"
"4",1,"IV: 
contacten_onderwerp_vakantie: 3
",2,7.40740740740741,"real"
"5",1,"IV: 
contacten_onderwerp_vakantie: 9
",1,100,"real"
"6",2,"IV: 
contacten_onderwerp_vakantie: 0
",1219,10.0329218106996,"real"
"7",2,"IV: 
contacten_onderwerp_vakantie: 1
",35,9.13838120104439,"real"
"8",2,"IV: 
contacten_onderwerp_vakantie: 2
",6,8,"real"
"9",2,"IV: 
contacten_onderwerp_vakantie: 3
",2,7.40740740740741,"real"
"10",2,"IV: 
contacten_onderwerp_vakantie: 4
",2,40,"real"
"11",2,"IV: 
contacten_onderwerp_vakantie: 5
",1,33.3333333333333,"real"
"12",3,"IV: 
contacten_onderwerp_vakantie: 0
",1207,9.93415637860082,"real"
"13",3,"IV: 
contacten_onderwerp_vakantie: 1
",36,9.39947780678851,"real"
"14",3,"IV: 
contacten_onderwerp_vakantie: 2
",17,22.6666666666667,"real"
"15",3,"IV: 
contacten_onderwerp_vakantie: 3
",4,14.8148148148148,"real"
"16",3,"IV: 
contacten_onderwerp_vakantie: 5
",1,33.3333333333333,"real"
"17",4,"IV: 
contacten_onderwerp_vakantie: 0
",1206,9.92592592592593,"real"
"18",4,"IV: 
contacten_onderwerp_vakantie: 1
",42,10.9660574412533,"real"
"19",4,"IV: 
contacten_onderwerp_vakantie: 2
",14,18.6666666666667,"real"
"20",4,"IV: 
contacten_onderwerp_vakantie: 3
",1,3.7037037037037,"real"
"21",4,"IV: 
contacten_onderwerp_vakantie: 4
",1,20,"real"
"22",4,"IV: 
contacten_onderwerp_vakantie: 8
",1,100,"real"
"23",5,"IV: 
contacten_onderwerp_vakantie: 0
",1219,10.0329218106996,"real"
"24",5,"IV: 
contacten_onderwerp_vakantie: 1
",35,9.13838120104439,"real"
"25",5,"IV: 
contacten_onderwerp_vakantie: 2
",9,12,"real"
"26",5,"IV: 
contacten_onderwerp_vakantie: 3
",1,3.7037037037037,"real"
"27",5,"IV: 
contacten_onderwerp_vakantie: 4
",1,20,"real"
"28",6,"IV: 
contacten_onderwerp_vakantie: 0
",1202,9.89300411522634,"real"
"29",6,"IV: 
contacten_onderwerp_vakantie: 1
",49,12.7937336814621,"real"
"30",6,"IV: 
contacten_onderwerp_vakantie: 2
",10,13.3333333333333,"real"
"31",6,"IV: 
contacten_onderwerp_vakantie: 3
",3,11.1111111111111,"real"
"32",7,"IV: 
contacten_onderwerp_vakantie: 0
",1216,10.0082304526749,"real"
"33",7,"IV: 
contacten_onderwerp_vakantie: 1
",42,10.9660574412533,"real"
"34",7,"IV: 
contacten_onderwerp_vakantie: 2
",2,2.66666666666667,"real"
"35",7,"IV: 
contacten_onderwerp_vakantie: 3
",4,14.8148148148148,"real"
"36",8,"IV: 
contacten_onderwerp_vakantie: 0
",1215,10,"real"
"37",8,"IV: 
contacten_onderwerp_vakantie: 1
",41,10.7049608355091,"real"
"38",8,"IV: 
contacten_onderwerp_vakantie: 2
",4,5.33333333333333,"real"
"39",8,"IV: 
contacten_onderwerp_vakantie: 3
",2,7.40740740740741,"real"
"40",8,"IV: 
contacten_onderwerp_vakantie: 4
",1,20,"real"
"41",8,"IV: 
contacten_onderwerp_vakantie: 5
",1,33.3333333333333,"real"
"42",9,"IV: 
contacten_onderwerp_vakantie: 0
",1222,10.0576131687243,"real"
"43",9,"IV: 
contacten_onderwerp_vakantie: 1
",32,8.35509138381201,"real"
"44",9,"IV: 
contacten_onderwerp_vakantie: 2
",4,5.33333333333333,"real"
"45",9,"IV: 
contacten_onderwerp_vakantie: 3
",6,22.2222222222222,"real"
"46",10,"IV: 
contacten_onderwerp_vakantie: 0
",1229,10.1152263374486,"real"
"47",10,"IV: 
contacten_onderwerp_vakantie: 1
",30,7.83289817232376,"real"
"48",10,"IV: 
contacten_onderwerp_vakantie: 2
",3,4,"real"
"49",10,"IV: 
contacten_onderwerp_vakantie: 3
",2,7.40740740740741,"real"
"50",1,"IV: 
contacten_onderwerp_vakantie: 0
",1230,9.72716488730724,"real_conditional"
"51",1,"IV: 
contacten_onderwerp_vakantie: 1
",1230,9.72716488730724,"real_conditional"
"52",1,"IV: 
contacten_onderwerp_vakantie: 2
",1230,9.72716488730724,"real_conditional"
"53",1,"IV: 
contacten_onderwerp_vakantie: 3
",1286,10.1700276789245,"real_conditional"
"54",1,"IV: 
contacten_onderwerp_vakantie: 4
",1285,10.1621194147885,"real_conditional"
"55",1,"IV: 
contacten_onderwerp_vakantie: 5
",1285,10.1621194147885,"real_conditional"
"56",1,"IV: 
contacten_onderwerp_vakantie: 8
",1285,10.1621194147885,"real_conditional"
"57",1,"IV: 
contacten_onderwerp_vakantie: 9
",1285,10.1621194147885,"real_conditional"
"58",2,"IV: 
contacten_onderwerp_vakantie: 0
",1245,9.84578884934757,"real_conditional"
"59",2,"IV: 
contacten_onderwerp_vakantie: 1
",1245,9.84578884934757,"real_conditional"
"60",2,"IV: 
contacten_onderwerp_vakantie: 2
",1245,9.84578884934757,"real_conditional"
"61",2,"IV: 
contacten_onderwerp_vakantie: 3
",1276,10.0909450375643,"real_conditional"
"62",2,"IV: 
contacten_onderwerp_vakantie: 4
",1276,10.0909450375643,"real_conditional"
"63",2,"IV: 
contacten_onderwerp_vakantie: 5
",1277,10.0988533017003,"real_conditional"
"64",2,"IV: 
contacten_onderwerp_vakantie: 8
",1276,10.0909450375643,"real_conditional"
"65",2,"IV: 
contacten_onderwerp_vakantie: 9
",1276,10.0909450375643,"real_conditional"
"66",3,"IV: 
contacten_onderwerp_vakantie: 0
",1251,9.8932384341637,"real_conditional"
"67",3,"IV: 
contacten_onderwerp_vakantie: 1
",1251,9.8932384341637,"real_conditional"
"68",3,"IV: 
contacten_onderwerp_vakantie: 2
",1251,9.8932384341637,"real_conditional"
"69",3,"IV: 
contacten_onderwerp_vakantie: 3
",1272,10.0593119810202,"real_conditional"
"70",3,"IV: 
contacten_onderwerp_vakantie: 4
",1273,10.0672202451562,"real_conditional"
"71",3,"IV: 
contacten_onderwerp_vakantie: 5
",1272,10.0593119810202,"real_conditional"
"72",3,"IV: 
contacten_onderwerp_vakantie: 8
",1273,10.0672202451562,"real_conditional"
"73",3,"IV: 
contacten_onderwerp_vakantie: 9
",1273,10.0672202451562,"real_conditional"
"74",4,"IV: 
contacten_onderwerp_vakantie: 0
",1257,9.94068801897983,"real_conditional"
"75",4,"IV: 
contacten_onderwerp_vakantie: 1
",1257,9.94068801897983,"real_conditional"
"76",4,"IV: 
contacten_onderwerp_vakantie: 2
",1257,9.94068801897983,"real_conditional"
"77",4,"IV: 
contacten_onderwerp_vakantie: 3
",1269,10.0355871886121,"real_conditional"
"78",4,"IV: 
contacten_onderwerp_vakantie: 4
",1269,10.0355871886121,"real_conditional"
"79",4,"IV: 
contacten_onderwerp_vakantie: 5
",1269,10.0355871886121,"real_conditional"
"80",4,"IV: 
contacten_onderwerp_vakantie: 8
",1269,10.0355871886121,"real_conditional"
"81",4,"IV: 
contacten_onderwerp_vakantie: 9
",1269,10.0355871886121,"real_conditional"
"82",5,"IV: 
contacten_onderwerp_vakantie: 0
",1274,10.0751285092922,"real_conditional"
"83",5,"IV: 
contacten_onderwerp_vakantie: 1
",1274,10.0751285092922,"real_conditional"
"84",5,"IV: 
contacten_onderwerp_vakantie: 2
",1274,10.0751285092922,"real_conditional"
"85",5,"IV: 
contacten_onderwerp_vakantie: 3
",1259,9.95650454725188,"real_conditional"
"86",5,"IV: 
contacten_onderwerp_vakantie: 4
",1259,9.95650454725188,"real_conditional"
"87",5,"IV: 
contacten_onderwerp_vakantie: 5
",1259,9.95650454725188,"real_conditional"
"88",5,"IV: 
contacten_onderwerp_vakantie: 8
",1259,9.95650454725188,"real_conditional"
"89",5,"IV: 
contacten_onderwerp_vakantie: 9
",1258,9.94859628311586,"real_conditional"
"90",6,"IV: 
contacten_onderwerp_vakantie: 0
",1270,10.0434954527481,"real_conditional"
"91",6,"IV: 
contacten_onderwerp_vakantie: 1
",1270,10.0434954527481,"real_conditional"
"92",6,"IV: 
contacten_onderwerp_vakantie: 2
",1270,10.0434954527481,"real_conditional"
"93",6,"IV: 
contacten_onderwerp_vakantie: 3
",1261,9.97232107552392,"real_conditional"
"94",6,"IV: 
contacten_onderwerp_vakantie: 4
",1261,9.97232107552392,"real_conditional"
"95",6,"IV: 
contacten_onderwerp_vakantie: 5
",1261,9.97232107552392,"real_conditional"
"96",6,"IV: 
contacten_onderwerp_vakantie: 8
",1261,9.97232107552392,"real_conditional"
"97",6,"IV: 
contacten_onderwerp_vakantie: 9
",1262,9.98022933965994,"real_conditional"
"98",7,"IV: 
contacten_onderwerp_vakantie: 0
",1255,9.92487149070779,"real_conditional"
"99",7,"IV: 
contacten_onderwerp_vakantie: 1
",1255,9.92487149070779,"real_conditional"
"100",7,"IV: 
contacten_onderwerp_vakantie: 2
",1255,9.92487149070779,"real_conditional"
"101",7,"IV: 
contacten_onderwerp_vakantie: 3
",1271,10.0514037168841,"real_conditional"
"102",7,"IV: 
contacten_onderwerp_vakantie: 4
",1270,10.0434954527481,"real_conditional"
"103",7,"IV: 
contacten_onderwerp_vakantie: 5
",1270,10.0434954527481,"real_conditional"
"104",7,"IV: 
contacten_onderwerp_vakantie: 8
",1270,10.0434954527481,"real_conditional"
"105",7,"IV: 
contacten_onderwerp_vakantie: 9
",1270,10.0434954527481,"real_conditional"
"106",8,"IV: 
contacten_onderwerp_vakantie: 0
",1278,10.1067615658363,"real_conditional"
"107",8,"IV: 
contacten_onderwerp_vakantie: 1
",1277,10.0988533017003,"real_conditional"
"108",8,"IV: 
contacten_onderwerp_vakantie: 2
",1277,10.0988533017003,"real_conditional"
"109",8,"IV: 
contacten_onderwerp_vakantie: 3
",1256,9.93277975484381,"real_conditional"
"110",8,"IV: 
contacten_onderwerp_vakantie: 4
",1257,9.94068801897983,"real_conditional"
"111",8,"IV: 
contacten_onderwerp_vakantie: 5
",1257,9.94068801897983,"real_conditional"
"112",8,"IV: 
contacten_onderwerp_vakantie: 8
",1257,9.94068801897983,"real_conditional"
"113",8,"IV: 
contacten_onderwerp_vakantie: 9
",1257,9.94068801897983,"real_conditional"
"114",9,"IV: 
contacten_onderwerp_vakantie: 0
",1289,10.1937524713325,"real_conditional"
