"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_onderwerp_zorg: 0
contacten_onderwerp_boolean_zorg: 0
",655,10.6072874493927,"real"
"2",1,"IV: 
contacten_onderwerp_zorg: 1
contacten_onderwerp_boolean_zorg: 1
",264,10.4471705579739,"real"
"3",1,"IV: 
contacten_onderwerp_zorg: 10
contacten_onderwerp_boolean_zorg: 1
",4,6.89655172413793,"real"
"4",1,"IV: 
contacten_onderwerp_zorg: 2
contacten_onderwerp_boolean_zorg: 1
",129,9.48529411764706,"real"
"5",1,"IV: 
contacten_onderwerp_zorg: 3
contacten_onderwerp_boolean_zorg: 1
",71,8.40236686390532,"real"
"6",1,"IV: 
contacten_onderwerp_zorg: 4
contacten_onderwerp_boolean_zorg: 1
",38,7.2936660268714,"real"
"7",1,"IV: 
contacten_onderwerp_zorg: 5
contacten_onderwerp_boolean_zorg: 1
",24,7.20720720720721,"real"
"8",2,"IV: 
contacten_onderwerp_zorg: 0
contacten_onderwerp_boolean_zorg: 0
",629,10.1862348178138,"real"
"9",2,"IV: 
contacten_onderwerp_zorg: 1
contacten_onderwerp_boolean_zorg: 1
",259,10.2493074792244,"real"
"10",2,"IV: 
contacten_onderwerp_zorg: 10
contacten_onderwerp_boolean_zorg: 1
",5,8.62068965517241,"real"
"11",2,"IV: 
contacten_onderwerp_zorg: 15
contacten_onderwerp_boolean_zorg: 1
",1,5.88235294117647,"real"
"12",2,"IV: 
contacten_onderwerp_zorg: 2
contacten_onderwerp_boolean_zorg: 1
",143,10.5147058823529,"real"
"13",2,"IV: 
contacten_onderwerp_zorg: 3
contacten_onderwerp_boolean_zorg: 1
",74,8.75739644970414,"real"
"14",2,"IV: 
contacten_onderwerp_zorg: 4
contacten_onderwerp_boolean_zorg: 1
",51,9.78886756238004,"real"
"15",2,"IV: 
contacten_onderwerp_zorg: 5
contacten_onderwerp_boolean_zorg: 1
",23,6.90690690690691,"real"
