"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
contacten_onderwerp_zorg: 0
contacten_onderwerp_boolean_zorg: 0
","Ja",6175,0.493,0.161,0.121457489878543,0.307044534412955,2.14574898785425,20.7044534412955,"real"
"2","IV: 
contacten_onderwerp_zorg: 1
contacten_onderwerp_boolean_zorg: 1
","Ja",2527,0.477,0.149,0.0787495053423031,0.246933122279383,-2.12504946576969,14.6933122279383,"real"
"3","IV: 
contacten_onderwerp_zorg: 10
contacten_onderwerp_boolean_zorg: 1
","Ja",58,0.512,0.155,0.155172413793103,0.275862068965517,5.51724137931035,17.5862068965517,"real"
"4","IV: 
contacten_onderwerp_zorg: 15
contacten_onderwerp_boolean_zorg: 1
","Ja",17,0.55,0.113,0.0588235294117647,0.352941176470588,-4.11764705882353,25.2941176470588,"real"
"5","IV: 
contacten_onderwerp_zorg: 2
contacten_onderwerp_boolean_zorg: 1
","Ja",1360,0.479,0.144,0.0676470588235294,0.243382352941176,-3.23529411764706,14.3382352941176,"real"
"6","IV: 
contacten_onderwerp_zorg: 20
contacten_onderwerp_boolean_zorg: 1
","Ja",6,0.575,0.108,0.166666666666667,0.5,6.66666666666667,40,"real"
"7","IV: 
contacten_onderwerp_zorg: 3
contacten_onderwerp_boolean_zorg: 1
","Ja",845,0.489,0.146,0.0923076923076923,0.268639053254438,-0.769230769230769,16.8639053254438,"real"
"8","IV: 
contacten_onderwerp_zorg: 4
contacten_onderwerp_boolean_zorg: 1
","Ja",521,0.483,0.144,0.0921305182341651,0.255278310940499,-0.786948176583493,15.5278310940499,"real"
"9","IV: 
contacten_onderwerp_zorg: 45
contacten_onderwerp_boolean_zorg: 1
","Ja",1,0.6,NA,0,1,-10,90,"real"
"10","IV: 
contacten_onderwerp_zorg: 5
contacten_onderwerp_boolean_zorg: 1
","Ja",333,0.498,0.137,0.0690690690690691,0.267267267267267,-3.09309309309309,16.7267267267267,"real"
"11","IV: 
contacten_onderwerp_zorg: 0
contacten_onderwerp_boolean_zorg: 0
","Ja",12645,0.49,0.153,0.100276789244761,0.282641360221431,0.0276789244760767,18.2641360221431,"real_conditional"
"12","IV: 
contacten_onderwerp_zorg: 1
contacten_onderwerp_boolean_zorg: 1
","Ja",12645,0.489,0.153,0.0999604586793199,0.28208778173191,-0.00395413206801115,18.208778173191,"real_conditional"
"13","IV: 
contacten_onderwerp_zorg: 10
contacten_onderwerp_boolean_zorg: 1
","Ja",12645,0.486,0.153,0.0972716488730724,0.276868327402135,-0.272835112692764,17.6868327402135,"real_conditional"
"14","IV: 
contacten_onderwerp_zorg: 15
contacten_onderwerp_boolean_zorg: 1
","Ja",12645,0.488,0.154,0.099644128113879,0.279794385132463,-0.0355871886121004,17.9794385132463,"real_conditional"
"15","IV: 
contacten_onderwerp_zorg: 2
contacten_onderwerp_boolean_zorg: 1
","Ja",12645,0.489,0.153,0.0998022933965994,0.281613285883749,-0.0197706603400558,18.1613285883749,"real_conditional"
"16","IV: 
contacten_onderwerp_zorg: 20
contacten_onderwerp_boolean_zorg: 1
","Ja",12645,0.488,0.154,0.099644128113879,0.279794385132463,-0.0355871886121004,17.9794385132463,"real_conditional"
"17","IV: 
contacten_onderwerp_zorg: 3
contacten_onderwerp_boolean_zorg: 1
","Ja",12645,0.488,0.154,0.0990114669829972,0.280901542111507,-0.0988533017002774,18.0901542111507,"real_conditional"
"18","IV: 
contacten_onderwerp_zorg: 30
contacten_onderwerp_boolean_zorg: 1
","Ja",12645,0.488,0.154,0.099644128113879,0.279794385132463,-0.0355871886121004,17.9794385132463,"real_conditional"
"19","IV: 
contacten_onderwerp_zorg: 4
contacten_onderwerp_boolean_zorg: 1
","Ja",12645,0.489,0.154,0.0991696322657177,0.281059707394227,-0.0830367734282328,18.1059707394227,"real_conditional"
"20","IV: 
contacten_onderwerp_zorg: 45
contacten_onderwerp_boolean_zorg: 1
","Ja",12645,0.488,0.154,0.099644128113879,0.279794385132463,-0.0355871886121004,17.9794385132463,"real_conditional"
"21","IV: 
contacten_onderwerp_zorg: 5
contacten_onderwerp_boolean_zorg: 1
","Ja",12645,0.488,0.154,0.0987742190589166,0.280268880980625,-0.122578094108343,18.0268880980625,"real_conditional"
"22","IV: 
contacten_onderwerp_zorg: 0
contacten_onderwerp_boolean_zorg: 0
","Ja",1080,0.606,0.09,0.100925925925926,0.605555555555556,0.0925925925925927,50.5555555555556,"synth"
"23","IV: 
contacten_onderwerp_zorg: 1
contacten_onderwerp_boolean_zorg: 0
","Ja",2478,0.612,0.088,0.100080710250202,0.643664245359161,0.00807102502017737,54.3664245359161,"synth"
"24","IV: 
contacten_onderwerp_zorg: 1
contacten_onderwerp_boolean_zorg: 1
","Ja",111,0.61,0.091,0.117117117117117,0.63963963963964,1.71171171171171,53.963963963964,"synth"
"25","IV: 
contacten_onderwerp_zorg: 10
contacten_onderwerp_boolean_zorg: 1
","Ja",33,0.62,0.077,0.0606060606060606,0.787878787878788,-3.93939393939394,68.7878787878788,"synth"
"26","IV: 
contacten_onderwerp_zorg: 2
contacten_onderwerp_boolean_zorg: 0
","Ja",1480,0.617,0.084,0.107432432432432,0.667567567567568,0.743243243243243,56.7567567567568,"synth"
"27","IV: 
contacten_onderwerp_zorg: 2
contacten_onderwerp_boolean_zorg: 1
","Ja",1250,0.607,0.084,0.0784,0.6248,-2.16,52.48,"synth"
"28","IV: 
contacten_onderwerp_zorg: 3
contacten_onderwerp_boolean_zorg: 0
","Ja",173,0.619,0.086,0.132947976878613,0.630057803468208,3.29479768786127,53.0057803468208,"synth"
"29","IV: 
contacten_onderwerp_zorg: 3
contacten_onderwerp_boolean_zorg: 1
","Ja",2037,0.614,0.085,0.104074619538537,0.649484536082474,0.407461953853706,54.9484536082474,"synth"
"30","IV: 
contacten_onderwerp_zorg: 4
contacten_onderwerp_boolean_zorg: 0
","Ja",9,0.592,0.076,0,0.555555555555556,-10,45.5555555555556,"synth"
"31","IV: 
contacten_onderwerp_zorg: 4
contacten_onderwerp_boolean_zorg: 1
","Ja",1626,0.612,0.084,0.102706027060271,0.635916359163592,0.270602706027059,53.5916359163592,"synth"
"32","IV: 
contacten_onderwerp_zorg: 5
contacten_onderwerp_boolean_zorg: 1
","Ja",1104,0.612,0.083,0.110507246376812,0.631340579710145,1.05072463768116,53.1340579710145,"synth"
"33","IV: 
contacten_onderwerp_zorg: 0
contacten_onderwerp_boolean_zorg: 0
","Ja",12508,0.612,0.085,0.100575631595779,0.642628717620723,0.0575631595778697,54.2628717620723,"synth_conditional"
"34","IV: 
contacten_onderwerp_zorg: 1
contacten_onderwerp_boolean_zorg: 1
","Ja",12508,0.612,0.085,0.100255836264791,0.642308922289735,0.0255836264790532,54.2308922289735,"synth_conditional"
"35","IV: 
contacten_onderwerp_zorg: 10
contacten_onderwerp_boolean_zorg: 1
","Ja",12508,0.61,0.085,0.0959385992964503,0.63487368084426,-0.406140070354974,53.487368084426,"synth_conditional"
"36","IV: 
contacten_onderwerp_zorg: 15
contacten_onderwerp_boolean_zorg: 1
","Ja",12508,0.611,0.085,0.0980172689478734,0.63839142948513,-0.198273105212664,53.839142948513,"synth_conditional"
"37","IV: 
contacten_onderwerp_zorg: 2
contacten_onderwerp_boolean_zorg: 1
","Ja",12508,0.612,0.085,0.100095938599296,0.641989126958746,0.00959385992964495,54.1989126958746,"synth_conditional"
"38","IV: 
contacten_onderwerp_zorg: 20
contacten_onderwerp_boolean_zorg: 1
","Ja",12508,0.611,0.085,0.0980172689478734,0.63839142948513,-0.198273105212664,53.839142948513,"synth_conditional"
"39","IV: 
contacten_onderwerp_zorg: 3
contacten_onderwerp_boolean_zorg: 1
","Ja",12508,0.611,0.085,0.0991365526063319,0.639510713143588,-0.086344739366806,53.9510713143588,"synth_conditional"
"40","IV: 
contacten_onderwerp_zorg: 30
contacten_onderwerp_boolean_zorg: 1
","Ja",12508,0.611,0.085,0.0980172689478734,0.63839142948513,-0.198273105212664,53.839142948513,"synth_conditional"
"41","IV: 
contacten_onderwerp_zorg: 4
contacten_onderwerp_boolean_zorg: 1
","Ja",12508,0.611,0.085,0.0993763991045731,0.640070354972817,-0.0623600895426929,54.0070354972817,"synth_conditional"
"42","IV: 
contacten_onderwerp_zorg: 45
contacten_onderwerp_boolean_zorg: 1
","Ja",12508,0.611,0.085,0.0980172689478734,0.63839142948513,-0.198273105212664,53.839142948513,"synth_conditional"
"43","IV: 
contacten_onderwerp_zorg: 5
contacten_onderwerp_boolean_zorg: 1
","Ja",12508,0.611,0.085,0.0993763991045731,0.639910457307323,-0.0623600895426929,53.9910457307323,"synth_conditional"
