"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",976,11.4958775029446,"real"
"2",1,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",211,8.3399209486166,"real"
"3",1,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",50,5.51876379690949,"real"
"4",1,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",10,2.80898876404494,"real"
"5",1,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",6,3.72670807453416,"real"
"6",1,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",1,1.17647058823529,"real"
"7",2,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",932,10.9776207302709,"real"
"8",2,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",241,9.52569169960474,"real"
"9",2,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",61,6.73289183222958,"real"
"10",2,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",13,3.65168539325843,"real"
"11",2,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",6,3.72670807453416,"real"
"12",2,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",1,1.17647058823529,"real"
"13",3,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",913,10.75382803298,"real"
"14",3,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",244,9.64426877470356,"real"
"15",3,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",70,7.72626931567329,"real"
"16",3,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",19,5.33707865168539,"real"
"17",3,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",4,2.48447204968944,"real"
"18",3,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",4,4.70588235294118,"real"
"19",4,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",860,10.1295641931684,"real"
"20",4,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",256,10.1185770750988,"real"
"21",4,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",88,9.71302428256071,"real"
"22",4,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",31,8.70786516853933,"real"
"23",4,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",11,6.83229813664596,"real"
"24",4,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",8,9.41176470588235,"real"
"25",5,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",836,9.84687868080094,"real"
"26",5,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",278,10.9881422924901,"real"
"27",5,"IV: 
contacten_soort_afgelopenjaar_anders: 10
",1,16.6666666666667,"real"
"28",5,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",94,10.3752759381898,"real"
"29",5,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",33,9.26966292134832,"real"
"30",5,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",11,6.83229813664596,"real"
"31",5,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",1,1.17647058823529,"real"
"32",6,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",866,10.2002355712603,"real"
"33",6,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",245,9.68379446640316,"real"
"34",6,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",97,10.7064017660044,"real"
"35",6,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",30,8.42696629213483,"real"
"36",6,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",12,7.45341614906832,"real"
"37",6,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",4,4.70588235294118,"real"
"38",7,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",850,10.0117785630153,"real"
"39",7,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",247,9.76284584980237,"real"
"40",7,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",102,11.2582781456954,"real"
"41",7,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",34,9.55056179775281,"real"
"42",7,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",15,9.3167701863354,"real"
"43",7,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",6,7.05882352941176,"real"
"44",8,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",832,9.79976442873969,"real"
"45",8,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",263,10.395256916996,"real"
"46",8,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",86,9.49227373068433,"real"
"47",8,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",41,11.5168539325843,"real"
"48",8,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",20,12.4223602484472,"real"
"49",8,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",11,12.9411764705882,"real"
"50",9,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",784,9.23439340400471,"real"
"51",9,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",256,10.1185770750988,"real"
"52",9,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",114,12.5827814569536,"real"
"53",9,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",51,14.3258426966292,"real"
"54",9,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",29,18.0124223602484,"real"
"55",9,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",19,22.3529411764706,"real"
"56",10,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",641,7.55005889281508,"real"
"57",10,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",289,11.4229249011858,"real"
"58",10,"IV: 
contacten_soort_afgelopenjaar_anders: 10
",5,83.3333333333333,"real"
"59",10,"IV: 
contacten_soort_afgelopenjaar_anders: 15
",3,100,"real"
"60",10,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",144,15.8940397350993,"real"
"61",10,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",94,26.4044943820225,"real"
"62",10,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",47,29.1925465838509,"real"
"63",10,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",30,35.2941176470588,"real"
"64",1,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",1564,12.3685251087386,"real_conditional"
"65",1,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",1564,12.3685251087386,"real_conditional"
"66",1,"IV: 
contacten_soort_afgelopenjaar_anders: 10
",1141,9.02332937920126,"real_conditional"
"67",1,"IV: 
contacten_soort_afgelopenjaar_anders: 15
",1141,9.02332937920126,"real_conditional"
"68",1,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",1477,11.6805061289047,"real_conditional"
"69",1,"IV: 
contacten_soort_afgelopenjaar_anders: 20
",1140,9.01542111506524,"real_conditional"
"70",1,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",1196,9.45828390668248,"real_conditional"
"71",1,"IV: 
contacten_soort_afgelopenjaar_anders: 30
",1140,9.01542111506524,"real_conditional"
"72",1,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",1141,9.02332937920126,"real_conditional"
"73",1,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",1141,9.02332937920126,"real_conditional"
"74",2,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",1349,10.6682483194939,"real_conditional"
"75",2,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",1346,10.6445235270858,"real_conditional"
"76",2,"IV: 
contacten_soort_afgelopenjaar_anders: 10
",1232,9.74298141557928,"real_conditional"
"77",2,"IV: 
contacten_soort_afgelopenjaar_anders: 15
",1232,9.74298141557928,"real_conditional"
"78",2,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",1305,10.3202846975089,"real_conditional"
"79",2,"IV: 
contacten_soort_afgelopenjaar_anders: 20
",1233,9.7508896797153,"real_conditional"
"80",2,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",1252,9.90114669829972,"real_conditional"
"81",2,"IV: 
contacten_soort_afgelopenjaar_anders: 30
",1232,9.74298141557928,"real_conditional"
"82",2,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",1232,9.74298141557928,"real_conditional"
"83",2,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",1232,9.74298141557928,"real_conditional"
"84",3,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",1280,10.1225780941083,"real_conditional"
"85",3,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",1278,10.1067615658363,"real_conditional"
"86",3,"IV: 
contacten_soort_afgelopenjaar_anders: 10
",1258,9.94859628311586,"real_conditional"
"87",3,"IV: 
contacten_soort_afgelopenjaar_anders: 15
",1258,9.94859628311586,"real_conditional"
"88",3,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",1291,10.2095689996046,"real_conditional"
"89",3,"IV: 
contacten_soort_afgelopenjaar_anders: 20
",1258,9.94859628311586,"real_conditional"
"90",3,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",1247,9.86160537761961,"real_conditional"
"91",3,"IV: 
contacten_soort_afgelopenjaar_anders: 30
",1259,9.95650454725188,"real_conditional"
"92",3,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",1258,9.94859628311586,"real_conditional"
"93",3,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",1258,9.94859628311586,"real_conditional"
"94",4,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",1323,10.4626334519573,"real_conditional"
"95",4,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",1322,10.4547251878213,"real_conditional"
"96",4,"IV: 
contacten_soort_afgelopenjaar_anders: 10
",1244,9.83788058521155,"real_conditional"
"97",4,"IV: 
contacten_soort_afgelopenjaar_anders: 15
",1244,9.83788058521155,"real_conditional"
"98",4,"IV: 
contacten_soort_afgelopenjaar_anders: 2
",1277,10.0988533017003,"real_conditional"
"99",4,"IV: 
contacten_soort_afgelopenjaar_anders: 20
",1244,9.83788058521155,"real_conditional"
"100",4,"IV: 
contacten_soort_afgelopenjaar_anders: 3
",1259,9.95650454725188,"real_conditional"
"101",4,"IV: 
contacten_soort_afgelopenjaar_anders: 30
",1244,9.83788058521155,"real_conditional"
"102",4,"IV: 
contacten_soort_afgelopenjaar_anders: 4
",1244,9.83788058521155,"real_conditional"
"103",4,"IV: 
contacten_soort_afgelopenjaar_anders: 5
",1244,9.83788058521155,"real_conditional"
"104",5,"IV: 
contacten_soort_afgelopenjaar_anders: 0
",1276,10.0909450375643,"real_conditional"
"105",5,"IV: 
contacten_soort_afgelopenjaar_anders: 1
",1272,10.0593119810202,"real_conditional"
"106",5,"IV: 
contacten_soort_afgelopenjaar_anders: 10
",1264,9.99604586793199,"real_conditional"
"107",5,"IV: 
contacten_soort_afgelopenjaar_anders: 15
",1264,9.99604586793199,"real_conditional"
