"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 0
",642,10.8776685869197,"real"
"2",1,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 1
",265,9.9699021820918,"real"
"3",1,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 2
",163,9.13165266106443,"real"
"4",1,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 3
",97,9.34489402697495,"real"
"5",1,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 4
",41,7.00854700854701,"real"
"6",1,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 5
",21,7.11864406779661,"real"
"7",2,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 0
",584,9.89495086411386,"real"
"8",2,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 1
",280,10.5342362678706,"real"
"9",2,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 2
",186,10.4201680672269,"real"
"10",2,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 3
",99,9.53757225433526,"real"
"11",2,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 4
",68,11.6239316239316,"real"
"12",2,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 5
",12,4.06779661016949,"real"
"13",3,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 0
",606,10.2677058624195,"real"
"14",3,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 1
",257,9.66892400300978,"real"
"15",3,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 2
",205,11.484593837535,"real"
"16",3,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 3
",86,8.28516377649326,"real"
"17",3,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 4
",44,7.52136752136752,"real"
"18",3,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 5
",31,10.5084745762712,"real"
"19",4,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 0
",595,10.0813283632667,"real"
"20",4,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 1
",268,10.0827689992476,"real"
"21",4,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 2
",187,10.4761904761905,"real"
"22",4,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 3
",106,10.2119460500963,"real"
"23",4,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 4
",62,10.5982905982906,"real"
"24",4,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 5
",11,3.72881355932203,"real"
"25",5,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 0
",628,10.6404608607252,"real"
"26",5,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 1
",263,9.89465763732129,"real"
"27",5,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 2
",177,9.91596638655462,"real"
"28",5,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 3
",92,8.86319845857418,"real"
"29",5,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 4
",48,8.2051282051282,"real"
"30",5,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 5
",20,6.77966101694915,"real"
"31",6,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 0
",602,10.1999322263639,"real"
"32",6,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 1
",288,10.8352144469526,"real"
"33",6,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 10
",1,4.76190476190476,"real"
"34",6,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 2
",167,9.35574229691877,"real"
"35",6,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 3
",102,9.82658959537572,"real"
"36",6,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 4
",45,7.69230769230769,"real"
"37",6,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 5
",23,7.79661016949153,"real"
"38",7,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 0
",563,9.53913927482209,"real"
"39",7,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 1
",295,11.0985703536494,"real"
"40",7,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 10
",5,23.8095238095238,"real"
"41",7,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 2
",182,10.1960784313725,"real"
"42",7,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 3
",100,9.63391136801541,"real"
"43",7,"IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 4
",54,9.23076923076923,"real"
