"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 0
","Ja",5902,0.476,0.146,0.0679430701457133,0.253981701118265,-3.20569298542867,15.3981701118265,"real"
"2","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 1
","Ja",2658,0.48,0.146,0.0756207674943567,0.250940556809631,-2.43792325056433,15.0940556809631,"real"
"3","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 10
","Ja",21,0.728,0.118,0.666666666666667,0.714285714285714,56.6666666666667,61.4285714285714,"real"
"4","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 2
","Ja",1785,0.482,0.149,0.084593837535014,0.254901960784314,-1.5406162464986,15.4901960784314,"real"
"5","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 3
","Ja",1038,0.502,0.159,0.13102119460501,0.320809248554913,3.10211946050096,22.0809248554913,"real"
"6","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 4
","Ja",585,0.521,0.17,0.201709401709402,0.365811965811966,10.1709401709402,26.5811965811966,"real"
"7","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 5
","Ja",295,0.563,0.174,0.28135593220339,0.471186440677966,18.135593220339,37.1186440677966,"real"
"8","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 0
","Ja",12645,0.489,0.153,0.100276789244761,0.282483194938711,0.0276789244760767,18.2483194938711,"real_conditional"
"9","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 1
","Ja",12645,0.489,0.153,0.100276789244761,0.28208778173191,0.0276789244760767,18.208778173191,"real_conditional"
"10","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 10
","Ja",12645,0.487,0.153,0.0979833926453143,0.277500988533017,-0.201660735468566,17.7500988533017,"real_conditional"
"11","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 15
","Ja",12645,0.487,0.153,0.0979833926453143,0.277500988533017,-0.201660735468566,17.7500988533017,"real_conditional"
"12","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 2
","Ja",12645,0.489,0.153,0.10003954132068,0.281613285883749,0.00395413206801115,18.1613285883749,"real_conditional"
"13","IV: 
contacten_soort_afgelopenjaar_document__inkomend_: 20
","Ja",12645,0.487,0.153,0.0979833926453143,0.277500988533017,-0.201660735468566,17.7500988533017,"real_conditional"
