"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 0
",1026,11.9761876969768,"real"
"2",1,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 1
",135,7.08661417322835,"real"
"3",1,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 2
",37,4.13870246085011,"real"
"4",1,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 3
",24,4.93827160493827,"real"
"5",1,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 4
",8,2.96296296296296,"real"
"6",1,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 5
",2,1.34228187919463,"real"
"7",2,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 0
",939,10.9606630092214,"real"
"8",2,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 1
",193,10.1312335958005,"real"
"9",2,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 10
",1,2.94117647058824,"real"
"10",2,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 2
",50,5.59284116331096,"real"
"11",2,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 3
",27,5.55555555555556,"real"
"12",2,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 4
",18,6.66666666666667,"real"
"13",2,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 5
",4,2.68456375838926,"real"
"14",3,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 0
",946,11.0423718921443,"real"
"15",3,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 1
",178,9.34383202099738,"real"
"16",3,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 2
",55,6.15212527964206,"real"
"17",3,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 3
",33,6.79012345679012,"real"
"18",3,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 4
",13,4.81481481481481,"real"
"19",3,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 5
",7,4.69798657718121,"real"
"20",4,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 0
",884,10.3186646433991,"real"
"21",4,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 1
",188,9.86876640419947,"real"
"22",4,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 15
",1,14.2857142857143,"real"
"23",4,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 2
",83,9.2841163310962,"real"
"24",4,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 3
",46,9.46502057613169,"real"
"25",4,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 4
",20,7.40740740740741,"real"
"26",4,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 5
",9,6.04026845637584,"real"
"27",5,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 0
",902,10.5287731994864,"real"
"28",5,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 1
",182,9.55380577427822,"real"
"29",5,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 10
",1,2.94117647058824,"real"
"30",5,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 2
",70,7.82997762863535,"real"
"31",5,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 3
",49,10.082304526749,"real"
"32",5,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 4
",18,6.66666666666667,"real"
"33",5,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 5
",9,6.04026845637584,"real"
"34",6,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 0
",845,9.86342943854325,"real"
"35",6,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 1
",208,10.9186351706037,"real"
"36",6,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 10
",4,11.7647058823529,"real"
"37",6,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 2
",95,10.6263982102908,"real"
"38",6,"IV: 
contacten_soort_afgelopenjaar_e_mail__uitgaand_: 3
",43,8.8477366255144,"real"
