"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 0
",895,11.6430336932483,"real"
"2",1,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 1
",231,9.55730244104261,"real"
"3",1,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 10
",1,6.66666666666667,"real"
"4",1,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 2
",70,5.90717299578059,"real"
"5",1,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 3
",28,4.62809917355372,"real"
"6",1,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 4
",16,5.01567398119122,"real"
"7",1,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 5
",1,0.546448087431694,"real"
"8",2,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 0
",834,10.8494861454404,"real"
"9",2,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 1
",242,10.0124120810923,"real"
"10",2,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 2
",101,8.52320675105485,"real"
"11",2,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 3
",42,6.94214876033058,"real"
"12",2,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 4
",14,4.38871473354232,"real"
"13",2,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 5
",9,4.91803278688525,"real"
"14",3,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 0
",818,10.6413425263432,"real"
"15",3,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 1
",237,9.80554406288788,"real"
"16",3,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 2
",108,9.11392405063291,"real"
"17",3,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 3
",49,8.09917355371901,"real"
"18",3,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 4
",22,6.89655172413793,"real"
"19",3,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 5
",8,4.37158469945355,"real"
"20",4,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 0
",779,10.1339924547938,"real"
"21",4,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 1
",237,9.80554406288788,"real"
"22",4,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 2
",108,9.11392405063291,"real"
"23",4,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 3
",73,12.0661157024793,"real"
"24",4,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 4
",33,10.3448275862069,"real"
"25",4,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 5
",11,6.01092896174863,"real"
"26",5,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 0
",790,10.2770911929231,"real"
"27",5,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 1
",250,10.3434009102193,"real"
"28",5,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 10
",1,6.66666666666667,"real"
"29",5,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 2
",113,9.53586497890295,"real"
"30",5,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 3
",42,6.94214876033058,"real"
"31",5,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 4
",31,9.71786833855799,"real"
"32",5,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 5
",14,7.65027322404372,"real"
"33",6,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 0
",782,10.1730193833745,"real"
"34",6,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 1
",209,8.64708316094332,"real"
"35",6,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 10
",1,6.66666666666667,"real"
"36",6,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 2
",141,11.8987341772152,"real"
"37",6,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 3
",64,10.5785123966942,"real"
"38",6,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 4
",31,9.71786833855799,"real"
"39",6,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 5
",13,7.10382513661202,"real"
"40",7,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 0
",743,9.66566931182516,"real"
"41",7,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 1
",245,10.1365328920149,"real"
"42",7,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 10
",2,13.3333333333333,"real"
"43",7,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 15
",1,50,"real"
"44",7,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 2
",123,10.379746835443,"real"
"45",7,"IV: 
contacten_soort_afgelopenjaar_telefoontje__uitgaand_: 3
",66,10.9090909090909,"real"
