"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_soort_document__inkomend_: 0
",49,8.8929219600726,"real"
"2",1,"IV: 
contacten_soort_document__inkomend_: 1
",84,10.7416879795396,"real"
"3",1,"IV: 
contacten_soort_document__inkomend_: 10
",73,11.0606060606061,"real"
"4",1,"IV: 
contacten_soort_document__inkomend_: 15
",52,18.3098591549296,"real"
"5",1,"IV: 
contacten_soort_document__inkomend_: 2
",94,10.239651416122,"real"
"6",1,"IV: 
contacten_soort_document__inkomend_: 20
",11,14.2857142857143,"real"
"7",1,"IV: 
contacten_soort_document__inkomend_: 3
",95,9.42460317460317,"real"
"8",1,"IV: 
contacten_soort_document__inkomend_: 30
",1,8.33333333333333,"real"
"9",1,"IV: 
contacten_soort_document__inkomend_: 4
",89,8.64077669902913,"real"
"10",1,"IV: 
contacten_soort_document__inkomend_: 5
",88,8.54368932038835,"real"
"11",2,"IV: 
contacten_soort_document__inkomend_: 0
",54,9.80036297640653,"real"
"12",2,"IV: 
contacten_soort_document__inkomend_: 1
",72,9.20716112531969,"real"
"13",2,"IV: 
contacten_soort_document__inkomend_: 10
",68,10.3030303030303,"real"
"14",2,"IV: 
contacten_soort_document__inkomend_: 15
",24,8.45070422535211,"real"
"15",2,"IV: 
contacten_soort_document__inkomend_: 2
",108,11.7647058823529,"real"
"16",2,"IV: 
contacten_soort_document__inkomend_: 20
",5,6.49350649350649,"real"
"17",2,"IV: 
contacten_soort_document__inkomend_: 3
",109,10.8134920634921,"real"
"18",2,"IV: 
contacten_soort_document__inkomend_: 4
",104,10.0970873786408,"real"
"19",2,"IV: 
contacten_soort_document__inkomend_: 5
",92,8.93203883495146,"real"
"20",3,"IV: 
contacten_soort_document__inkomend_: 0
",67,12.1597096188748,"real"
"21",3,"IV: 
contacten_soort_document__inkomend_: 1
",100,12.7877237851662,"real"
"22",3,"IV: 
contacten_soort_document__inkomend_: 10
",59,8.93939393939394,"real"
"23",3,"IV: 
contacten_soort_document__inkomend_: 15
",25,8.80281690140845,"real"
"24",3,"IV: 
contacten_soort_document__inkomend_: 2
",97,10.5664488017429,"real"
"25",3,"IV: 
contacten_soort_document__inkomend_: 20
",4,5.19480519480519,"real"
"26",3,"IV: 
contacten_soort_document__inkomend_: 3
",98,9.72222222222222,"real"
"27",3,"IV: 
contacten_soort_document__inkomend_: 30
",1,8.33333333333333,"real"
"28",3,"IV: 
contacten_soort_document__inkomend_: 4
",85,8.25242718446602,"real"
"29",3,"IV: 
contacten_soort_document__inkomend_: 5
",99,9.61165048543689,"real"
"30",4,"IV: 
contacten_soort_document__inkomend_: 0
",67,12.1597096188748,"real"
"31",4,"IV: 
contacten_soort_document__inkomend_: 1
",73,9.33503836317136,"real"
"32",4,"IV: 
contacten_soort_document__inkomend_: 10
",60,9.09090909090909,"real"
"33",4,"IV: 
contacten_soort_document__inkomend_: 15
",24,8.45070422535211,"real"
"34",4,"IV: 
contacten_soort_document__inkomend_: 2
",80,8.71459694989107,"real"
"35",4,"IV: 
contacten_soort_document__inkomend_: 20
",7,9.09090909090909,"real"
"36",4,"IV: 
contacten_soort_document__inkomend_: 3
",102,10.1190476190476,"real"
"37",4,"IV: 
contacten_soort_document__inkomend_: 30
",2,16.6666666666667,"real"
"38",4,"IV: 
contacten_soort_document__inkomend_: 4
",102,9.90291262135922,"real"
"39",4,"IV: 
contacten_soort_document__inkomend_: 5
",118,11.4563106796117,"real"
"40",5,"IV: 
contacten_soort_document__inkomend_: 0
",67,12.1597096188748,"real"
"41",5,"IV: 
contacten_soort_document__inkomend_: 1
",66,8.43989769820972,"real"
"42",5,"IV: 
contacten_soort_document__inkomend_: 10
",64,9.6969696969697,"real"
"43",5,"IV: 
contacten_soort_document__inkomend_: 15
",26,9.15492957746479,"real"
"44",5,"IV: 
contacten_soort_document__inkomend_: 2
",105,11.437908496732,"real"
"45",5,"IV: 
contacten_soort_document__inkomend_: 20
",9,11.6883116883117,"real"
"46",5,"IV: 
contacten_soort_document__inkomend_: 3
",106,10.515873015873,"real"
"47",5,"IV: 
contacten_soort_document__inkomend_: 30
",2,16.6666666666667,"real"
"48",5,"IV: 
contacten_soort_document__inkomend_: 4
",101,9.80582524271845,"real"
"49",5,"IV: 
contacten_soort_document__inkomend_: 5
",89,8.64077669902913,"real"
"50",6,"IV: 
contacten_soort_document__inkomend_: 0
",45,8.16696914700544,"real"
"51",6,"IV: 
contacten_soort_document__inkomend_: 1
",83,10.613810741688,"real"
"52",6,"IV: 
contacten_soort_document__inkomend_: 10
",56,8.48484848484848,"real"
"53",6,"IV: 
contacten_soort_document__inkomend_: 15
",18,6.33802816901408,"real"
"54",6,"IV: 
contacten_soort_document__inkomend_: 2
",100,10.8932461873638,"real"
"55",6,"IV: 
contacten_soort_document__inkomend_: 20
",12,15.5844155844156,"real"
"56",6,"IV: 
contacten_soort_document__inkomend_: 3
",108,10.7142857142857,"real"
"57",6,"IV: 
contacten_soort_document__inkomend_: 30
",1,8.33333333333333,"real"
"58",6,"IV: 
contacten_soort_document__inkomend_: 4
",103,10,"real"
"59",6,"IV: 
contacten_soort_document__inkomend_: 5
",109,10.5825242718447,"real"
"60",7,"IV: 
contacten_soort_document__inkomend_: 0
",50,9.07441016333938,"real"
"61",7,"IV: 
contacten_soort_document__inkomend_: 1
",76,9.71867007672634,"real"
"62",7,"IV: 
contacten_soort_document__inkomend_: 10
",78,11.8181818181818,"real"
"63",7,"IV: 
contacten_soort_document__inkomend_: 15
",37,13.0281690140845,"real"
"64",7,"IV: 
contacten_soort_document__inkomend_: 2
",83,9.04139433551198,"real"
"65",7,"IV: 
contacten_soort_document__inkomend_: 20
",5,6.49350649350649,"real"
"66",7,"IV: 
contacten_soort_document__inkomend_: 3
",93,9.22619047619048,"real"
"67",7,"IV: 
contacten_soort_document__inkomend_: 30
",1,8.33333333333333,"real"
"68",7,"IV: 
contacten_soort_document__inkomend_: 4
",96,9.32038834951456,"real"
"69",7,"IV: 
contacten_soort_document__inkomend_: 5
",116,11.2621359223301,"real"
"70",8,"IV: 
contacten_soort_document__inkomend_: 0
",59,10.7078039927405,"real"
"71",8,"IV: 
contacten_soort_document__inkomend_: 1
",81,10.3580562659847,"real"
"72",8,"IV: 
contacten_soort_document__inkomend_: 10
",67,10.1515151515152,"real"
"73",8,"IV: 
contacten_soort_document__inkomend_: 15
",40,14.0845070422535,"real"
"74",8,"IV: 
contacten_soort_document__inkomend_: 2
",83,9.04139433551198,"real"
"75",8,"IV: 
contacten_soort_document__inkomend_: 20
",5,6.49350649350649,"real"
"76",8,"IV: 
contacten_soort_document__inkomend_: 3
",90,8.92857142857143,"real"
"77",8,"IV: 
contacten_soort_document__inkomend_: 30
",3,25,"real"
