"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
contacten_soort_document__inkomend_: 0
","Ja",551,0.481,0.143,0.0725952813067151,0.252268602540835,-2.74047186932849,15.2268602540835,"real"
"2","IV: 
contacten_soort_document__inkomend_: 1
","Ja",782,0.485,0.147,0.0843989769820972,0.281329923273657,-1.56010230179028,18.1329923273657,"real"
"3","IV: 
contacten_soort_document__inkomend_: 10
","Ja",660,0.493,0.156,0.116666666666667,0.293939393939394,1.66666666666667,19.3939393939394,"real"
"4","IV: 
contacten_soort_document__inkomend_: 15
","Ja",284,0.468,0.159,0.0633802816901408,0.264084507042254,-3.66197183098592,16.4084507042253,"real"
"5","IV: 
contacten_soort_document__inkomend_: 2
","Ja",918,0.481,0.148,0.093681917211329,0.262527233115468,-0.631808278867103,16.2527233115468,"real"
"6","IV: 
contacten_soort_document__inkomend_: 20
","Ja",77,0.495,0.166,0.116883116883117,0.298701298701299,1.68831168831169,19.8701298701299,"real"
"7","IV: 
contacten_soort_document__inkomend_: 3
","Ja",1008,0.489,0.148,0.0823412698412698,0.278769841269841,-1.76587301587302,17.8769841269841,"real"
"8","IV: 
contacten_soort_document__inkomend_: 30
","Ja",12,0.503,0.153,0.0833333333333333,0.333333333333333,-1.66666666666667,23.3333333333333,"real"
"9","IV: 
contacten_soort_document__inkomend_: 4
","Ja",1030,0.504,0.154,0.129126213592233,0.32621359223301,2.9126213592233,22.621359223301,"real"
"10","IV: 
contacten_soort_document__inkomend_: 5
","Ja",1030,0.501,0.152,0.118446601941748,0.292233009708738,1.84466019417476,19.2233009708738,"real"
"11","IV: 
contacten_soort_document__inkomend_: 0
","Ja",12645,0.494,0.152,0.10344009489917,0.289996045867932,0.344009489916962,18.9996045867932,"real_conditional"
"12","IV: 
contacten_soort_document__inkomend_: 1
","Ja",12645,0.494,0.152,0.10344009489917,0.289996045867932,0.344009489916962,18.9996045867932,"real_conditional"
"13","IV: 
contacten_soort_document__inkomend_: 10
","Ja",12645,0.488,0.153,0.0986951364175564,0.279319889284302,-0.130486358244365,17.9319889284302,"real_conditional"
"14","IV: 
contacten_soort_document__inkomend_: 15
","Ja",12645,0.479,0.155,0.0909450375642546,0.262079873467774,-0.905496243574536,16.2079873467774,"real_conditional"
"15","IV: 
contacten_soort_document__inkomend_: 2
","Ja",12645,0.494,0.152,0.103123764333729,0.28936338473705,0.312376433372874,18.936338473705,"real_conditional"
"16","IV: 
contacten_soort_document__inkomend_: 20
","Ja",12645,0.478,0.155,0.0904705417160933,0.261763542902333,-0.952945828390668,16.1763542902333,"real_conditional"
"17","IV: 
contacten_soort_document__inkomend_: 3
","Ja",12645,0.494,0.152,0.103044681692369,0.290075128509292,0.304468169236852,19.0075128509292,"real_conditional"
"18","IV: 
contacten_soort_document__inkomend_: 30
","Ja",12645,0.476,0.155,0.0875444839857651,0.255041518386714,-1.24555160142349,15.5041518386714,"real_conditional"
"19","IV: 
contacten_soort_document__inkomend_: 4
","Ja",12645,0.494,0.152,0.103044681692369,0.290075128509292,0.304468169236852,19.0075128509292,"real_conditional"
"20","IV: 
contacten_soort_document__inkomend_: 5
","Ja",12645,0.493,0.152,0.102649268485567,0.28928430209569,0.264926848556742,18.928430209569,"real_conditional"
"21","IV: 
contacten_soort_document__inkomend_: 0
","Ja",281,0.62,0.087,0.120996441281139,0.693950177935943,2.09964412811388,59.3950177935943,"synth"
"22","IV: 
contacten_soort_document__inkomend_: 1
","Ja",717,0.616,0.084,0.125523012552301,0.651324965132496,2.55230125523012,55.1324965132496,"synth"
"23","IV: 
contacten_soort_document__inkomend_: 10
","Ja",707,0.614,0.087,0.114568599717115,0.653465346534653,1.45685997171146,55.3465346534654,"synth"
"24","IV: 
contacten_soort_document__inkomend_: 15
","Ja",393,0.605,0.083,0.0712468193384224,0.608142493638677,-2.87531806615776,50.8142493638677,"synth"
"25","IV: 
contacten_soort_document__inkomend_: 2
","Ja",850,0.614,0.086,0.110588235294118,0.631764705882353,1.05882352941176,53.1764705882353,"synth"
"26","IV: 
contacten_soort_document__inkomend_: 20
","Ja",138,0.599,0.084,0.0869565217391304,0.572463768115942,-1.30434782608696,47.2463768115942,"synth"
"27","IV: 
contacten_soort_document__inkomend_: 3
","Ja",834,0.615,0.089,0.119904076738609,0.657074340527578,1.99040767386091,55.7074340527578,"synth"
"28","IV: 
contacten_soort_document__inkomend_: 30
","Ja",9,0.611,0.086,0.111111111111111,0.666666666666667,1.11111111111111,56.6666666666667,"synth"
"29","IV: 
contacten_soort_document__inkomend_: 4
","Ja",886,0.615,0.085,0.117381489841986,0.658013544018059,1.73814898419865,55.8013544018059,"synth"
"30","IV: 
contacten_soort_document__inkomend_: 5
","Ja",916,0.612,0.087,0.0993449781659389,0.653930131004367,-0.0655021834061145,55.3930131004367,"synth"
"31","IV: 
contacten_soort_document__inkomend_: 0
","Ja",12508,0.614,0.084,0.103693636072913,0.648464982411257,0.369363607291333,54.8464982411257,"synth_conditional"
"32","IV: 
contacten_soort_document__inkomend_: 1
","Ja",12508,0.614,0.084,0.103693636072913,0.648464982411257,0.369363607291333,54.8464982411257,"synth_conditional"
"33","IV: 
contacten_soort_document__inkomend_: 10
","Ja",12508,0.612,0.085,0.0997761432683083,0.640150303805564,-0.0223856731691729,54.0150303805565,"synth_conditional"
"34","IV: 
contacten_soort_document__inkomend_: 15
","Ja",12508,0.606,0.086,0.0888231531819635,0.615606012152223,-1.11768468180365,51.5606012152223,"synth_conditional"
"35","IV: 
contacten_soort_document__inkomend_: 2
","Ja",12508,0.614,0.084,0.103613687240166,0.648065238247522,0.361368724016629,54.8065238247522,"synth_conditional"
"36","IV: 
contacten_soort_document__inkomend_: 20
","Ja",12508,0.606,0.086,0.0886632555164695,0.614566677326511,-1.13367444835305,51.4566677326511,"synth_conditional"
"37","IV: 
contacten_soort_document__inkomend_: 3
","Ja",12508,0.615,0.085,0.106172049888072,0.654461144867285,0.617204988807163,55.4461144867285,"synth_conditional"
"38","IV: 
contacten_soort_document__inkomend_: 30
","Ja",12508,0.605,0.086,0.0866645346977934,0.610569235689159,-1.33354653022066,51.0569235689159,"synth_conditional"
"39","IV: 
contacten_soort_document__inkomend_: 4
","Ja",12508,0.615,0.085,0.106172049888072,0.654461144867285,0.617204988807163,55.4461144867285,"synth_conditional"
"40","IV: 
contacten_soort_document__inkomend_: 5
","Ja",12508,0.615,0.085,0.105052766229613,0.651662935721138,0.505276622961304,55.1662935721138,"synth_conditional"
