"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_soort_document__uitgaand_: 1
",5,5.88235294117647,"real"
"2",1,"IV: 
contacten_soort_document__uitgaand_: 10
",58,13.2420091324201,"real"
"3",1,"IV: 
contacten_soort_document__uitgaand_: 15
",52,11.353711790393,"real"
"4",1,"IV: 
contacten_soort_document__uitgaand_: 2
",11,9.56521739130435,"real"
"5",1,"IV: 
contacten_soort_document__uitgaand_: 20
",42,11.6666666666667,"real"
"6",1,"IV: 
contacten_soort_document__uitgaand_: 3
",17,8.71794871794872,"real"
"7",1,"IV: 
contacten_soort_document__uitgaand_: 30
",8,4.08163265306122,"real"
"8",1,"IV: 
contacten_soort_document__uitgaand_: 4
",22,9.60698689956332,"real"
"9",1,"IV: 
contacten_soort_document__uitgaand_: 5
",22,7.74647887323944,"real"
"10",2,"IV: 
contacten_soort_document__uitgaand_: 1
",6,7.05882352941176,"real"
"11",2,"IV: 
contacten_soort_document__uitgaand_: 10
",56,12.7853881278539,"real"
"12",2,"IV: 
contacten_soort_document__uitgaand_: 15
",52,11.353711790393,"real"
"13",2,"IV: 
contacten_soort_document__uitgaand_: 2
",12,10.4347826086957,"real"
"14",2,"IV: 
contacten_soort_document__uitgaand_: 20
",41,11.3888888888889,"real"
"15",2,"IV: 
contacten_soort_document__uitgaand_: 3
",12,6.15384615384615,"real"
"16",2,"IV: 
contacten_soort_document__uitgaand_: 30
",15,7.6530612244898,"real"
"17",2,"IV: 
contacten_soort_document__uitgaand_: 4
",11,4.80349344978166,"real"
"18",2,"IV: 
contacten_soort_document__uitgaand_: 5
",32,11.2676056338028,"real"
"19",3,"IV: 
contacten_soort_document__uitgaand_: 0
",1,12.5,"real"
"20",3,"IV: 
contacten_soort_document__uitgaand_: 1
",3,3.52941176470588,"real"
"21",3,"IV: 
contacten_soort_document__uitgaand_: 10
",48,10.958904109589,"real"
"22",3,"IV: 
contacten_soort_document__uitgaand_: 15
",57,12.4454148471616,"real"
"23",3,"IV: 
contacten_soort_document__uitgaand_: 2
",7,6.08695652173913,"real"
"24",3,"IV: 
contacten_soort_document__uitgaand_: 20
",28,7.77777777777778,"real"
"25",3,"IV: 
contacten_soort_document__uitgaand_: 3
",19,9.74358974358974,"real"
"26",3,"IV: 
contacten_soort_document__uitgaand_: 30
",21,10.7142857142857,"real"
"27",3,"IV: 
contacten_soort_document__uitgaand_: 4
",24,10.4803493449782,"real"
"28",3,"IV: 
contacten_soort_document__uitgaand_: 5
",29,10.2112676056338,"real"
"29",4,"IV: 
contacten_soort_document__uitgaand_: 1
",6,7.05882352941176,"real"
"30",4,"IV: 
contacten_soort_document__uitgaand_: 10
",37,8.44748858447489,"real"
"31",4,"IV: 
contacten_soort_document__uitgaand_: 15
",40,8.73362445414847,"real"
"32",4,"IV: 
contacten_soort_document__uitgaand_: 2
",11,9.56521739130435,"real"
