"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
contacten_soort_e_mail__inkomend_: 0
","Ja",2521,0.461,0.153,0.0710035700119,0.232844109480365,-2.89964299881,13.2844109480365,"real"
"2","IV: 
contacten_soort_e_mail__inkomend_: 1
","Ja",2158,0.47,0.151,0.0685820203892493,0.24050046339203,-3.14179796107507,14.050046339203,"real"
"3","IV: 
contacten_soort_e_mail__inkomend_: 10
","Ja",234,0.531,0.145,0.14957264957265,0.354700854700855,4.95726495726496,25.4700854700855,"real"
"4","IV: 
contacten_soort_e_mail__inkomend_: 15
","Ja",90,0.563,0.165,0.255555555555556,0.5,15.5555555555556,40,"real"
"5","IV: 
contacten_soort_e_mail__inkomend_: 2
","Ja",1731,0.477,0.154,0.0958983246678221,0.258232235701906,-0.410167533217794,15.8232235701906,"real"
"6","IV: 
contacten_soort_e_mail__inkomend_: 20
","Ja",47,0.591,0.138,0.25531914893617,0.468085106382979,15.531914893617,36.8085106382979,"real"
"7","IV: 
contacten_soort_e_mail__inkomend_: 3
","Ja",1251,0.481,0.157,0.0999200639488409,0.268585131894484,-0.00799360511590796,16.8585131894484,"real"
"8","IV: 
contacten_soort_e_mail__inkomend_: 30
","Ja",7,0.695,0.111,0.714285714285714,0.857142857142857,61.4285714285714,75.7142857142857,"real"
"9","IV: 
contacten_soort_e_mail__inkomend_: 4
","Ja",1004,0.484,0.146,0.0806772908366534,0.25,-1.93227091633466,15,"real"
"10","IV: 
contacten_soort_e_mail__inkomend_: 5
","Ja",764,0.496,0.15,0.107329842931937,0.281413612565445,0.732984293193717,18.1413612565445,"real"
"11","IV: 
contacten_soort_e_mail__inkomend_: 0
","Ja",12645,0.488,0.153,0.0986951364175564,0.280031633056544,-0.130486358244365,18.0031633056544,"real_conditional"
"12","IV: 
contacten_soort_e_mail__inkomend_: 1
","Ja",12645,0.488,0.153,0.0988533017002768,0.280189798339265,-0.114669829972322,18.0189798339265,"real_conditional"
"13","IV: 
contacten_soort_e_mail__inkomend_: 10
","Ja",12645,0.491,0.153,0.101700276789245,0.284302095689996,0.170027678924475,18.4302095689996,"real_conditional"
"14","IV: 
contacten_soort_e_mail__inkomend_: 15
","Ja",12645,0.491,0.153,0.101542111506524,0.285172004744958,0.154211150652432,18.5172004744958,"real_conditional"
"15","IV: 
contacten_soort_e_mail__inkomend_: 2
","Ja",12645,0.489,0.153,0.0993277975484381,0.280743376828786,-0.0672202451561896,18.0743376828786,"real_conditional"
"16","IV: 
contacten_soort_e_mail__inkomend_: 20
","Ja",12645,0.491,0.153,0.101542111506524,0.285172004744958,0.154211150652432,18.5172004744958,"real_conditional"
"17","IV: 
contacten_soort_e_mail__inkomend_: 3
","Ja",12645,0.489,0.153,0.099644128113879,0.281376037959668,-0.0355871886121004,18.1376037959668,"real_conditional"
"18","IV: 
contacten_soort_e_mail__inkomend_: 30
","Ja",12645,0.49,0.152,0.0992487149070779,0.281850533807829,-0.0751285092922119,18.1850533807829,"real_conditional"
"19","IV: 
contacten_soort_e_mail__inkomend_: 4
","Ja",12645,0.489,0.153,0.099644128113879,0.281376037959668,-0.0355871886121004,18.1376037959668,"real_conditional"
"20","IV: 
contacten_soort_e_mail__inkomend_: 5
","Ja",12645,0.49,0.153,0.101146698299723,0.282799525504152,0.114669829972321,18.2799525504152,"real_conditional"
"21","IV: 
contacten_soort_e_mail__inkomend_: 0
","Ja",366,0.588,0.093,0.0819672131147541,0.530054644808743,-1.80327868852459,43.0054644808743,"synth"
"22","IV: 
contacten_soort_e_mail__inkomend_: 1
","Ja",1023,0.598,0.089,0.0742913000977517,0.56891495601173,-2.57086999022483,46.891495601173,"synth"
"23","IV: 
contacten_soort_e_mail__inkomend_: 10
","Ja",697,0.62,0.08,0.101865136298422,0.687230989956958,0.18651362984218,58.7230989956958,"synth"
"24","IV: 
contacten_soort_e_mail__inkomend_: 15
","Ja",215,0.633,0.076,0.158139534883721,0.725581395348837,5.81395348837209,62.5581395348837,"synth"
"25","IV: 
contacten_soort_e_mail__inkomend_: 2
","Ja",1084,0.599,0.09,0.0701107011070111,0.597785977859779,-2.98892988929889,49.7785977859779,"synth"
"26","IV: 
contacten_soort_e_mail__inkomend_: 20
","Ja",59,0.642,0.072,0.152542372881356,0.779661016949153,5.25423728813559,67.9661016949153,"synth"
"27","IV: 
contacten_soort_e_mail__inkomend_: 3
","Ja",1118,0.604,0.088,0.0831842576028623,0.616279069767442,-1.68157423971377,51.6279069767442,"synth"
"28","IV: 
contacten_soort_e_mail__inkomend_: 4
","Ja",1220,0.608,0.083,0.0778688524590164,0.618032786885246,-2.21311475409836,51.8032786885246,"synth"
"29","IV: 
contacten_soort_e_mail__inkomend_: 5
","Ja",1129,0.612,0.086,0.104517271922055,0.641275465013286,0.451727192205491,54.1275465013286,"synth"
"30","IV: 
contacten_soort_e_mail__inkomend_: 0
","Ja",12508,0.61,0.085,0.0948992644707387,0.634633834346018,-0.510073552926128,53.4633834346019,"synth_conditional"
"31","IV: 
contacten_soort_e_mail__inkomend_: 1
","Ja",12508,0.61,0.085,0.0948992644707387,0.634633834346018,-0.510073552926128,53.4633834346019,"synth_conditional"
"32","IV: 
contacten_soort_e_mail__inkomend_: 10
","Ja",12508,0.613,0.085,0.100975375759514,0.64486728493764,0.0975375759513911,54.486728493764,"synth_conditional"
"33","IV: 
contacten_soort_e_mail__inkomend_: 15
","Ja",12508,0.613,0.085,0.100895426926767,0.644947233770387,0.0895426926766862,54.4947233770387,"synth_conditional"
"34","IV: 
contacten_soort_e_mail__inkomend_: 2
","Ja",12508,0.611,0.085,0.0959385992964503,0.636872401662936,-0.406140070354974,53.6872401662936,"synth_conditional"
"35","IV: 
contacten_soort_e_mail__inkomend_: 20
","Ja",12508,0.613,0.085,0.100895426926767,0.644947233770387,0.0895426926766862,54.4947233770387,"synth_conditional"
"36","IV: 
contacten_soort_e_mail__inkomend_: 3
","Ja",12508,0.611,0.085,0.0962583946274384,0.637511992324912,-0.374160537256156,53.7511992324912,"synth_conditional"
"37","IV: 
contacten_soort_e_mail__inkomend_: 30
","Ja",12508,0.609,0.085,0.09162136232811,0.631675727534378,-0.837863767189,53.1675727534378,"synth_conditional"
"38","IV: 
contacten_soort_e_mail__inkomend_: 4
","Ja",12508,0.611,0.085,0.0962583946274384,0.637511992324912,-0.374160537256156,53.7511992324912,"synth_conditional"
"39","IV: 
contacten_soort_e_mail__inkomend_: 5
","Ja",12508,0.612,0.085,0.10081547809402,0.642628717620723,0.0815478094019828,54.2628717620723,"synth_conditional"
