"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_soort_rapportage_deelname: 0
",960,10.1223112610713,"real"
"2",1,"IV: 
contacten_soort_rapportage_deelname: 1
",128,9.07158043940468,"real"
"3",1,"IV: 
contacten_soort_rapportage_deelname: 2
",31,8.03108808290155,"real"
"4",1,"IV: 
contacten_soort_rapportage_deelname: 3
",55,9.54861111111111,"real"
"5",1,"IV: 
contacten_soort_rapportage_deelname: 4
",43,14.5762711864407,"real"
"6",1,"IV: 
contacten_soort_rapportage_deelname: 5
",18,11.0429447852761,"real"
"7",2,"IV: 
contacten_soort_rapportage_deelname: 0
",966,10.185575706453,"real"
"8",2,"IV: 
contacten_soort_rapportage_deelname: 1
",118,8.36286321757619,"real"
"9",2,"IV: 
contacten_soort_rapportage_deelname: 2
",26,6.73575129533679,"real"
"10",2,"IV: 
contacten_soort_rapportage_deelname: 3
",82,14.2361111111111,"real"
"11",2,"IV: 
contacten_soort_rapportage_deelname: 4
",32,10.8474576271186,"real"
"12",2,"IV: 
contacten_soort_rapportage_deelname: 5
",11,6.74846625766871,"real"
"13",3,"IV: 
contacten_soort_rapportage_deelname: 0
",963,10.1539434837621,"real"
"14",3,"IV: 
contacten_soort_rapportage_deelname: 1
",138,9.78029766123317,"real"
"15",3,"IV: 
contacten_soort_rapportage_deelname: 15
",1,11.1111111111111,"real"
"16",3,"IV: 
contacten_soort_rapportage_deelname: 2
",28,7.25388601036269,"real"
"17",3,"IV: 
contacten_soort_rapportage_deelname: 3
",69,11.9791666666667,"real"
"18",3,"IV: 
contacten_soort_rapportage_deelname: 4
",24,8.13559322033898,"real"
"19",3,"IV: 
contacten_soort_rapportage_deelname: 5
",12,7.36196319018405,"real"
"20",4,"IV: 
contacten_soort_rapportage_deelname: 0
",954,10.0590468156896,"real"
"21",4,"IV: 
contacten_soort_rapportage_deelname: 1
",141,9.99291282778172,"real"
"22",4,"IV: 
contacten_soort_rapportage_deelname: 10
",2,10,"real"
"23",4,"IV: 
contacten_soort_rapportage_deelname: 2
",30,7.7720207253886,"real"
"24",4,"IV: 
contacten_soort_rapportage_deelname: 3
",62,10.7638888888889,"real"
"25",4,"IV: 
contacten_soort_rapportage_deelname: 4
",34,11.5254237288136,"real"
"26",4,"IV: 
contacten_soort_rapportage_deelname: 5
",12,7.36196319018405,"real"
"27",5,"IV: 
contacten_soort_rapportage_deelname: 0
",964,10.1644875579924,"real"
"28",5,"IV: 
contacten_soort_rapportage_deelname: 1
",137,9.70942593905032,"real"
"29",5,"IV: 
contacten_soort_rapportage_deelname: 10
",3,15,"real"
"30",5,"IV: 
contacten_soort_rapportage_deelname: 15
",2,22.2222222222222,"real"
"31",5,"IV: 
contacten_soort_rapportage_deelname: 2
",46,11.9170984455959,"real"
"32",5,"IV: 
contacten_soort_rapportage_deelname: 3
",43,7.46527777777778,"real"
"33",5,"IV: 
contacten_soort_rapportage_deelname: 4
",24,8.13559322033898,"real"
"34",5,"IV: 
contacten_soort_rapportage_deelname: 5
",16,9.8159509202454,"real"
"35",6,"IV: 
contacten_soort_rapportage_deelname: 0
",960,10.1223112610713,"real"
"36",6,"IV: 
contacten_soort_rapportage_deelname: 1
",144,10.2055279943303,"real"
"37",6,"IV: 
contacten_soort_rapportage_deelname: 10
",1,5,"real"
"38",6,"IV: 
contacten_soort_rapportage_deelname: 2
",35,9.06735751295337,"real"
"39",6,"IV: 
contacten_soort_rapportage_deelname: 20
",1,33.3333333333333,"real"
"40",6,"IV: 
contacten_soort_rapportage_deelname: 3
",57,9.89583333333333,"real"
"41",6,"IV: 
contacten_soort_rapportage_deelname: 4
",21,7.11864406779661,"real"
"42",6,"IV: 
contacten_soort_rapportage_deelname: 5
",16,9.8159509202454,"real"
"43",7,"IV: 
contacten_soort_rapportage_deelname: 0
",942,9.93251792492619,"real"
"44",7,"IV: 
contacten_soort_rapportage_deelname: 1
",142,10.0637845499646,"real"
"45",7,"IV: 
contacten_soort_rapportage_deelname: 10
",1,5,"real"
"46",7,"IV: 
contacten_soort_rapportage_deelname: 15
",1,11.1111111111111,"real"
"47",7,"IV: 
contacten_soort_rapportage_deelname: 2
",40,10.3626943005181,"real"
"48",7,"IV: 
contacten_soort_rapportage_deelname: 3
",55,9.54861111111111,"real"
"49",7,"IV: 
contacten_soort_rapportage_deelname: 4
",29,9.83050847457627,"real"
"50",7,"IV: 
contacten_soort_rapportage_deelname: 5
",25,15.3374233128834,"real"
"51",8,"IV: 
contacten_soort_rapportage_deelname: 0
",950,10.0168705187685,"real"
"52",8,"IV: 
contacten_soort_rapportage_deelname: 1
",156,11.0559886605245,"real"
"53",8,"IV: 
contacten_soort_rapportage_deelname: 10
",3,15,"real"
"54",8,"IV: 
contacten_soort_rapportage_deelname: 15
",1,11.1111111111111,"real"
"55",8,"IV: 
contacten_soort_rapportage_deelname: 2
",40,10.3626943005181,"real"
"56",8,"IV: 
contacten_soort_rapportage_deelname: 20
",1,33.3333333333333,"real"
