"","decile","IV","n","perc","data_type"
"1",1,"IV: 
contacten_soort_rapportage_rib: 0
",913,9.76366164046626,"real"
"2",1,"IV: 
contacten_soort_rapportage_rib: 1
",120,13.4529147982063,"real"
"3",1,"IV: 
contacten_soort_rapportage_rib: 2
",122,11.6970278044104,"real"
"4",1,"IV: 
contacten_soort_rapportage_rib: 3
",48,8.90538033395176,"real"
"5",1,"IV: 
contacten_soort_rapportage_rib: 4
",26,8.30670926517572,"real"
"6",1,"IV: 
contacten_soort_rapportage_rib: 5
",7,3.44827586206897,"real"
"7",2,"IV: 
contacten_soort_rapportage_rib: 0
",928,9.9240722917335,"real"
"8",2,"IV: 
contacten_soort_rapportage_rib: 1
",111,12.4439461883408,"real"
"9",2,"IV: 
contacten_soort_rapportage_rib: 10
",1,7.14285714285714,"real"
"10",2,"IV: 
contacten_soort_rapportage_rib: 2
",97,9.30009587727709,"real"
"11",2,"IV: 
contacten_soort_rapportage_rib: 3
",59,10.9461966604824,"real"
"12",2,"IV: 
contacten_soort_rapportage_rib: 4
",26,8.30670926517572,"real"
"13",2,"IV: 
contacten_soort_rapportage_rib: 5
",14,6.89655172413793,"real"
"14",3,"IV: 
contacten_soort_rapportage_rib: 0
",911,9.74227355363063,"real"
"15",3,"IV: 
contacten_soort_rapportage_rib: 1
",105,11.7713004484305,"real"
"16",3,"IV: 
contacten_soort_rapportage_rib: 10
",2,14.2857142857143,"real"
"17",3,"IV: 
contacten_soort_rapportage_rib: 15
",1,33.3333333333333,"real"
"18",3,"IV: 
contacten_soort_rapportage_rib: 2
",121,11.601150527325,"real"
"19",3,"IV: 
contacten_soort_rapportage_rib: 3
",46,8.53432282003711,"real"
"20",3,"IV: 
contacten_soort_rapportage_rib: 4
",30,9.58466453674121,"real"
"21",3,"IV: 
contacten_soort_rapportage_rib: 5
",20,9.85221674876847,"real"
"22",4,"IV: 
contacten_soort_rapportage_rib: 0
",885,9.4642284247674,"real"
"23",4,"IV: 
contacten_soort_rapportage_rib: 1
",102,11.4349775784753,"real"
"24",4,"IV: 
contacten_soort_rapportage_rib: 10
",4,28.5714285714286,"real"
"25",4,"IV: 
contacten_soort_rapportage_rib: 2
",119,11.4093959731544,"real"
"26",4,"IV: 
contacten_soort_rapportage_rib: 3
",59,10.9461966604824,"real"
"27",4,"IV: 
contacten_soort_rapportage_rib: 4
",40,12.779552715655,"real"
"28",4,"IV: 
contacten_soort_rapportage_rib: 5
",27,13.3004926108374,"real"
"29",5,"IV: 
contacten_soort_rapportage_rib: 0
",858,9.17548925248636,"real"
"30",5,"IV: 
contacten_soort_rapportage_rib: 1
",101,11.3228699551569,"real"
"31",5,"IV: 
contacten_soort_rapportage_rib: 10
",1,7.14285714285714,"real"
"32",5,"IV: 
contacten_soort_rapportage_rib: 2
",124,11.888782358581,"real"
"33",5,"IV: 
contacten_soort_rapportage_rib: 3
",87,16.1410018552876,"real"
"34",5,"IV: 
contacten_soort_rapportage_rib: 4
",34,10.8626198083067,"real"
"35",5,"IV: 
contacten_soort_rapportage_rib: 5
",31,15.2709359605911,"real"
"36",6,"IV: 
contacten_soort_rapportage_rib: 0
",900,9.62463907603465,"real"
"37",6,"IV: 
contacten_soort_rapportage_rib: 1
",97,10.8744394618834,"real"
"38",6,"IV: 
contacten_soort_rapportage_rib: 10
",1,7.14285714285714,"real"
"39",6,"IV: 
contacten_soort_rapportage_rib: 2
",106,10.1629913710451,"real"
"40",6,"IV: 
contacten_soort_rapportage_rib: 3
",67,12.430426716141,"real"
"41",6,"IV: 
contacten_soort_rapportage_rib: 4
",45,14.3769968051118,"real"
"42",6,"IV: 
contacten_soort_rapportage_rib: 5
",20,9.85221674876847,"real"
"43",7,"IV: 
contacten_soort_rapportage_rib: 0
",910,9.73157951021281,"real"
"44",7,"IV: 
contacten_soort_rapportage_rib: 1
",75,8.40807174887892,"real"
"45",7,"IV: 
contacten_soort_rapportage_rib: 10
",2,14.2857142857143,"real"
"46",7,"IV: 
contacten_soort_rapportage_rib: 15
",1,33.3333333333333,"real"
"47",7,"IV: 
contacten_soort_rapportage_rib: 2
",112,10.738255033557,"real"
"48",7,"IV: 
contacten_soort_rapportage_rib: 3
",64,11.873840445269,"real"
"49",7,"IV: 
contacten_soort_rapportage_rib: 4
",42,13.4185303514377,"real"
"50",7,"IV: 
contacten_soort_rapportage_rib: 5
",30,14.7783251231527,"real"
"51",8,"IV: 
contacten_soort_rapportage_rib: 0
",957,10.2341995508502,"real"
"52",8,"IV: 
contacten_soort_rapportage_rib: 1
",62,6.95067264573991,"real"
"53",8,"IV: 
contacten_soort_rapportage_rib: 10
",1,7.14285714285714,"real"
"54",8,"IV: 
contacten_soort_rapportage_rib: 15
",1,33.3333333333333,"real"
"55",8,"IV: 
contacten_soort_rapportage_rib: 2
",110,10.5465004793864,"real"
"56",8,"IV: 
contacten_soort_rapportage_rib: 3
",53,9.8330241187384,"real"
"57",8,"IV: 
contacten_soort_rapportage_rib: 4
",32,10.223642172524,"real"
"58",8,"IV: 
contacten_soort_rapportage_rib: 5
",20,9.85221674876847,"real"
"59",9,"IV: 
contacten_soort_rapportage_rib: 0
",1018,10.886536199337,"real"
"60",9,"IV: 
contacten_soort_rapportage_rib: 1
",64,7.17488789237668,"real"
"61",9,"IV: 
contacten_soort_rapportage_rib: 10
",1,7.14285714285714,"real"
"62",9,"IV: 
contacten_soort_rapportage_rib: 2
",73,6.99904122722915,"real"
"63",9,"IV: 
contacten_soort_rapportage_rib: 3
",33,6.12244897959184,"real"
"64",9,"IV: 
contacten_soort_rapportage_rib: 4
",24,7.66773162939297,"real"
"65",9,"IV: 
contacten_soort_rapportage_rib: 5
",22,10.8374384236453,"real"
"66",10,"IV: 
contacten_soort_rapportage_rib: 0
",1071,11.4533205004812,"real"
"67",10,"IV: 
contacten_soort_rapportage_rib: 1
",55,6.16591928251121,"real"
"68",10,"IV: 
contacten_soort_rapportage_rib: 10
",1,7.14285714285714,"real"
"69",10,"IV: 
contacten_soort_rapportage_rib: 2
",59,5.65675934803452,"real"
"70",10,"IV: 
contacten_soort_rapportage_rib: 3
",23,4.26716141001855,"real"
"71",10,"IV: 
contacten_soort_rapportage_rib: 4
",14,4.47284345047923,"real"
"72",10,"IV: 
contacten_soort_rapportage_rib: 5
",12,5.91133004926108,"real"
"73",1,"IV: 
contacten_soort_rapportage_rib: 0
",1257,9.94068801897983,"real_conditional"
"74",1,"IV: 
contacten_soort_rapportage_rib: 1
",1257,9.94068801897983,"real_conditional"
"75",1,"IV: 
contacten_soort_rapportage_rib: 10
",1271,10.0514037168841,"real_conditional"
