"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
contacten_soort_rapportage_rib: 0
","Ja",9351,0.496,0.158,0.116244251951663,0.309378676077425,1.62442519516629,20.9378676077425,"real"
"2","IV: 
contacten_soort_rapportage_rib: 1
","Ja",892,0.453,0.148,0.062780269058296,0.190582959641256,-3.7219730941704,9.05829596412556,"real"
"3","IV: 
contacten_soort_rapportage_rib: 10
","Ja",14,0.488,0.12,0.0714285714285714,0.214285714285714,-2.85714285714286,11.4285714285714,"real"
"4","IV: 
contacten_soort_rapportage_rib: 15
","Ja",3,0.521,0.134,0,0.333333333333333,-10,23.3333333333333,"real"
"5","IV: 
contacten_soort_rapportage_rib: 2
","Ja",1043,0.466,0.142,0.0575263662511985,0.205177372962608,-4.24736337488015,10.5177372962608,"real"
"6","IV: 
contacten_soort_rapportage_rib: 3
","Ja",539,0.468,0.133,0.0426716141001855,0.183673469387755,-5.73283858998145,8.36734693877551,"real"
"7","IV: 
contacten_soort_rapportage_rib: 4
","Ja",313,0.48,0.131,0.0447284345047923,0.194888178913738,-5.52715654952077,9.4888178913738,"real"
"8","IV: 
contacten_soort_rapportage_rib: 5
","Ja",203,0.499,0.125,0.0591133004926108,0.251231527093596,-4.08866995073892,15.1231527093596,"real"
"9","IV: 
contacten_soort_rapportage_rib: 0
","Ja",12645,0.489,0.153,0.0998813760379597,0.282404112297351,-0.0118623962040335,18.2404112297351,"real_conditional"
"10","IV: 
contacten_soort_rapportage_rib: 1
","Ja",12645,0.489,0.153,0.0998813760379597,0.281692368525109,-0.0118623962040335,18.1692368525109,"real_conditional"
"11","IV: 
contacten_soort_rapportage_rib: 10
","Ja",12645,0.488,0.153,0.097508896797153,0.279003558718861,-0.249110320284698,17.9003558718861,"real_conditional"
"12","IV: 
contacten_soort_rapportage_rib: 15
","Ja",12645,0.488,0.153,0.097508896797153,0.279003558718861,-0.249110320284698,17.9003558718861,"real_conditional"
"13","IV: 
contacten_soort_rapportage_rib: 2
","Ja",12645,0.489,0.153,0.0988533017002768,0.280822459470146,-0.114669829972322,18.0822459470146,"real_conditional"
"14","IV: 
contacten_soort_rapportage_rib: 20
","Ja",12645,0.488,0.153,0.097508896797153,0.279003558718861,-0.249110320284698,17.9003558718861,"real_conditional"
"15","IV: 
contacten_soort_rapportage_rib: 3
","Ja",12645,0.489,0.153,0.0987742190589166,0.281138790035587,-0.122578094108343,18.1138790035587,"real_conditional"
"16","IV: 
contacten_soort_rapportage_rib: 4
","Ja",12645,0.488,0.153,0.0977461447212337,0.279636219849743,-0.225385527876631,17.9636219849743,"real_conditional"
"17","IV: 
contacten_soort_rapportage_rib: 5
","Ja",12645,0.488,0.153,0.097508896797153,0.279003558718861,-0.249110320284698,17.9003558718861,"real_conditional"
"18","IV: 
contacten_soort_rapportage_rib: 0
","Ja",2047,0.621,0.088,0.144601856375183,0.677576941866146,4.46018563751832,57.7576941866146,"synth"
"19","IV: 
contacten_soort_rapportage_rib: 1
","Ja",4516,0.612,0.086,0.104960141718335,0.641939769707706,0.496014171833481,54.1939769707706,"synth"
"20","IV: 
contacten_soort_rapportage_rib: 2
","Ja",3434,0.61,0.083,0.0882352941176471,0.632498543972044,-1.17647058823529,53.2498543972044,"synth"
"21","IV: 
contacten_soort_rapportage_rib: 3
","Ja",1739,0.606,0.086,0.0787809085681426,0.634272570442783,-2.12190914318574,53.4272570442783,"synth"
"22","IV: 
contacten_soort_rapportage_rib: 4
","Ja",668,0.605,0.08,0.061377245508982,0.598802395209581,-3.8622754491018,49.8802395209581,"synth"
"23","IV: 
contacten_soort_rapportage_rib: 5
","Ja",193,0.603,0.078,0.0569948186528497,0.606217616580311,-4.30051813471503,50.6217616580311,"synth"
"24","IV: 
contacten_soort_rapportage_rib: 0
","Ja",12508,0.612,0.085,0.100015989766549,0.640310201471059,0.00159897665494013,54.0310201471059,"synth_conditional"
"25","IV: 
contacten_soort_rapportage_rib: 1
","Ja",12508,0.612,0.085,0.0991365526063319,0.640150303805564,-0.086344739366806,54.0150303805565,"synth_conditional"
"26","IV: 
contacten_soort_rapportage_rib: 10
","Ja",12508,0.611,0.085,0.0962583946274384,0.635193476175248,-0.374160537256156,53.5193476175248,"synth_conditional"
"27","IV: 
contacten_soort_rapportage_rib: 15
","Ja",12508,0.611,0.085,0.0962583946274384,0.635193476175248,-0.374160537256156,53.5193476175248,"synth_conditional"
"28","IV: 
contacten_soort_rapportage_rib: 2
","Ja",12508,0.612,0.085,0.0998560921010553,0.641829229293252,-0.0143907898944681,54.1829229293252,"synth_conditional"
"29","IV: 
contacten_soort_rapportage_rib: 20
","Ja",12508,0.611,0.085,0.0962583946274384,0.635193476175248,-0.374160537256156,53.5193476175248,"synth_conditional"
"30","IV: 
contacten_soort_rapportage_rib: 3
","Ja",12508,0.612,0.085,0.0995362967700672,0.641269587464023,-0.0463703229932846,54.1269587464023,"synth_conditional"
"31","IV: 
contacten_soort_rapportage_rib: 4
","Ja",12508,0.611,0.085,0.0980172689478734,0.636392708666453,-0.198273105212664,53.6392708666453,"synth_conditional"
"32","IV: 
contacten_soort_rapportage_rib: 5
","Ja",12508,0.611,0.085,0.0962583946274384,0.635193476175248,-0.374160537256156,53.5193476175248,"synth_conditional"
