"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
contacten_soort_telefoontje__uitgaand_: 0
","Ja",3377,0.477,0.151,0.0832099496594611,0.259105715131774,-1.67900503405389,15.9105715131774,"real"
"2","IV: 
contacten_soort_telefoontje__uitgaand_: 1
","Ja",2397,0.476,0.156,0.0892782644972883,0.267417605340008,-1.07217355027117,16.7417605340008,"real"
"3","IV: 
contacten_soort_telefoontje__uitgaand_: 10
","Ja",146,0.549,0.142,0.150684931506849,0.410958904109589,5.06849315068493,31.0958904109589,"real"
"4","IV: 
contacten_soort_telefoontje__uitgaand_: 15
","Ja",51,0.603,0.14,0.274509803921569,0.588235294117647,17.4509803921569,48.8235294117647,"real"
"5","IV: 
contacten_soort_telefoontje__uitgaand_: 2
","Ja",1881,0.481,0.155,0.0978203083466241,0.259968102073365,-0.217969165337586,15.9968102073365,"real"
"6","IV: 
contacten_soort_telefoontje__uitgaand_: 20
","Ja",13,0.55,0.12,0.0769230769230769,0.461538461538462,-2.30769230769231,36.1538461538462,"real"
"7","IV: 
contacten_soort_telefoontje__uitgaand_: 3
","Ja",1343,0.485,0.155,0.0982874162323157,0.271034996276992,-0.171258376768429,17.1034996276992,"real"
"8","IV: 
contacten_soort_telefoontje__uitgaand_: 30
","Ja",3,0.492,0.103,0,0.333333333333333,-10,23.3333333333333,"real"
"9","IV: 
contacten_soort_telefoontje__uitgaand_: 4
","Ja",924,0.494,0.153,0.104978354978355,0.284632034632035,0.497835497835497,18.4632034632035,"real"
"10","IV: 
contacten_soort_telefoontje__uitgaand_: 5
","Ja",692,0.499,0.155,0.114161849710983,0.30635838150289,1.41618497109827,20.635838150289,"real"
"11","IV: 
contacten_soort_telefoontje__uitgaand_: 0
","Ja",12645,0.489,0.153,0.100276789244761,0.281296955318308,0.0276789244760767,18.1296955318308,"real_conditional"
"12","IV: 
contacten_soort_telefoontje__uitgaand_: 1
","Ja",12645,0.489,0.153,0.0998813760379597,0.281455120601028,-0.0118623962040335,18.1455120601028,"real_conditional"
"13","IV: 
contacten_soort_telefoontje__uitgaand_: 10
","Ja",12645,0.49,0.153,0.10011862396204,0.283274021352313,0.0118623962040335,18.3274021352313,"real_conditional"
"14","IV: 
contacten_soort_telefoontje__uitgaand_: 15
","Ja",12645,0.492,0.153,0.101937524713325,0.286279161724002,0.193752471332542,18.6279161724002,"real_conditional"
"15","IV: 
contacten_soort_telefoontje__uitgaand_: 2
","Ja",12645,0.489,0.153,0.0993277975484381,0.280664294187426,-0.0672202451561896,18.0664294187426,"real_conditional"
"16","IV: 
contacten_soort_telefoontje__uitgaand_: 20
","Ja",12645,0.493,0.152,0.103361012257809,0.288730723606168,0.336101225780941,18.8730723606168,"real_conditional"
"17","IV: 
contacten_soort_telefoontje__uitgaand_: 3
","Ja",12645,0.488,0.153,0.0990114669829972,0.280189798339265,-0.0988533017002774,18.0189798339265,"real_conditional"
"18","IV: 
contacten_soort_telefoontje__uitgaand_: 30
","Ja",12645,0.493,0.152,0.102332937920127,0.287623566627125,0.233293792012652,18.7623566627125,"real_conditional"
"19","IV: 
contacten_soort_telefoontje__uitgaand_: 4
","Ja",12645,0.488,0.153,0.0990114669829972,0.280189798339265,-0.0988533017002774,18.0189798339265,"real_conditional"
"20","IV: 
contacten_soort_telefoontje__uitgaand_: 5
","Ja",12645,0.488,0.153,0.0990114669829972,0.280268880980625,-0.0988533017002774,18.0268880980625,"real_conditional"
"21","IV: 
contacten_soort_telefoontje__uitgaand_: 0
","Ja",658,0.6,0.091,0.0866261398176292,0.598784194528875,-1.33738601823708,49.8784194528875,"synth"
"22","IV: 
contacten_soort_telefoontje__uitgaand_: 1
","Ja",1648,0.607,0.089,0.0989077669902913,0.620752427184466,-0.109223300970875,52.0752427184466,"synth"
"23","IV: 
contacten_soort_telefoontje__uitgaand_: 10
","Ja",297,0.631,0.077,0.121212121212121,0.750841750841751,2.12121212121212,65.0841750841751,"synth"
"24","IV: 
contacten_soort_telefoontje__uitgaand_: 15
","Ja",28,0.614,0.068,0.0357142857142857,0.607142857142857,-6.42857142857143,50.7142857142857,"synth"
"25","IV: 
contacten_soort_telefoontje__uitgaand_: 2
","Ja",1814,0.604,0.09,0.0942668136714443,0.604189636163175,-0.573318632855568,50.4189636163175,"synth"
"26","IV: 
contacten_soort_telefoontje__uitgaand_: 20
","Ja",1,0.659,NA,0,1,-10,90,"synth"
"27","IV: 
contacten_soort_telefoontje__uitgaand_: 3
","Ja",1659,0.608,0.086,0.0916214587100663,0.621458710066305,-0.837854128993371,52.1458710066305,"synth"
"28","IV: 
contacten_soort_telefoontje__uitgaand_: 4
","Ja",1600,0.611,0.083,0.098125,0.635,-0.1875,53.5,"synth"
"29","IV: 
contacten_soort_telefoontje__uitgaand_: 5
","Ja",1342,0.612,0.083,0.0938897168405365,0.649776453055142,-0.611028315946349,54.9776453055142,"synth"
