"","decile","IV","n","perc","data_type"
"1",1,"IV: 
deelname_act_actueel_projecten_uniek: 0
",385,6.16,"real"
"2",1,"IV: 
deelname_act_actueel_projecten_uniek: 1
",724,14.0993184031159,"real"
"3",1,"IV: 
deelname_act_actueel_projecten_uniek: 2
",142,12.7468581687612,"real"
"4",1,"IV: 
deelname_act_actueel_projecten_uniek: 3
",14,10.4477611940299,"real"
"5",2,"IV: 
deelname_act_actueel_projecten_uniek: 0
",476,7.616,"real"
"6",2,"IV: 
deelname_act_actueel_projecten_uniek: 1
",625,12.1713729308666,"real"
"7",2,"IV: 
deelname_act_actueel_projecten_uniek: 2
",146,13.1059245960503,"real"
"8",2,"IV: 
deelname_act_actueel_projecten_uniek: 3
",18,13.4328358208955,"real"
"9",3,"IV: 
deelname_act_actueel_projecten_uniek: 0
",523,8.368,"real"
"10",3,"IV: 
deelname_act_actueel_projecten_uniek: 1
",600,11.6845180136319,"real"
"11",3,"IV: 
deelname_act_actueel_projecten_uniek: 2
",128,11.4901256732496,"real"
"12",3,"IV: 
deelname_act_actueel_projecten_uniek: 3
",12,8.95522388059701,"real"
"13",3,"IV: 
deelname_act_actueel_projecten_uniek: 4
",2,18.1818181818182,"real"
"14",4,"IV: 
deelname_act_actueel_projecten_uniek: 0
",552,8.832,"real"
"15",4,"IV: 
deelname_act_actueel_projecten_uniek: 1
",579,11.2755598831548,"real"
"16",4,"IV: 
deelname_act_actueel_projecten_uniek: 2
",116,10.4129263913824,"real"
"17",4,"IV: 
deelname_act_actueel_projecten_uniek: 3
",18,13.4328358208955,"real"
"18",5,"IV: 
deelname_act_actueel_projecten_uniek: 0
",591,9.456,"real"
"19",5,"IV: 
deelname_act_actueel_projecten_uniek: 1
",554,10.7887049659202,"real"
"20",5,"IV: 
deelname_act_actueel_projecten_uniek: 2
",104,9.33572710951526,"real"
"21",5,"IV: 
deelname_act_actueel_projecten_uniek: 3
",14,10.4477611940299,"real"
"22",5,"IV: 
deelname_act_actueel_projecten_uniek: 4
",2,18.1818181818182,"real"
"23",6,"IV: 
deelname_act_actueel_projecten_uniek: 0
",628,10.048,"real"
"24",6,"IV: 
deelname_act_actueel_projecten_uniek: 1
",523,10.1850048685492,"real"
"25",6,"IV: 
deelname_act_actueel_projecten_uniek: 2
",99,8.88689407540395,"real"
"26",6,"IV: 
deelname_act_actueel_projecten_uniek: 3
",14,10.4477611940299,"real"
"27",7,"IV: 
deelname_act_actueel_projecten_uniek: 0
",652,10.432,"real"
"28",7,"IV: 
deelname_act_actueel_projecten_uniek: 1
",483,9.40603700097371,"real"
"29",7,"IV: 
deelname_act_actueel_projecten_uniek: 2
",117,10.5026929982047,"real"
"30",7,"IV: 
deelname_act_actueel_projecten_uniek: 3
",11,8.2089552238806,"real"
"31",7,"IV: 
deelname_act_actueel_projecten_uniek: 4
",1,9.09090909090909,"real"
"32",8,"IV: 
deelname_act_actueel_projecten_uniek: 0
",753,12.048,"real"
"33",8,"IV: 
deelname_act_actueel_projecten_uniek: 1
",418,8.14021421616358,"real"
