"","decile","IV","n","perc","data_type"
"1",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",647,13.5639412997904,"real"
"2",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",392,10.9927089175547,"real"
"3",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",151,7.23873441994247,"real"
"4",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",51,4.6448087431694,"real"
"5",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 4
",12,2.15827338129496,"real"
"6",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 5
",6,2.12765957446809,"real"
"7",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 6
",5,3.37837837837838,"real"
"8",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 7
",1,1.25,"real"
"9",2,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",576,12.0754716981132,"real"
"10",2,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",387,10.8524957936063,"real"
"11",2,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",188,9.01246404602109,"real"
"12",2,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",68,6.19307832422587,"real"
"13",2,"IV: 
deelname_act_hist_projecten_niet_gestart: 4
",25,4.49640287769784,"real"
"14",2,"IV: 
deelname_act_hist_projecten_niet_gestart: 5
",15,5.31914893617021,"real"
"15",2,"IV: 
deelname_act_hist_projecten_niet_gestart: 6
",6,4.05405405405405,"real"
"16",3,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",552,11.5723270440252,"real"
"17",3,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",361,10.1233875490746,"real"
"18",3,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",192,9.20421860019175,"real"
"19",3,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",98,8.92531876138434,"real"
"20",3,"IV: 
deelname_act_hist_projecten_niet_gestart: 4
",32,5.75539568345324,"real"
"21",3,"IV: 
deelname_act_hist_projecten_niet_gestart: 5
",19,6.73758865248227,"real"
"22",3,"IV: 
deelname_act_hist_projecten_niet_gestart: 6
",7,4.72972972972973,"real"
"23",3,"IV: 
deelname_act_hist_projecten_niet_gestart: 7
",4,5,"real"
"24",4,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",496,10.398322851153,"real"
"25",4,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",387,10.8524957936063,"real"
"26",4,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",179,8.5810162991371,"real"
"27",4,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",96,8.7431693989071,"real"
"28",4,"IV: 
deelname_act_hist_projecten_niet_gestart: 4
",54,9.71223021582734,"real"
"29",4,"IV: 
deelname_act_hist_projecten_niet_gestart: 5
",38,13.4751773049645,"real"
"30",4,"IV: 
deelname_act_hist_projecten_niet_gestart: 6
",5,3.37837837837838,"real"
"31",4,"IV: 
deelname_act_hist_projecten_niet_gestart: 7
",6,7.5,"real"
"32",4,"IV: 
deelname_act_hist_projecten_niet_gestart: 8
",3,7.89473684210526,"real"
"33",4,"IV: 
deelname_act_hist_projecten_niet_gestart: 9
",1,9.09090909090909,"real"
"34",5,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",489,10.251572327044,"real"
"35",5,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",362,10.1514301738643,"real"
"36",5,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",209,10.0191754554171,"real"
"37",5,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",107,9.74499089253188,"real"
"38",5,"IV: 
deelname_act_hist_projecten_niet_gestart: 4
",59,10.6115107913669,"real"
"39",5,"IV: 
deelname_act_hist_projecten_niet_gestart: 5
",23,8.15602836879433,"real"
"40",5,"IV: 
deelname_act_hist_projecten_niet_gestart: 6
",10,6.75675675675676,"real"
"41",5,"IV: 
deelname_act_hist_projecten_niet_gestart: 7
",2,2.5,"real"
"42",5,"IV: 
deelname_act_hist_projecten_niet_gestart: 8
",4,10.5263157894737,"real"
"43",6,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",453,9.49685534591195,"real"
"44",6,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",344,9.64666292765003,"real"
"45",6,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",237,11.3614573346117,"real"
"46",6,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",100,9.10746812386157,"real"
"47",6,"IV: 
deelname_act_hist_projecten_niet_gestart: 4
",64,11.5107913669065,"real"
"48",6,"IV: 
deelname_act_hist_projecten_niet_gestart: 5
",31,10.9929078014184,"real"
"49",6,"IV: 
deelname_act_hist_projecten_niet_gestart: 6
",21,14.1891891891892,"real"
"50",6,"IV: 
deelname_act_hist_projecten_niet_gestart: 7
",9,11.25,"real"
"51",6,"IV: 
deelname_act_hist_projecten_niet_gestart: 8
",3,7.89473684210526,"real"
"52",6,"IV: 
deelname_act_hist_projecten_niet_gestart: 9
",2,18.1818181818182,"real"
"53",7,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",424,8.88888888888889,"real"
"54",7,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",350,9.81491867638811,"real"
"55",7,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",241,11.5532118887824,"real"
"56",7,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",127,11.5664845173042,"real"
"57",7,"IV: 
deelname_act_hist_projecten_niet_gestart: 4
",67,12.0503597122302,"real"
"58",7,"IV: 
deelname_act_hist_projecten_niet_gestart: 5
",23,8.15602836879433,"real"
"59",7,"IV: 
deelname_act_hist_projecten_niet_gestart: 6
",17,11.4864864864865,"real"
"60",7,"IV: 
deelname_act_hist_projecten_niet_gestart: 7
",9,11.25,"real"
"61",7,"IV: 
deelname_act_hist_projecten_niet_gestart: 8
",5,13.1578947368421,"real"
"62",7,"IV: 
deelname_act_hist_projecten_niet_gestart: 9
",1,9.09090909090909,"real"
"63",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",409,8.57442348008386,"real"
"64",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",334,9.36623667975323,"real"
"65",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 10
",1,33.3333333333333,"real"
"66",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 12
",1,25,"real"
"67",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",220,10.5465004793864,"real"
"68",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",151,13.752276867031,"real"
"69",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 4
",78,14.0287769784173,"real"
"70",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 5
",40,14.1843971631206,"real"
"71",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 6
",18,12.1621621621622,"real"
"72",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 7
",6,7.5,"real"
"73",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 8
",4,10.5263157894737,"real"
"74",8,"IV: 
deelname_act_hist_projecten_niet_gestart: 9
",2,18.1818181818182,"real"
"75",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",385,8.07127882599581,"real"
"76",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",316,8.86146943353898,"real"
"77",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 10
",2,66.6666666666667,"real"
"78",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 12
",2,50,"real"
"79",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",233,11.169702780441,"real"
"80",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",144,13.1147540983607,"real"
"81",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 4
",85,15.2877697841727,"real"
"82",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 5
",45,15.9574468085106,"real"
"83",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 6
",23,15.5405405405405,"real"
"84",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 7
",18,22.5,"real"
"85",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 8
",8,21.0526315789474,"real"
"86",9,"IV: 
deelname_act_hist_projecten_niet_gestart: 9
",3,27.2727272727273,"real"
"87",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",339,7.10691823899371,"real"
"88",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",333,9.33819405496354,"real"
"89",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 11
",3,100,"real"
"90",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 12
",1,25,"real"
"91",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",236,11.313518696069,"real"
"92",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",156,14.207650273224,"real"
"93",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 4
",80,14.3884892086331,"real"
"94",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 5
",42,14.8936170212766,"real"
"95",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 6
",36,24.3243243243243,"real"
"96",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 7
",25,31.25,"real"
"97",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 8
",11,28.9473684210526,"real"
"98",10,"IV: 
deelname_act_hist_projecten_niet_gestart: 9
",2,18.1818181818182,"real"
"99",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 0
",1331,10.5258995650455,"real_conditional"
"100",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 1
",1323,10.4626334519573,"real_conditional"
"101",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 10
",1281,10.1304863582444,"real_conditional"
"102",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 11
",1281,10.1304863582444,"real_conditional"
"103",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 12
",1281,10.1304863582444,"real_conditional"
"104",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 2
",1238,9.79043100039541,"real_conditional"
"105",1,"IV: 
deelname_act_hist_projecten_niet_gestart: 3
",1228,9.71134835903519,"real_conditional"
