"","decile","IV","n","perc","data_type"
"1",1,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",740,16.2887959498129,"real"
"2",1,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 1
",115,8.68580060422961,"real"
"3",1,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 2
",93,6.187624750499,"real"
"4",1,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 3
",53,4.23661071143086,"real"
"5",1,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 4
",26,3.06965761511216,"real"
"6",1,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 5
",18,2.69865067466267,"real"
"7",2,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",616,13.5593220338983,"real"
"8",2,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 1
",138,10.4229607250755,"real"
"9",2,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 10
",7,3.2258064516129,"real"
"10",2,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 2
",136,9.04856952761144,"real"
"11",2,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 3
",79,6.31494804156675,"real"
"12",2,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 4
",44,5.19480519480519,"real"
"13",2,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 5
",25,3.74812593703148,"real"
"14",3,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",537,11.8203830068237,"real"
"15",3,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 1
",139,10.4984894259819,"real"
"16",3,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 10
",10,4.60829493087558,"real"
"17",3,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 15
",1,1.44927536231884,"real"
"18",3,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 2
",155,10.3127079174983,"real"
"19",3,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 20
",1,4.16666666666667,"real"
"20",3,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 3
",99,7.9136690647482,"real"
"21",3,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 4
",66,7.79220779220779,"real"
"22",3,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 5
",37,5.5472263868066,"real"
"23",4,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",473,10.4116222760291,"real"
"24",4,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 1
",134,10.1208459214502,"real"
"25",4,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 10
",13,5.99078341013825,"real"
"26",4,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 15
",6,8.69565217391304,"real"
"27",4,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 2
",151,10.0465735196274,"real"
"28",4,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 20
",3,12.5,"real"
"29",4,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 3
",122,9.75219824140687,"real"
"30",4,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 4
",82,9.68122786304605,"real"
"31",4,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 5
",61,9.14542728635682,"real"
"32",5,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",413,9.09090909090909,"real"
"33",5,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 1
",140,10.5740181268882,"real"
"34",5,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 10
",17,7.83410138248848,"real"
"35",5,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 15
",10,14.4927536231884,"real"
"36",5,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 2
",164,10.9115103127079,"real"
"37",5,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 20
",4,16.6666666666667,"real"
"38",5,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 3
",128,10.2318145483613,"real"
"39",5,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 4
",97,11.4521841794569,"real"
"40",5,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 5
",72,10.7946026986507,"real"
"41",6,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",409,9.00286154523443,"real"
"42",6,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 1
",149,11.2537764350453,"real"
"43",6,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 10
",18,8.29493087557604,"real"
"44",6,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 15
",9,13.0434782608696,"real"
"45",6,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 2
",157,10.4457751164338,"real"
"46",6,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 20
",2,8.33333333333333,"real"
"47",6,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 3
",134,10.7114308553157,"real"
"48",6,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 4
",89,10.5076741440378,"real"
"49",6,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 5
",78,11.6941529235382,"real"
"50",7,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",384,8.45256438476777,"real"
"51",7,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 1
",113,8.53474320241692,"real"
"52",7,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 10
",35,16.1290322580645,"real"
"53",7,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 15
",11,15.9420289855072,"real"
"54",7,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 2
",155,10.3127079174983,"real"
"55",7,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 20
",4,16.6666666666667,"real"
"56",7,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 3
",164,13.1095123900879,"real"
"57",7,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 4
",97,11.4521841794569,"real"
"58",7,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 5
",81,12.143928035982,"real"
"59",8,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",358,7.88025533788246,"real"
"60",8,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 1
",132,9.96978851963746,"real"
"61",8,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 10
",24,11.0599078341014,"real"
"62",8,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 15
",2,2.89855072463768,"real"
"63",8,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 2
",173,11.5103127079175,"real"
"64",8,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 20
",2,8.33333333333333,"real"
"65",8,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 3
",160,12.7897681854516,"real"
"66",8,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 30
",1,100,"real"
"67",8,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 4
",105,12.396694214876,"real"
"68",8,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 5
",87,13.0434782608696,"real"
"69",9,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",358,7.88025533788246,"real"
"70",9,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 1
",148,11.178247734139,"real"
"71",9,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 10
",40,18.4331797235023,"real"
"72",9,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 15
",13,18.8405797101449,"real"
"73",9,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 2
",167,11.1111111111111,"real"
"74",9,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 20
",2,8.33333333333333,"real"
"75",9,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 3
",128,10.2318145483613,"real"
"76",9,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 4
",105,12.396694214876,"real"
"77",9,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 5
",83,12.4437781109445,"real"
"78",10,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",255,5.61303103675985,"real"
"79",10,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 1
",116,8.76132930513595,"real"
"80",10,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 10
",53,24.4239631336406,"real"
"81",10,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 15
",17,24.6376811594203,"real"
"82",10,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 2
",152,10.1131071190951,"real"
"83",10,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 20
",6,25,"real"
"84",10,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 3
",184,14.7082334132694,"real"
"85",10,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 4
",136,16.0566706021251,"real"
"86",10,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 5
",125,18.7406296851574,"real"
"87",1,"IV: 
deelname_act_reintegratieladder_werk_re_integratie: 0
",1261,9.97232107552392,"real_conditional"
