"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_ladder_historie_activering: 0
",78,4.28807036833425,"real"
"2",1,"IV: 
instrument_ladder_historie_activering: 1
",167,5.5243135957658,"real"
"3",1,"IV: 
instrument_ladder_historie_activering: 10
",1,33.3333333333333,"real"
"4",1,"IV: 
instrument_ladder_historie_activering: 11
",1,33.3333333333333,"real"
"5",1,"IV: 
instrument_ladder_historie_activering: 2
",248,7.2855464159812,"real"
"6",1,"IV: 
instrument_ladder_historie_activering: 3
",240,11.444921316166,"real"
"7",1,"IV: 
instrument_ladder_historie_activering: 4
",197,16.5129924559933,"real"
"8",1,"IV: 
instrument_ladder_historie_activering: 5
",134,23.1433506044905,"real"
"9",1,"IV: 
instrument_ladder_historie_activering: 6
",111,35.9223300970874,"real"
"10",1,"IV: 
instrument_ladder_historie_activering: 7
",61,40.3973509933775,"real"
"11",1,"IV: 
instrument_ladder_historie_activering: 8
",19,35.8490566037736,"real"
"12",1,"IV: 
instrument_ladder_historie_activering: 9
",8,72.7272727272727,"real"
"13",2,"IV: 
instrument_ladder_historie_activering: 0
",109,5.99230346344145,"real"
"14",2,"IV: 
instrument_ladder_historie_activering: 1
",207,6.84750248097916,"real"
"15",2,"IV: 
instrument_ladder_historie_activering: 10
",1,33.3333333333333,"real"
"16",2,"IV: 
instrument_ladder_historie_activering: 11
",1,33.3333333333333,"real"
"17",2,"IV: 
instrument_ladder_historie_activering: 2
",316,9.28319623971798,"real"
"18",2,"IV: 
instrument_ladder_historie_activering: 3
",246,11.7310443490701,"real"
"19",2,"IV: 
instrument_ladder_historie_activering: 4
",184,15.4233025984912,"real"
"20",2,"IV: 
instrument_ladder_historie_activering: 5
",113,19.5164075993092,"real"
"21",2,"IV: 
instrument_ladder_historie_activering: 6
",50,16.1812297734628,"real"
"22",2,"IV: 
instrument_ladder_historie_activering: 7
",25,16.5562913907285,"real"
"23",2,"IV: 
instrument_ladder_historie_activering: 8
",11,20.7547169811321,"real"
"24",2,"IV: 
instrument_ladder_historie_activering: 9
",2,18.1818181818182,"real"
"25",3,"IV: 
instrument_ladder_historie_activering: 0
",108,5.93732820230896,"real"
"26",3,"IV: 
instrument_ladder_historie_activering: 1
",247,8.17069136619252,"real"
"27",3,"IV: 
instrument_ladder_historie_activering: 2
",380,11.1633372502938,"real"
"28",3,"IV: 
instrument_ladder_historie_activering: 3
",271,12.9232236528374,"real"
"29",3,"IV: 
instrument_ladder_historie_activering: 4
",140,11.7351215423303,"real"
"30",3,"IV: 
instrument_ladder_historie_activering: 5
",64,11.0535405872193,"real"
"31",3,"IV: 
instrument_ladder_historie_activering: 6
",29,9.38511326860841,"real"
"32",3,"IV: 
instrument_ladder_historie_activering: 7
",21,13.9072847682119,"real"
"33",3,"IV: 
instrument_ladder_historie_activering: 8
",4,7.54716981132075,"real"
"34",3,"IV: 
instrument_ladder_historie_activering: 9
",1,9.09090909090909,"real"
"35",4,"IV: 
instrument_ladder_historie_activering: 0
",110,6.04727872457394,"real"
"36",4,"IV: 
instrument_ladder_historie_activering: 1
",221,7.31061859080384,"real"
"37",4,"IV: 
instrument_ladder_historie_activering: 10
",1,33.3333333333333,"real"
"38",4,"IV: 
instrument_ladder_historie_activering: 2
",443,13.0141010575793,"real"
"39",4,"IV: 
instrument_ladder_historie_activering: 3
",260,12.3986647591798,"real"
"40",4,"IV: 
instrument_ladder_historie_activering: 4
",139,11.6512992455993,"real"
"41",4,"IV: 
instrument_ladder_historie_activering: 5
",60,10.3626943005181,"real"
"42",4,"IV: 
instrument_ladder_historie_activering: 6
",20,6.47249190938511,"real"
"43",4,"IV: 
instrument_ladder_historie_activering: 7
",6,3.97350993377483,"real"
"44",4,"IV: 
instrument_ladder_historie_activering: 8
",5,9.43396226415094,"real"
"45",5,"IV: 
instrument_ladder_historie_activering: 0
",124,6.81693238042881,"real"
"46",5,"IV: 
instrument_ladder_historie_activering: 1
",301,9.95699636123057,"real"
"47",5,"IV: 
instrument_ladder_historie_activering: 2
",408,11.9858989424207,"real"
"48",5,"IV: 
instrument_ladder_historie_activering: 3
",232,11.0634239389604,"real"
"49",5,"IV: 
instrument_ladder_historie_activering: 4
",124,10.3939647946354,"real"
"50",5,"IV: 
instrument_ladder_historie_activering: 5
",38,6.56303972366149,"real"
"51",5,"IV: 
instrument_ladder_historie_activering: 6
",27,8.7378640776699,"real"
"52",5,"IV: 
instrument_ladder_historie_activering: 7
",6,3.97350993377483,"real"
"53",5,"IV: 
instrument_ladder_historie_activering: 8
",5,9.43396226415094,"real"
"54",6,"IV: 
instrument_ladder_historie_activering: 0
",118,6.48708081363386,"real"
"55",6,"IV: 
instrument_ladder_historie_activering: 1
",319,10.5524313595766,"real"
"56",6,"IV: 
instrument_ladder_historie_activering: 2
",387,11.3689776733255,"real"
"57",6,"IV: 
instrument_ladder_historie_activering: 3
",243,11.587982832618,"real"
"58",6,"IV: 
instrument_ladder_historie_activering: 4
",105,8.80134115674769,"real"
"59",6,"IV: 
instrument_ladder_historie_activering: 5
",52,8.98100172711572,"real"
"60",6,"IV: 
instrument_ladder_historie_activering: 6
",24,7.76699029126214,"real"
"61",6,"IV: 
instrument_ladder_historie_activering: 7
",14,9.27152317880795,"real"
"62",6,"IV: 
instrument_ladder_historie_activering: 8
",2,3.77358490566038,"real"
"63",7,"IV: 
instrument_ladder_historie_activering: 0
",145,7.97141286421111,"real"
"64",7,"IV: 
instrument_ladder_historie_activering: 1
",360,11.9086999669203,"real"
"65",7,"IV: 
instrument_ladder_historie_activering: 11
",1,33.3333333333333,"real"
"66",7,"IV: 
instrument_ladder_historie_activering: 2
",370,10.8695652173913,"real"
"67",7,"IV: 
instrument_ladder_historie_activering: 3
",201,9.58512160228898,"real"
"68",7,"IV: 
instrument_ladder_historie_activering: 4
",111,9.30427493713328,"real"
"69",7,"IV: 
instrument_ladder_historie_activering: 5
",42,7.25388601036269,"real"
"70",7,"IV: 
instrument_ladder_historie_activering: 6
",22,7.11974110032362,"real"
"71",7,"IV: 
instrument_ladder_historie_activering: 7
",9,5.96026490066225,"real"
"72",7,"IV: 
instrument_ladder_historie_activering: 8
",3,5.66037735849057,"real"
"73",8,"IV: 
instrument_ladder_historie_activering: 0
",192,10.5552501374382,"real"
"74",8,"IV: 
instrument_ladder_historie_activering: 1
",391,12.9341713529606,"real"
"75",8,"IV: 
instrument_ladder_historie_activering: 2
",360,10.5757931844888,"real"
"76",8,"IV: 
instrument_ladder_historie_activering: 3
",174,8.29756795422031,"real"
"77",8,"IV: 
instrument_ladder_historie_activering: 4
",91,7.62782900251467,"real"
"78",8,"IV: 
instrument_ladder_historie_activering: 5
",40,6.90846286701209,"real"
"79",8,"IV: 
instrument_ladder_historie_activering: 6
",8,2.58899676375405,"real"
"80",8,"IV: 
instrument_ladder_historie_activering: 7
",6,3.97350993377483,"real"
"81",8,"IV: 
instrument_ladder_historie_activering: 8
",2,3.77358490566038,"real"
"82",9,"IV: 
instrument_ladder_historie_activering: 0
",261,14.34854315558,"real"
"83",9,"IV: 
instrument_ladder_historie_activering: 1
",407,13.463446907046,"real"
"84",9,"IV: 
instrument_ladder_historie_activering: 2
",323,9.48883666274971,"real"
"85",9,"IV: 
instrument_ladder_historie_activering: 3
",157,7.48688602765856,"real"
"86",9,"IV: 
instrument_ladder_historie_activering: 4
",69,5.7837384744342,"real"
"87",9,"IV: 
instrument_ladder_historie_activering: 5
",27,4.66321243523316,"real"
"88",9,"IV: 
instrument_ladder_historie_activering: 6
",15,4.85436893203883,"real"
"89",9,"IV: 
instrument_ladder_historie_activering: 7
",3,1.98675496688742,"real"
"90",9,"IV: 
instrument_ladder_historie_activering: 8
",2,3.77358490566038,"real"
"91",10,"IV: 
instrument_ladder_historie_activering: 0
",574,31.5557998900495,"real"
"92",10,"IV: 
instrument_ladder_historie_activering: 1
",403,13.3311280185246,"real"
"93",10,"IV: 
instrument_ladder_historie_activering: 2
",169,4.9647473560517,"real"
"94",10,"IV: 
instrument_ladder_historie_activering: 3
",73,3.48116356700048,"real"
"95",10,"IV: 
instrument_ladder_historie_activering: 4
",33,2.7661357921207,"real"
"96",10,"IV: 
instrument_ladder_historie_activering: 5
",9,1.55440414507772,"real"
"97",10,"IV: 
instrument_ladder_historie_activering: 6
",3,0.970873786407767,"real"
"98",1,"IV: 
instrument_ladder_historie_activering: 0
",970,7.67101621194148,"real_conditional"
"99",1,"IV: 
instrument_ladder_historie_activering: 1
",1112,8.79398971925662,"real_conditional"
"100",1,"IV: 
instrument_ladder_historie_activering: 10
",1377,10.8896797153025,"real_conditional"
"101",1,"IV: 
instrument_ladder_historie_activering: 11
",1376,10.8817714511665,"real_conditional"
"102",1,"IV: 
instrument_ladder_historie_activering: 2
",1137,8.99169632265718,"real_conditional"
"103",1,"IV: 
instrument_ladder_historie_activering: 3
",1163,9.19731119019375,"real_conditional"
"104",1,"IV: 
instrument_ladder_historie_activering: 4
",1220,9.64808224594701,"real_conditional"
"105",1,"IV: 
instrument_ladder_historie_activering: 5
",1311,10.367734282325,"real_conditional"
"106",1,"IV: 
instrument_ladder_historie_activering: 6
",1377,10.8896797153025,"real_conditional"
"107",1,"IV: 
instrument_ladder_historie_activering: 7
",1377,10.8896797153025,"real_conditional"
"108",1,"IV: 
instrument_ladder_historie_activering: 8
",1377,10.8896797153025,"real_conditional"
"109",1,"IV: 
instrument_ladder_historie_activering: 9
",1377,10.8896797153025,"real_conditional"
"110",2,"IV: 
instrument_ladder_historie_activering: 0
",1106,8.74654013444049,"real_conditional"
"111",2,"IV: 
instrument_ladder_historie_activering: 1
",1171,9.26057730328193,"real_conditional"
"112",2,"IV: 
instrument_ladder_historie_activering: 10
",1320,10.4389086595492,"real_conditional"
"113",2,"IV: 
instrument_ladder_historie_activering: 11
",1321,10.4468169236853,"real_conditional"
"114",2,"IV: 
instrument_ladder_historie_activering: 2
",1202,9.50573349149862,"real_conditional"
"115",2,"IV: 
instrument_ladder_historie_activering: 3
",1209,9.56109134045077,"real_conditional"
"116",2,"IV: 
instrument_ladder_historie_activering: 4
",1264,9.99604586793199,"real_conditional"
"117",2,"IV: 
instrument_ladder_historie_activering: 5
",1297,10.2570185844207,"real_conditional"
"118",2,"IV: 
instrument_ladder_historie_activering: 6
",1321,10.4468169236853,"real_conditional"
"119",2,"IV: 
instrument_ladder_historie_activering: 7
",1321,10.4468169236853,"real_conditional"
"120",2,"IV: 
instrument_ladder_historie_activering: 8
",1321,10.4468169236853,"real_conditional"
"121",2,"IV: 
instrument_ladder_historie_activering: 9
",1321,10.4468169236853,"real_conditional"
