"","IV","variable","n","mean","sd","share_above_td_threshold","share_above_rw_threshold","perc_misrep_td_threshold","perc_misrep_rw_threshold","data_type"
"1","IV: 
instrument_ladder_historie_activering: 0
","Ja",1819,0.587,0.165,0.31610775151182,0.545354590434305,21.610775151182,44.5354590434305,"real"
"2","IV: 
instrument_ladder_historie_activering: 1
","Ja",3023,0.529,0.145,0.133311280185246,0.375124048957989,3.33112801852464,27.5124048957989,"real"
"3","IV: 
instrument_ladder_historie_activering: 10
","Ja",3,0.322,0.074,0,0,-10,-10,"real"
"4","IV: 
instrument_ladder_historie_activering: 11
","Ja",3,0.382,0.177,0,0,-10,-10,"real"
"5","IV: 
instrument_ladder_historie_activering: 2
","Ja",3404,0.48,0.133,0.049647473560517,0.229142185663925,-5.0352526439483,12.9142185663925,"real"
"6","IV: 
instrument_ladder_historie_activering: 3
","Ja",2097,0.453,0.134,0.0348116356700048,0.180734382451121,-6.51883643299952,8.07343824511206,"real"
"7","IV: 
instrument_ladder_historie_activering: 4
","Ja",1193,0.43,0.138,0.027661357921207,0.146689019279128,-7.2338642078793,4.66890192791282,"real"
"8","IV: 
instrument_ladder_historie_activering: 5
","Ja",579,0.4,0.138,0.0155440414507772,0.117443868739206,-8.44559585492228,1.74438687392055,"real"
"9","IV: 
instrument_ladder_historie_activering: 6
","Ja",309,0.37,0.139,0.00970873786407767,0.0809061488673139,-9.02912621359223,-1.90938511326861,"real"
"10","IV: 
instrument_ladder_historie_activering: 7
","Ja",151,0.348,0.132,0,0.0596026490066225,-10,-4.03973509933775,"real"
"11","IV: 
instrument_ladder_historie_activering: 8
","Ja",53,0.352,0.137,0,0.0754716981132075,-10,-2.45283018867925,"real"
"12","IV: 
instrument_ladder_historie_activering: 9
","Ja",11,0.256,0.064,0,0,-10,-10,"real"
"13","IV: 
instrument_ladder_historie_activering: 0
","Ja",12645,0.501,0.151,0.111269276393832,0.306128904705417,1.12692763938315,20.6128904705417,"real_conditional"
"14","IV: 
instrument_ladder_historie_activering: 1
","Ja",12645,0.491,0.151,0.0973507315144326,0.28208778173191,-0.264926848556742,18.208778173191,"real_conditional"
"15","IV: 
instrument_ladder_historie_activering: 10
","Ja",12645,0.474,0.151,0.0790826413602214,0.247765915381574,-2.09173586397786,14.7765915381574,"real_conditional"
"16","IV: 
instrument_ladder_historie_activering: 11
","Ja",12645,0.474,0.151,0.0790826413602214,0.247765915381574,-2.09173586397786,14.7765915381574,"real_conditional"
"17","IV: 
instrument_ladder_historie_activering: 2
","Ja",12645,0.488,0.151,0.0952945828390668,0.277975484381178,-0.470541716093319,17.7975484381178,"real_conditional"
