"","decile","IV","n","perc","data_type"
"1",1,"IV: 
instrument_ladder_huidig_activering: 0
",330,5.26904039597637,"real"
"2",1,"IV: 
instrument_ladder_huidig_activering: 1
",856,14.4937351845581,"real"
"3",1,"IV: 
instrument_ladder_huidig_activering: 2
",76,17.3120728929385,"real"
"4",1,"IV: 
instrument_ladder_huidig_activering: 3
",3,8.82352941176471,"real"
"5",2,"IV: 
instrument_ladder_huidig_activering: 0
",423,6.75395178029698,"real"
"6",2,"IV: 
instrument_ladder_huidig_activering: 1
",767,12.9867930917711,"real"
"7",2,"IV: 
instrument_ladder_huidig_activering: 2
",68,15.4897494305239,"real"
"8",2,"IV: 
instrument_ladder_huidig_activering: 3
",7,20.5882352941176,"real"
"9",3,"IV: 
instrument_ladder_huidig_activering: 0
",472,7.53632444515408,"real"
"10",3,"IV: 
instrument_ladder_huidig_activering: 1
",738,12.4957670165933,"real"
"11",3,"IV: 
instrument_ladder_huidig_activering: 2
",51,11.6173120728929,"real"
"12",3,"IV: 
instrument_ladder_huidig_activering: 3
",4,11.7647058823529,"real"
"13",4,"IV: 
instrument_ladder_huidig_activering: 0
",500,7.98339453935813,"real"
"14",4,"IV: 
instrument_ladder_huidig_activering: 1
",716,12.1232644768033,"real"
"15",4,"IV: 
instrument_ladder_huidig_activering: 2
",44,10.0227790432802,"real"
"16",4,"IV: 
instrument_ladder_huidig_activering: 3
",5,14.7058823529412,"real"
"17",5,"IV: 
instrument_ladder_huidig_activering: 0
",551,8.79770078237267,"real"
"18",5,"IV: 
instrument_ladder_huidig_activering: 1
",676,11.4459871317304,"real"
"19",5,"IV: 
instrument_ladder_huidig_activering: 2
",36,8.2004555808656,"real"
"20",5,"IV: 
instrument_ladder_huidig_activering: 3
",2,5.88235294117647,"real"
"21",6,"IV: 
instrument_ladder_huidig_activering: 0
",601,9.59604023630848,"real"
"22",6,"IV: 
instrument_ladder_huidig_activering: 1
",617,10.4470030477481,"real"
"23",6,"IV: 
instrument_ladder_huidig_activering: 2
",44,10.0227790432802,"real"
"24",6,"IV: 
instrument_ladder_huidig_activering: 3
",2,5.88235294117647,"real"
"25",7,"IV: 
instrument_ladder_huidig_activering: 0
",638,10.186811432221,"real"
"26",7,"IV: 
instrument_ladder_huidig_activering: 1
",574,9.71892990179479,"real"
"27",7,"IV: 
instrument_ladder_huidig_activering: 2
",50,11.3895216400911,"real"
"28",7,"IV: 
instrument_ladder_huidig_activering: 3
",2,5.88235294117647,"real"
"29",8,"IV: 
instrument_ladder_huidig_activering: 0
",761,12.1507264889031,"real"
"30",8,"IV: 
instrument_ladder_huidig_activering: 1
",463,7.83948526921774,"real"
"31",8,"IV: 
instrument_ladder_huidig_activering: 2
",34,7.74487471526196,"real"
"32",8,"IV: 
instrument_ladder_huidig_activering: 3
",4,11.7647058823529,"real"
"33",8,"IV: 
instrument_ladder_huidig_activering: 4
",2,66.6666666666667,"real"
"34",9,"IV: 
instrument_ladder_huidig_activering: 0
",867,13.843206131247,"real"
"35",9,"IV: 
instrument_ladder_huidig_activering: 1
",361,6.11242803928209,"real"
"36",9,"IV: 
instrument_ladder_huidig_activering: 2
",31,7.06150341685649,"real"
